subset,is_prompt_absent,num_candidates
full,0,46
full,1,8
full,1,1
full,1,7
full,1,19
full,0,104
full,1,30
full,1,21
full,0,26
full,1,4
full,1,9
full,0,35
full,1,20
full,1,37
full,0,1
full,1,1
full,1,2
full,0,1
full,1,2
full,1,2
full,0,1
full,1,8
full,1,2
full,0,7
full,1,5
full,1,28
full,0,14
full,1,19
full,1,35
full,0,15
full,1,3
full,1,3
full,0,1
full,1,12
full,1,2
full,0,28
full,1,13
full,1,6
full,0,6
full,1,1
full,1,7
full,0,13
full,1,6
full,1,7
full,0,3
full,1,3
full,1,37
full,0,6
full,1,12
full,1,9
full,0,5
full,1,14
full,1,1
full,0,8
full,1,14
full,1,10
full,0,23
full,1,0
full,1,1
full,0,3
full,1,12
full,1,10
full,0,2
full,1,56
full,1,5
full,0,5
full,1,5
full,1,4
full,0,13
full,1,12
full,1,8
full,0,2
full,1,3
full,1,4
full,1,20
full,1,27
full,0,13
full,1,13
full,1,5
full,0,22
full,1,1
full,1,1
full,0,5
full,1,19
full,1,39
full,0,2
full,1,4
full,1,11
full,0,1
full,1,18
full,1,7
full,0,4
full,1,14
full,1,0
full,0,7
full,1,8
full,1,7
full,0,14
full,1,6
full,1,12
full,0,6
full,1,8
full,1,6
full,0,3
full,1,2
full,1,6
full,1,5
full,1,42
full,0,1
full,1,14
full,1,13
full,0,9
full,1,7
full,1,7
full,0,17
full,1,19
full,1,19
full,0,1
full,1,6
full,1,6
full,0,5
full,1,17
full,1,5
full,0,20
full,1,36
full,1,23
full,0,7
full,1,1
full,1,5
full,1,1
full,1,24
full,0,13
full,1,12
full,1,10
full,0,10
full,1,17
full,1,4
full,0,16
full,1,10
full,1,7
full,0,43
full,1,2
full,1,5
full,0,5
full,1,27
full,1,4
full,0,66
full,1,1
full,1,13
full,0,37
full,1,50
full,1,36
full,0,1
full,1,8
full,1,2
full,0,1
full,1,3
full,1,4
full,1,12
full,1,15
full,0,2
full,1,1
full,1,1
full,1,55
full,1,130
full,0,1
full,1,11
full,1,4
full,0,16
full,1,9
full,1,13
full,0,5
full,1,4
full,1,4
full,0,9
full,1,8
full,1,2
full,1,5
full,1,4
full,0,4
full,1,14
full,1,6
full,0,27
full,1,2
full,1,29
full,1,13
full,1,15
full,0,4
full,1,13
full,1,11
full,1,16
full,1,5
full,0,11
full,1,16
full,1,51
full,0,2
full,1,3
full,1,3
full,0,31
full,1,15
full,1,20
full,0,3
full,1,2
full,1,5
full,0,1
full,1,5
full,1,1
full,0,10
full,1,37
full,1,9
full,0,2
full,1,5
full,1,7
full,0,3
full,1,41
full,1,31
full,0,11
full,1,10
full,1,11
full,0,9
full,1,10
full,1,27
full,1,10
full,1,19
full,0,2
full,1,2
full,1,25
full,1,29
full,1,12
full,0,4
full,1,15
full,1,2
full,0,6
full,1,40
full,1,14
full,1,37
full,1,27
full,0,19
full,1,0
full,1,14
full,0,41
full,1,1
full,1,11
full,0,18
full,1,23
full,1,25
full,1,2
full,1,1
full,0,25
full,1,4
full,1,3
full,1,3
full,1,3
full,0,5
full,1,3
full,1,2
full,1,4
full,1,3
full,0,47
full,1,6
full,1,33
full,0,13
full,1,25
full,1,20
full,0,1
full,1,7
full,1,2
full,0,5
full,1,8
full,1,22
full,0,4
full,1,19
full,1,18
full,1,16
full,1,13
full,0,16
full,1,2
full,1,18
full,0,3
full,1,5
full,1,1
full,0,2
full,1,29
full,1,17
full,0,3
full,1,23
full,1,6
full,1,18
full,1,9
full,1,16
full,1,12
full,1,16
full,1,8
full,1,1
full,1,9
full,0,1
full,1,10
full,1,0
full,1,25
full,1,25
full,0,5
full,1,23
full,1,11
full,1,19
full,1,9
full,0,21
full,1,5
full,1,6
full,0,6
full,1,4
full,1,14
full,0,36
full,1,17
full,1,18
full,0,5
full,1,15
full,1,7
full,0,10
full,1,15
full,1,43
full,0,3
full,1,13
full,1,4
full,0,2
full,1,4
full,1,6
full,1,2
full,1,1
full,1,6
full,1,8
full,0,36
full,1,23
full,1,13
full,0,19
full,1,35
full,1,30
full,0,4
full,1,3
full,1,6
full,0,15
full,1,6
full,1,11
full,0,4
full,1,12
full,1,5
full,0,3
full,1,6
full,1,11
full,0,24
full,1,8
full,1,3
full,1,23
full,1,23
full,0,111
full,1,14
full,1,1
full,1,37
full,1,13
full,0,1
full,1,20
full,1,1
full,0,7
full,1,15
full,1,3
full,0,4
full,1,19
full,1,20
full,1,9
full,1,15
full,0,1
full,1,3
full,1,1
full,1,76
full,1,27
full,0,2
full,1,14
full,1,10
full,1,25
full,1,2
full,1,21
full,1,19
full,0,42
full,1,6
full,1,7
full,0,14
full,1,20
full,1,10
full,0,3
full,1,1
full,1,10
full,0,13
full,1,9
full,1,20
full,1,21
full,1,1
full,0,4
full,1,4
full,1,5
full,0,180
full,1,19
full,1,59
full,0,18
full,1,0
full,1,69
full,0,7
full,1,57
full,1,45
full,0,20
full,1,19
full,1,1
full,0,6
full,1,43
full,1,12
full,0,4
full,1,7
full,1,21
full,0,11
full,1,29
full,1,25
full,0,7
full,1,264
full,1,32
full,0,1
full,1,1
full,1,7
full,0,12
full,1,10
full,1,6
full,0,22
full,1,1
full,1,4
full,0,3
full,1,2
full,1,2
full,0,50
full,1,5
full,1,1
full,0,11
full,1,36
full,1,5
full,1,6
full,1,6
full,0,19
full,1,45
full,1,3
full,1,54
full,1,6
full,0,1
full,1,3
full,1,1
full,1,10
full,1,3
full,0,54
full,1,17
full,1,47
full,0,5
full,1,45
full,1,21
full,0,5
full,1,13
full,1,3
full,1,2
full,1,48
full,0,10
full,1,4
full,1,2
full,0,14
full,1,10
full,1,4
full,0,32
full,1,38
full,1,0
full,0,28
full,1,21
full,1,26
full,0,1
full,1,5
full,1,3
full,0,14
full,1,17
full,1,24
full,1,2
full,1,11
full,0,20
full,1,34
full,1,5
full,0,1
full,1,9
full,1,12
full,0,4
full,1,39
full,1,20
full,0,1
full,1,5
full,1,23
full,0,6
full,1,5
full,1,4
full,0,10
full,1,4
full,1,0
full,0,5
full,1,27
full,1,0
full,1,53
full,1,5
full,0,2
full,1,7
full,1,4
full,0,3
full,1,3
full,1,1
full,1,12
full,1,4
full,0,8
full,1,14
full,1,2
full,0,34
full,1,14
full,1,82
full,0,1
full,1,15
full,1,1
full,0,3
full,1,29
full,1,9
full,0,5
full,1,5
full,1,19
full,0,20
full,1,25
full,1,23
full,0,19
full,1,6
full,1,0
full,0,14
full,1,36
full,1,6
full,0,3
full,1,26
full,1,5
full,0,2
full,1,2
full,1,6
full,0,9
full,1,8
full,1,21
full,0,6
full,1,21
full,1,29
full,1,8
full,1,10
full,0,2
full,1,1
full,1,5
full,0,46
full,1,15
full,1,1
full,1,8
full,1,3
full,1,4
full,1,9
full,1,13
full,1,1
full,0,1
full,1,3
full,1,2
full,0,6
full,1,2
full,1,14
full,0,15
full,1,41
full,1,7
full,0,10
full,1,28
full,1,4
full,0,16
full,1,15
full,1,13
full,0,1
full,1,2
full,1,6
full,0,6
full,1,2
full,1,2
full,0,15
full,1,61
full,1,47
full,0,3
full,1,3
full,1,3
full,0,7
full,1,30
full,1,21
full,0,21
full,1,2
full,1,45
full,0,1
full,1,14
full,1,16
full,0,1
full,1,1
full,1,3
full,0,13
full,1,18
full,1,2
full,0,11
full,1,1
full,1,12
full,0,1
full,1,2
full,1,5
full,0,2
full,1,1
full,1,1
full,0,12
full,1,6
full,1,45
full,0,5
full,1,13
full,1,2
full,1,7
full,1,6
full,1,59
full,1,63
full,0,9
full,1,4
full,1,9
full,0,8
full,1,20
full,1,9
full,0,3
full,1,8
full,1,3
full,0,19
full,1,7
full,1,7
full,1,24
full,1,17
full,0,21
full,1,43
full,1,2
full,0,2
full,1,6
full,1,5
full,1,24
full,1,4
full,0,26
full,1,0
full,1,12
full,0,3
full,1,12
full,1,1
full,0,4
full,1,2
full,1,2
full,1,21
full,1,24
full,1,27
full,1,3
full,1,6
full,1,2
full,0,9
full,1,14
full,1,16
full,0,18
full,1,13
full,1,15
full,0,11
full,1,2
full,1,35
full,0,4
full,1,22
full,1,3
full,1,8
full,1,9
full,0,1
full,1,1
full,1,2
full,0,5
full,1,21
full,1,4
full,0,12
full,1,1
full,1,22
full,1,26
full,1,9
full,0,32
full,1,26
full,1,9
full,1,7
full,1,3
full,1,0
full,1,76
full,0,18
full,1,27
full,1,19
full,1,2
full,1,22
full,0,14
full,1,32
full,1,22
full,0,7
full,1,9
full,1,24
full,0,29
full,1,1
full,1,6
full,0,3
full,1,16
full,1,9
full,0,5
full,1,6
full,1,4
full,0,5
full,1,2
full,1,8
full,0,41
full,1,1
full,1,7
full,0,1
full,1,3
full,1,3
full,0,11
full,1,1
full,1,18
full,0,12
full,1,0
full,1,14
full,0,5
full,1,7
full,1,17
full,0,10
full,1,1
full,1,34
full,0,11
full,1,16
full,1,37
full,0,3
full,1,3
full,1,8
full,1,7
full,1,1
full,0,3
full,1,5
full,1,42
full,0,29
full,1,11
full,1,9
full,0,5
full,1,4
full,1,3
full,0,7
full,1,6
full,1,12
full,0,36
full,1,17
full,1,17
full,0,13
full,1,20
full,1,1
full,1,6
full,1,2
full,0,3
full,1,3
full,1,16
full,0,3
full,1,4
full,1,3
full,0,68
full,1,69
full,1,52
full,0,4
full,1,12
full,1,5
full,0,20
full,1,37
full,1,44
full,0,36
full,1,37
full,1,29
full,0,2
full,1,14
full,1,2
full,0,35
full,1,20
full,1,13
full,1,1
full,1,10
full,0,48
full,1,33
full,1,2
full,1,13
full,1,14
full,0,1
full,1,4
full,1,5
full,0,26
full,1,26
full,1,56
full,0,17
full,1,3
full,1,26
full,0,20
full,1,4
full,1,4
full,0,9
full,1,15
full,1,14
full,0,16
full,1,53
full,1,2
full,0,25
full,1,27
full,1,20
full,1,24
full,1,15
full,0,57
full,1,45
full,1,0
full,0,42
full,1,18
full,1,0
full,0,10
full,1,11
full,1,13
full,0,9
full,1,48
full,1,9
full,1,53
full,1,12
full,0,32
full,1,22
full,1,32
full,0,7
full,1,8
full,1,11
full,0,13
full,1,23
full,1,2
full,1,75
full,1,11
full,0,2
full,1,19
full,1,3
full,0,8
full,1,2
full,1,2
full,1,79
full,1,65
full,1,20
full,1,4
full,0,3
full,1,17
full,1,16
full,0,60
full,1,1
full,1,18
full,0,24
full,1,1
full,1,1
full,0,4
full,1,3
full,1,10
full,0,7
full,1,13
full,1,12
full,0,33
full,1,38
full,1,1
full,0,1
full,1,5
full,1,3
full,0,4
full,1,4
full,1,27
full,0,14
full,1,17
full,1,16
full,0,1
full,1,1
full,1,7
full,0,6
full,1,5
full,1,6
full,0,39
full,1,2
full,1,8
full,0,6
full,1,11
full,1,3
full,0,4
full,1,15
full,1,2
full,0,2
full,1,8
full,1,35
full,1,9
full,1,12
full,0,2
full,1,9
full,1,7
full,0,39
full,1,0
full,1,0
full,0,11
full,1,1
full,1,6
full,0,2
full,1,37
full,1,2
full,0,9
full,1,42
full,1,20
full,0,17
full,1,15
full,1,2
full,0,1
full,1,6
full,1,6
full,1,19
full,1,4
full,0,19
full,1,61
full,1,36
full,0,15
full,1,2
full,1,9
full,1,3
full,1,38
full,0,3
full,1,6
full,1,12
full,0,3
full,1,19
full,1,3
full,0,1
full,1,11
full,1,3
full,0,9
full,1,41
full,1,12
full,0,52
full,1,53
full,1,0
full,1,18
full,1,24
full,0,4
full,1,2
full,1,4
full,0,10
full,1,30
full,1,16
full,0,12
full,1,3
full,1,17
full,1,10
full,1,7
full,1,16
full,1,21
full,0,57
full,1,1
full,1,23
full,1,13
full,1,7
full,1,27
full,1,20
full,0,9
full,1,20
full,1,15
full,1,6
full,1,8
full,0,16
full,1,8
full,1,1
full,0,7
full,1,11
full,1,1
full,0,5
full,1,5
full,1,6
full,0,22
full,1,7
full,1,7
full,1,12
full,1,13
full,1,12
full,1,3
full,0,7
full,1,11
full,1,2
full,0,4
full,1,4
full,1,12
full,0,10
full,1,10
full,1,5
full,0,14
full,1,2
full,1,8
full,0,2
full,1,2
full,1,11
full,0,14
full,1,1
full,1,17
full,0,6
full,1,4
full,1,4
full,0,29
full,1,59
full,1,11
full,0,3
full,1,50
full,1,3
full,0,34
full,1,135
full,1,22
full,0,25
full,1,38
full,1,9
full,0,1
full,1,5
full,1,30
full,0,4
full,1,2
full,1,34
full,0,23
full,1,37
full,1,43
full,0,4
full,1,10
full,1,4
full,0,5
full,1,20
full,1,3
full,0,6
full,1,12
full,1,9
full,0,3
full,1,13
full,1,13
full,0,7
full,1,10
full,1,2
full,0,32
full,1,24
full,1,7
full,0,2
full,1,3
full,1,3
full,1,15
full,1,4
full,0,48
full,1,8
full,1,49
full,0,6
full,1,27
full,1,7
full,0,40
full,1,0
full,1,0
full,0,11
full,1,12
full,1,19
full,1,42
full,1,76
full,0,17
full,1,18
full,1,16
full,0,2
full,1,19
full,1,36
full,0,40
full,1,28
full,1,3
full,0,15
full,1,8
full,1,10
full,0,2
full,1,3
full,1,3
full,0,3
full,1,2
full,1,2
full,1,1
full,1,1
full,1,20
full,1,16
full,0,2
full,1,2
full,1,7
full,1,40
full,1,28
full,1,1
full,1,13
full,0,3
full,1,4
full,1,4
full,0,78
full,1,2
full,1,41
full,1,2
full,1,3
full,0,6
full,1,18
full,1,20
full,0,1
full,1,2
full,1,10
full,0,4
full,1,3
full,1,8
full,0,10
full,1,9
full,1,8
full,0,61
full,1,7
full,1,11
full,0,37
full,1,13
full,1,45
full,0,31
full,1,36
full,1,29
full,1,21
full,1,32
full,0,3
full,1,8
full,1,2
full,0,20
full,1,46
full,1,26
full,1,33
full,1,32
full,0,3
full,1,0
full,1,28
full,0,11
full,1,47
full,1,2
full,1,44
full,1,35
full,0,24
full,1,31
full,1,9
full,0,1
full,1,1
full,1,7
full,0,9
full,1,3
full,1,16
full,0,9
full,1,26
