alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.05,537,82,111,3,108,0.02702702702702703,0.15104895104895105,0.0026070763500931097,0,betting,all,5128
0.1,537,94,133,4,129,0.03007518796992481,0.18041958041958042,0.0032278088144009932,0,betting,all,5128
0.15,537,108,156,6,150,0.038461538461538464,0.2097902097902098,0.006021104903786468,0,betting,all,5128
0.2,537,116,173,8,165,0.046242774566473986,0.23076923076923078,0.008690254500310366,0,betting,all,5128
0.05,537,64,96,1,95,0.010416666666666666,0.14393939393939395,0.00186219739292365,1,betting,all,5218
0.1,537,86,155,6,149,0.03870967741935484,0.22575757575757577,0.004519409826672397,1,betting,all,5218
0.15,537,96,174,7,167,0.040229885057471264,0.25303030303030305,0.006381607219596047,1,betting,all,5218
0.2,537,104,193,10,183,0.05181347150259067,0.2772727272727273,0.011020171634696773,1,betting,all,5218
0.05,537,77,102,9,93,0.08823529411764706,0.13839285714285715,0.0111731843575419,2,betting,all,4569
0.1,537,86,118,11,107,0.09322033898305085,0.15922619047619047,0.013656114214773432,2,betting,all,4569
0.15,537,94,136,12,124,0.08823529411764706,0.18452380952380953,0.01551831160769708,2,betting,all,4569
0.2,537,100,144,13,131,0.09027777777777778,0.1949404761904762,0.01738050900062073,2,betting,all,4569
0.05,537,86,120,2,118,0.016666666666666666,0.19376026272577998,0.002793296089385475,3,betting,all,6073
0.1,537,98,140,4,136,0.02857142857142857,0.2233169129720854,0.004655493482309125,3,betting,all,6073
0.15,537,107,154,6,148,0.03896103896103896,0.24302134646962234,0.008379888268156424,3,betting,all,6073
0.2,537,115,171,10,161,0.05847953216374269,0.26436781609195403,0.013345747982619489,3,betting,all,6073
0.05,537,72,94,2,92,0.02127659574468085,0.14219474497681608,0.0037243947858473,4,betting,all,5632
0.1,537,86,118,5,113,0.0423728813559322,0.17465224111282843,0.006828057107386715,4,betting,all,5632
0.15,537,94,130,7,123,0.05384615384615385,0.1901081916537867,0.010552451893234015,4,betting,all,5632
0.2,537,105,148,10,138,0.06756756756756757,0.2132921174652241,0.013345747982619489,4,betting,all,5632
