alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.05,537,82,111,3,108,0.02702702702702703,0.15104895104895105,0.0026070763500931097,0,betting
0.1,537,94,133,4,129,0.03007518796992481,0.18041958041958042,0.0032278088144009932,0,betting
0.15,537,108,156,6,150,0.038461538461538464,0.2097902097902098,0.006021104903786468,0,betting
0.2,537,116,173,8,165,0.046242774566473986,0.23076923076923078,0.008690254500310366,0,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.05,537,135,232,25,207,0.10775862068965517,0.2895104895104895,0.019375720493038925,0,pvalue_bh
0.1,537,157,296,45,251,0.15202702702702703,0.35104895104895106,0.037911235257603974,0,pvalue_bh
0.15,537,176,338,74,264,0.21893491124260356,0.36923076923076925,0.06627387200012899,0,pvalue_bh
0.2,537,191,499,206,293,0.41282565130260523,0.4097902097902098,0.08925241104493657,0,pvalue_bh
0.05,537,64,96,1,95,0.010416666666666666,0.14393939393939395,0.00186219739292365,1,betting
0.1,537,86,155,6,149,0.03870967741935484,0.22575757575757577,0.004519409826672397,1,betting
0.15,537,96,174,7,167,0.040229885057471264,0.25303030303030305,0.006381607219596047,1,betting
0.2,537,104,193,10,183,0.05181347150259067,0.2772727272727273,0.011020171634696773,1,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.05,537,130,254,23,231,0.09055118110236221,0.35,0.026118124581811734,1,pvalue_bh
0.1,537,151,319,42,277,0.13166144200626959,0.4196969696969697,0.03687508952872081,1,pvalue_bh
0.15,537,173,378,77,301,0.2037037037037037,0.45606060606060606,0.06989177391265013,1,pvalue_bh
0.2,537,190,430,109,321,0.2534883720930233,0.4863636363636364,0.09696788405299742,1,pvalue_bh
0.05,537,77,102,9,93,0.08823529411764706,0.13839285714285715,0.0111731843575419,2,betting
0.1,537,86,118,11,107,0.09322033898305085,0.15922619047619047,0.013656114214773432,2,betting
0.15,537,94,136,12,124,0.08823529411764706,0.18452380952380953,0.01551831160769708,2,betting
0.2,537,100,144,13,131,0.09027777777777778,0.1949404761904762,0.01738050900062073,2,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,2,binary
0.1,537,28,31,10,21,0.3225806451612903,0.03125,0.01675977653631285,2,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,2,binary
0.2,537,41,46,23,23,0.5,0.03422619047619048,0.03910614525139665,2,binary
0.05,537,131,222,30,192,0.13513513513513514,0.2857142857142857,0.029639975170701424,2,pvalue_bh
0.1,537,159,288,57,231,0.19791666666666666,0.34375,0.06019848659513464,2,pvalue_bh
0.15,537,186,356,105,251,0.2949438202247191,0.37351190476190477,0.09882131369561536,2,pvalue_bh
0.2,537,207,466,189,277,0.4055793991416309,0.41220238095238093,0.13362447403859576,2,pvalue_bh
0.05,537,86,120,2,118,0.016666666666666666,0.19376026272577998,0.002793296089385475,3,betting
0.1,537,98,140,4,136,0.02857142857142857,0.2233169129720854,0.004655493482309125,3,betting
0.15,537,107,154,6,148,0.03896103896103896,0.24302134646962234,0.008379888268156424,3,betting
0.2,537,115,171,10,161,0.05847953216374269,0.26436781609195403,0.013345747982619489,3,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.05,537,143,229,19,210,0.08296943231441048,0.3448275862068966,0.025822470515207946,3,pvalue_bh
0.1,537,169,301,51,250,0.16943521594684385,0.41050903119868637,0.05830229671011794,3,pvalue_bh
0.15,537,181,347,77,270,0.2219020172910663,0.4433497536945813,0.07296331940597468,3,pvalue_bh
0.2,537,206,399,107,292,0.2681704260651629,0.4794745484400657,0.10423206526558482,3,pvalue_bh
0.05,537,72,94,2,92,0.02127659574468085,0.14219474497681608,0.0037243947858473,4,betting
0.1,537,86,118,5,113,0.0423728813559322,0.17465224111282843,0.006828057107386715,4,betting
0.15,537,94,130,7,123,0.05384615384615385,0.1901081916537867,0.010552451893234015,4,betting
0.2,537,105,148,10,138,0.06756756756756757,0.2132921174652241,0.013345747982619489,4,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,4,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,4,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,4,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,4,binary
0.05,537,131,190,13,177,0.06842105263157895,0.2735703245749614,0.017690875232774673,4,pvalue_bh
0.1,537,155,311,96,215,0.3086816720257235,0.3323029366306028,0.0404096834264432,4,pvalue_bh
0.15,537,183,448,193,255,0.43080357142857145,0.3941267387944359,0.08022431583258731,4,pvalue_bh
0.2,537,202,534,255,279,0.47752808988764045,0.4312210200927357,0.10750414493431253,4,pvalue_bh
