bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500007905066013,0.05047413767315442,240,8,0.013576196402307953,0.003770028275212064,0.27769399937166195
1,0.05047413767315442,0.05101100420579311,240,7,0.013576196402307953,0.003298774740810556,0.24298224945020422
2,0.05101100420579311,0.05154540594667193,242,6,0.013689331372327185,0.002827521206409048,0.20654925573098826
3,0.05154540594667193,0.05214117933064691,239,8,0.013519628917298337,0.003770028275212064,0.2788558989506229
4,0.05214117933064691,0.05271291756071145,242,6,0.013689331372327185,0.002827521206409048,0.20654925573098826
5,0.05271291756071145,0.05325561128556723,243,4,0.013745898857336803,0.001885014137606032,0.13713283919588243
6,0.05325561128556723,0.05377236502245062,245,3,0.013859033827356036,0.001413760603204524,0.10201004058550847
7,0.05377236502245062,0.05438296496868132,240,7,0.013576196402307953,0.003298774740810556,0.24298224945020422
8,0.05438296496868132,0.054999169008806296,240,8,0.013576196402307953,0.003770028275212064,0.27769399937166195
9,0.054999169008806296,0.05560820922255513,239,8,0.013519628917298337,0.003770028275212064,0.2788558989506229
10,0.05560820922255513,0.05622069537639613,240,8,0.013576196402307953,0.003770028275212064,0.27769399937166195
11,0.05622069537639613,0.056855606846511364,241,6,0.01363276388731757,0.002827521206409048,0.2074063065846438
12,0.056855606846511364,0.05745935416780409,240,8,0.013576196402307953,0.003770028275212064,0.27769399937166195
13,0.05745935416780409,0.05806195875629777,238,9,0.01346306143228872,0.004241281809613572,0.3150310076905409
14,0.05806195875629777,0.05871994467452165,236,12,0.013349926462269488,0.005655042412818096,0.4236010159906708
15,0.05871994467452165,0.05935696288943288,239,8,0.013519628917298337,0.003770028275212064,0.2788558989506229
16,0.05935696288943288,0.060001570405438485,244,4,0.01380246634234642,0.001885014137606032,0.13657081936311244
17,0.060001570405438485,0.06071922751143569,244,3,0.01380246634234642,0.001413760603204524,0.10242811452233433
18,0.06071922751143569,0.061479436000809,242,6,0.013689331372327185,0.002827521206409048,0.20654925573098826
19,0.061479436000809,0.062157836742699105,244,3,0.01380246634234642,0.001413760603204524,0.10242811452233433
20,0.062157836742699105,0.06290577910840507,243,5,0.013745898857336803,0.00235626767200754,0.17141604899485305
21,0.06290577910840507,0.06367082521319387,237,10,0.013406493947279104,0.00471253534401508,0.35151139160969863
22,0.06367082521319387,0.06443651132285592,239,9,0.013519628917298337,0.004241281809613572,0.3137128863194507
23,0.06443651132285592,0.06531342789530752,244,3,0.01380246634234642,0.001413760603204524,0.10242811452233433
24,0.06531342789530752,0.06613220088183874,244,4,0.01380246634234642,0.001885014137606032,0.13657081936311244
25,0.06613220088183874,0.06703175939619539,244,3,0.01380246634234642,0.001413760603204524,0.10242811452233433
26,0.06703175939619539,0.06799856564030042,235,13,0.01329335897725987,0.006126295947219604,0.4608538712976518
27,0.06799856564030042,0.06891813389956947,238,9,0.01346306143228872,0.004241281809613572,0.3150310076905409
28,0.06891813389956947,0.06989750228822227,243,5,0.013745898857336803,0.00235626767200754,0.17141604899485305
29,0.06989750228822227,0.07082279305905101,238,9,0.01346306143228872,0.004241281809613572,0.3150310076905409
30,0.07082279305905101,0.07183514330536124,234,14,0.013236791492250254,0.006597549481621112,0.498425127077342
31,0.07183514330536124,0.07298775166273111,240,7,0.013576196402307953,0.003298774740810556,0.24298224945020422
32,0.07298775166273111,0.0740793467499315,240,8,0.013576196402307953,0.003770028275212064,0.27769399937166195
33,0.0740793467499315,0.0753508649766445,240,7,0.013576196402307953,0.003298774740810556,0.24298224945020422
34,0.0753508649766445,0.07672211294993755,233,15,0.013180224007240638,0.00706880301602262,0.5363188829066433
35,0.07672211294993755,0.07792106904089445,237,10,0.013406493947279104,0.00471253534401508,0.35151139160969863
36,0.07792106904089445,0.0793419475667178,240,8,0.013576196402307953,0.003770028275212064,0.27769399937166195
37,0.0793419475667178,0.08056716173887249,233,14,0.013180224007240638,0.006597549481621112,0.500564290712867
38,0.08056716173887249,0.08196839420124886,238,10,0.01346306143228872,0.00471253534401508,0.3500344529894898
39,0.08196839420124886,0.08349535614252085,238,9,0.01346306143228872,0.004241281809613572,0.3150310076905409
40,0.08349535614252085,0.08512519095093003,234,13,0.013236791492250254,0.006126295947219604,0.4628233322861033
41,0.08512519095093003,0.08688117451965802,235,13,0.01329335897725987,0.006126295947219604,0.4608538712976518
42,0.08688117451965802,0.08865601504221558,229,18,0.012953954067202173,0.008482563619227144,0.654824277994312
43,0.08865601504221558,0.090272245183587,236,12,0.013349926462269488,0.005655042412818096,0.4236010159906708
44,0.090272245183587,0.0921260947361588,236,11,0.013349926462269488,0.0051837888784165885,0.38830093132478155
45,0.0921260947361588,0.09403446055948732,242,6,0.013689331372327185,0.002827521206409048,0.20654925573098826
