method,alpha,total_rejections,fdp,recall
betting,0.05,193.6,0.06008138521503944,0.26280673943310473
betting,0.1,260.95,0.11506738304682344,0.33312007676412747
betting,0.15,341.55,0.19371381788484315,0.39494233129995726
betting,0.2,369.45,0.21415971758983177,0.4192286067136769
binary,0.05,0.0,0.0,0.0
binary,0.1,17.6,0.011789772727272729,0.020014880952380954
binary,0.15,0.0,0.0,0.0
binary,0.2,17.6,0.011789772727272729,0.020014880952380954
pvalue_bh,0.05,372.2,0.21739009762535105,0.4208056241177031
pvalue_bh,0.1,372.2,0.21739009762535105,0.4208056241177031
pvalue_bh,0.15,372.2,0.21739009762535105,0.4208056241177031
pvalue_bh,0.2,372.2,0.21739009762535105,0.4208056241177031
