seed,alpha,iou_thresh,n_candidates,n_clusters,compression_ratio,mean_cluster_size,max_cluster_size,nms_rej,nms_fp,nms_tp,nms_tp_members,nms_fdp_pooled,nms_family_fdp_mean,nms_recall_cluster,nms_recall_members,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall,total_tp_clusters,nms_hit_tp_clusters,base_hit_tp_clusters,nms_recall_object,base_recall_object
0,0.05,0.5,6366,4398,0.6908576814326107,1.4474761255115962,44,108,3,105,118,0.027777777777777776,0.0026070763500931097,0.14685314685314685,0.16503496503496504,111,3,108,0.02702702702702703,0.0026070763500931097,0.15104895104895105,433,105,106,0.24249422632794457,0.24480369515011546
0,0.1,0.5,6366,4398,0.6908576814326107,1.4474761255115962,44,130,5,125,148,0.038461538461538464,0.004158907510862818,0.17482517482517482,0.206993006993007,133,4,129,0.03007518796992481,0.0032278088144009932,0.18041958041958042,433,125,127,0.28868360277136257,0.29330254041570436
0,0.15,0.5,6366,4398,0.6908576814326107,1.4474761255115962,44,153,9,144,175,0.058823529411764705,0.009745499689633766,0.2013986013986014,0.24475524475524477,156,6,150,0.038461538461538464,0.006021104903786468,0.2097902097902098,433,144,146,0.3325635103926097,0.3371824480369515
0,0.2,0.5,6366,4398,0.6908576814326107,1.4474761255115962,44,162,10,152,192,0.06172839506172839,0.010552451893234015,0.2125874125874126,0.26853146853146853,173,8,165,0.046242774566473986,0.008690254500310366,0.23076923076923078,433,152,161,0.3510392609699769,0.371824480369515
1,0.05,0.5,5601,4097,0.731476522049634,1.3670978764949964,36,101,1,100,107,0.009900990099009901,0.00186219739292365,0.15151515151515152,0.1621212121212121,96,1,95,0.010416666666666666,0.00186219739292365,0.14393939393939395,425,100,95,0.23529411764705882,0.2235294117647059
1,0.1,0.5,5601,4097,0.731476522049634,1.3670978764949964,36,141,6,135,159,0.0425531914893617,0.005005650257046906,0.20454545454545456,0.2409090909090909,155,6,149,0.03870967741935484,0.004519409826672397,0.22575757575757577,425,135,148,0.3176470588235294,0.34823529411764703
1,0.15,0.5,5601,4097,0.731476522049634,1.3670978764949964,36,163,7,156,197,0.04294478527607362,0.0068678476499705555,0.23636363636363636,0.29848484848484846,174,7,167,0.040229885057471264,0.006381607219596047,0.25303030303030305,425,156,166,0.36705882352941177,0.3905882352941176
1,0.2,0.5,5601,4097,0.731476522049634,1.3670978764949964,36,183,11,172,222,0.060109289617486336,0.01094399083225899,0.2606060606060606,0.33636363636363636,193,10,183,0.05181347150259067,0.011020171634696773,0.2772727272727273,425,172,179,0.4047058823529412,0.4211764705882353
10,0.05,0.5,5879,4214,0.7167885694846062,1.3951115329852872,21,98,2,96,122,0.02040816326530612,0.002482929857231533,0.14814814814814814,0.1882716049382716,102,1,101,0.00980392156862745,0.00186219739292365,0.1558641975308642,408,96,99,0.23529411764705882,0.2426470588235294
10,0.1,0.5,5879,4214,0.7167885694846062,1.3951115329852872,21,133,4,129,169,0.03007518796992481,0.005276225946617008,0.19907407407407407,0.26080246913580246,146,4,142,0.0273972602739726,0.0062073246430788325,0.2191358024691358,408,129,137,0.3161764705882353,0.33578431372549017
