seed,alpha,iou_thresh,n_candidates,n_clusters,compression_ratio,mean_cluster_size,max_cluster_size,nms_rej,nms_fp,nms_tp,nms_tp_members,nms_fdp_pooled,nms_family_fdp_mean,nms_recall_cluster,nms_recall_members,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall,total_tp_clusters,nms_hit_tp_clusters,base_hit_tp_clusters,nms_recall_object,base_recall_object
0,0.05,0.7,6366,6366,1.0,1.0,1,111,3,108,108,0.02702702702702703,0.0026070763500931097,0.15104895104895105,0.15104895104895105,111,3,108,0.02702702702702703,0.0026070763500931097,0.15104895104895105,715,108,108,0.15104895104895105,0.15104895104895105
0,0.1,0.7,6366,6366,1.0,1.0,1,133,4,129,129,0.03007518796992481,0.0032278088144009932,0.18041958041958042,0.18041958041958042,133,4,129,0.03007518796992481,0.0032278088144009932,0.18041958041958042,715,129,129,0.18041958041958042,0.18041958041958042
0,0.15,0.7,6366,6366,1.0,1.0,1,156,6,150,150,0.038461538461538464,0.006021104903786468,0.2097902097902098,0.2097902097902098,156,6,150,0.038461538461538464,0.006021104903786468,0.2097902097902098,715,150,150,0.2097902097902098,0.2097902097902098
0,0.2,0.7,6366,6366,1.0,1.0,1,173,8,165,165,0.046242774566473986,0.008690254500310366,0.23076923076923078,0.23076923076923078,173,8,165,0.046242774566473986,0.008690254500310366,0.23076923076923078,715,165,165,0.23076923076923078,0.23076923076923078
1,0.05,0.7,5601,5601,1.0,1.0,1,96,1,95,95,0.010416666666666666,0.00186219739292365,0.14393939393939395,0.14393939393939395,96,1,95,0.010416666666666666,0.00186219739292365,0.14393939393939395,660,95,95,0.14393939393939395,0.14393939393939395
1,0.1,0.7,5601,5601,1.0,1.0,1,155,6,149,149,0.03870967741935484,0.004519409826672397,0.22575757575757577,0.22575757575757577,155,6,149,0.03870967741935484,0.004519409826672397,0.22575757575757577,660,149,149,0.22575757575757577,0.22575757575757577
1,0.15,0.7,5601,5601,1.0,1.0,1,174,7,167,167,0.040229885057471264,0.006381607219596047,0.25303030303030305,0.25303030303030305,174,7,167,0.040229885057471264,0.006381607219596047,0.25303030303030305,660,167,167,0.25303030303030305,0.25303030303030305
1,0.2,0.7,5601,5601,1.0,1.0,1,193,10,183,183,0.05181347150259067,0.011020171634696773,0.2772727272727273,0.2772727272727273,193,10,183,0.05181347150259067,0.011020171634696773,0.2772727272727273,660,183,183,0.2772727272727273,0.2772727272727273
10,0.05,0.7,5879,5879,1.0,1.0,1,102,1,101,101,0.00980392156862745,0.00186219739292365,0.1558641975308642,0.1558641975308642,102,1,101,0.00980392156862745,0.00186219739292365,0.1558641975308642,648,101,101,0.1558641975308642,0.1558641975308642
10,0.1,0.7,5879,5879,1.0,1.0,1,146,4,142,142,0.0273972602739726,0.0062073246430788325,0.2191358024691358,0.2191358024691358,146,4,142,0.0273972602739726,0.0062073246430788325,0.2191358024691358,648,142,142,0.2191358024691358,0.2191358024691358
10,0.15,0.7,5879,5879,1.0,1.0,1,163,6,157,157,0.03680981595092025,0.009000620732464307,0.24228395061728394,0.24228395061728394,163,6,157,0.03680981595092025,0.009000620732464307,0.24228395061728394,648,157,157,0.24228395061728394,0.24228395061728394
10,0.2,0.7,5879,5879,1.0,1.0,1,181,7,174,174,0.03867403314917127,0.009931719428926133,0.26851851851851855,0.26851851851851855,181,7,174,0.03867403314917127,0.009931719428926133,0.26851851851851855,648,174,174,0.26851851851851855,0.26851851851851855
11,0.05,0.7,5927,5927,1.0,1.0,1,95,4,91,91,0.042105263157894736,0.0074487895716946,0.14513556618819776,0.14513556618819776,95,4,91,0.042105263157894736,0.0074487895716946,0.14513556618819776,627,91,91,0.14513556618819776,0.14513556618819776
