alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.05,299,0,0,0,0,0.0,0.0,0.0,0,betting,500,500
0.1,299,0,0,0,0,0.0,0.0,0.0,0,betting,500,500
0.15,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,500,500
0.2,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,500,500
0.05,299,0,0,0,0,0.0,0.0,0.0,0,betting,1000,1000
0.1,299,0,0,0,0,0.0,0.0,0.0,0,betting,1000,1000
0.15,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,1000,1000
0.2,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,1000,1000
0.05,299,0,0,0,0,0.0,0.0,0.0,0,betting,2000,2000
0.1,299,0,0,0,0,0.0,0.0,0.0,0,betting,2000,2000
0.15,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,2000,2000
0.2,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,2000,2000
0.05,299,0,0,0,0,0.0,0.0,0.0,0,betting,5000,5000
0.1,299,0,0,0,0,0.0,0.0,0.0,0,betting,5000,5000
0.15,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,5000,5000
0.2,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,5000,5000
0.05,299,0,0,0,0,0.0,0.0,0.0,0,betting,all,8186
0.1,299,0,0,0,0,0.0,0.0,0.0,0,betting,all,8186
0.15,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,all,8186
0.2,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,all,8186
0.05,299,0,0,0,0,0.0,0.0,0.0,1,betting,500,500
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,1,betting,500,500
0.15,299,8,8,3,5,0.375,0.011655011655011656,0.010033444816053512,1,betting,500,500
0.2,299,8,8,3,5,0.375,0.011655011655011656,0.010033444816053512,1,betting,500,500
0.05,299,0,0,0,0,0.0,0.0,0.0,1,betting,1000,1000
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,1,betting,1000,1000
0.15,299,8,8,3,5,0.375,0.011655011655011656,0.010033444816053512,1,betting,1000,1000
0.2,299,8,8,3,5,0.375,0.011655011655011656,0.010033444816053512,1,betting,1000,1000
0.05,299,0,0,0,0,0.0,0.0,0.0,1,betting,2000,2000
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,1,betting,2000,2000
0.15,299,8,8,3,5,0.375,0.011655011655011656,0.010033444816053512,1,betting,2000,2000
0.2,299,8,8,3,5,0.375,0.011655011655011656,0.010033444816053512,1,betting,2000,2000
