method,alpha,total_rejections,fdp,recall
betting,0.05,0.0,0.0,0.0
betting,0.1,0.6,0.6,0.0
betting,0.15,5.8,0.39166666666666666,0.00896679105461505
betting,0.2,9.4,0.3138888888888889,0.016531334645427796
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,81.4,0.530173877635987,0.09898293444931867
pvalue_bh,0.1,131.2,0.6456754871288888,0.11935933773452875
pvalue_bh,0.15,189.0,0.6744864932772516,0.1589660734313739
pvalue_bh,0.2,253.8,0.6861511408875783,0.20443250019711753
