bin,left,right,null_count,tp_count,p0,p1,phi
0,0.050000961869955,0.05034014657139777,309,7,0.012906986426846533,0.0056457304163726185,0.4374166230336695
1,0.05034014657139777,0.050666634365916244,310,6,0.012948621866933133,0.004940014114326041,0.3815088713758291
2,0.050666634365916244,0.05102276653051375,311,5,0.012990257307019736,0.004234297812279464,0.3259595027414364
3,0.05102276653051375,0.05134834311902519,310,6,0.012948621866933133,0.004940014114326041,0.3815088713758291
4,0.05134834311902519,0.05169355357065793,311,5,0.012990257307019736,0.004234297812279464,0.3259595027414364
5,0.05169355357065793,0.05201566554605956,309,7,0.012906986426846533,0.0056457304163726185,0.4374166230336695
6,0.05201566554605956,0.052365003805607505,312,4,0.013031892747106337,0.0035285815102328866,0.270765082149436
7,0.052365003805607505,0.05268360972404476,309,7,0.012906986426846533,0.0056457304163726185,0.4374166230336695
8,0.05268360972404476,0.05302243959158656,305,11,0.012740444666500124,0.008468595624558928,0.6647017310805763
9,0.05302243959158656,0.053387423977255793,306,10,0.012782080106586727,0.0077628793225123505,0.6073251972902334
10,0.053387423977255793,0.053782000392675375,304,12,0.012698809226413523,0.009174311926605505,0.7224545044367574
11,0.053782000392675375,0.05417045876383772,315,1,0.013156799067366142,0.0014114326040931546,0.10727781102882718
12,0.05417045876383772,0.05455545829609034,309,7,0.012906986426846533,0.0056457304163726185,0.4374166230336695
13,0.05455545829609034,0.05492903348058454,310,5,0.012948621866933133,0.004234297812279464,0.327007604036425
14,0.05492903348058454,0.05533179454505439,312,4,0.013031892747106337,0.0035285815102328866,0.270765082149436
15,0.05533179454505439,0.05577129423618314,310,6,0.012948621866933133,0.004940014114326041,0.3815088713758291
16,0.05577129423618314,0.05622450560331342,310,6,0.012948621866933133,0.004940014114326041,0.3815088713758291
17,0.05622450560331342,0.05672865360975262,310,6,0.012948621866933133,0.004940014114326041,0.3815088713758291
18,0.05672865360975262,0.05720293056219813,305,11,0.012740444666500124,0.008468595624558928,0.6647017310805763
19,0.05720293056219813,0.05768048390746115,310,6,0.012948621866933133,0.004940014114326041,0.3815088713758291
20,0.05768048390746115,0.0581649481318891,303,13,0.012657173786326921,0.009880028228652082,0.7805872302492294
21,0.0581649481318891,0.05866225771605962,313,3,0.01307352818719294,0.0028228652081863093,0.21592221837649292
22,0.05866225771605962,0.05918945763260125,307,9,0.012823715546673328,0.007057163020465773,0.550321238394633
23,0.05918945763260125,0.05973790064454072,305,11,0.012740444666500124,0.008468595624558928,0.6647017310805763
24,0.05973790064454072,0.060308336280286264,309,7,0.012906986426846533,0.0056457304163726185,0.4374166230336695
25,0.060308336280286264,0.06085339207202188,308,8,0.01286535098675993,0.006351446718419196,0.4936862371617872
26,0.06085339207202188,0.06149428524076937,306,9,0.012782080106586727,0.007057163020465773,0.5521138157183939
27,0.06149428524076937,0.06213901340961454,307,9,0.012823715546673328,0.007057163020465773,0.550321238394633
28,0.06213901340961454,0.06275775544345376,311,5,0.012990257307019736,0.004234297812279464,0.3259595027414364
29,0.06275775544345376,0.06340882554650305,305,11,0.012740444666500124,0.008468595624558928,0.6647017310805763
30,0.06340882554650305,0.06400934103876345,307,9,0.012823715546673328,0.007057163020465773,0.550321238394633
31,0.06400934103876345,0.06469442695379254,308,8,0.01286535098675993,0.006351446718419196,0.4936862371617872
32,0.06469442695379254,0.06543001849204294,309,7,0.012906986426846533,0.0056457304163726185,0.4374166230336695
33,0.06543001849204294,0.06621457263827316,305,11,0.012740444666500124,0.008468595624558928,0.6647017310805763
34,0.06621457263827316,0.0671536205336451,301,15,0.012573902906153718,0.011291460832745237,0.8980076366916394
35,0.0671536205336451,0.06803625673055645,304,12,0.012698809226413523,0.009174311926605505,0.7224545044367574
36,0.06803625673055645,0.06886648088693612,305,11,0.012740444666500124,0.008468595624558928,0.6647017310805763
37,0.06886648088693612,0.06972055397927755,303,13,0.012657173786326921,0.009880028228652082,0.7805872302492294
38,0.06972055397927755,0.07066945359110825,307,9,0.012823715546673328,0.007057163020465773,0.550321238394633
39,0.07066945359110825,0.0716200396418571,304,11,0.012698809226413523,0.008468595624558928,0.6668810810185454
40,0.0716200396418571,0.07256931401789181,309,7,0.012906986426846533,0.0056457304163726185,0.4374166230336695
41,0.07256931401789181,0.07360285073518748,311,5,0.012990257307019736,0.004234297812279464,0.3259595027414364
42,0.07360285073518748,0.07469253037124869,308,8,0.01286535098675993,0.006351446718419196,0.4936862371617872
43,0.07469253037124869,0.07585775852203365,306,10,0.012782080106586727,0.0077628793225123505,0.6073251972902334
44,0.07585775852203365,0.07703261449933049,305,11,0.012740444666500124,0.008468595624558928,0.6647017310805763
45,0.07703261449933049,0.07814676873385903,302,14,0.01261553834624032,0.01058574453069866,0.8391036704234996
46,0.07814676873385903,0.07945521138608454,304,12,0.012698809226413523,0.009174311926605505,0.7224545044367574
47,0.07945521138608454,0.08081049770116806,306,10,0.012782080106586727,0.0077628793225123505,0.6073251972902334
48,0.08081049770116806,0.08220121487975118,306,10,0.012782080106586727,0.0077628793225123505,0.6073251972902334
49,0.08220121487975118,0.08376794494688508,300,16,0.012532267466067117,0.011997177134791814,0.9573029914399661
50,0.08376794494688508,0.08538977336138481,299,17,0.012490632025980514,0.012702893436838392,1.0169936485532816
51,0.08538977336138481,0.08722056746482848,299,17,0.012490632025980514,0.012702893436838392,1.0169936485532816
52,0.08722056746482848,0.08892608582973473,302,14,0.01261553834624032,0.01058574453069866,0.8391036704234996
53,0.08892608582973473,0.09094411171972747,308,7,0.01286535098675993,0.0056457304163726185,0.4388322108104775
54,0.09094411171972747,0.09277438744902605,300,16,0.012532267466067117,0.011997177134791814,0.9573029914399661
55,0.09277438744902605,0.0949661329388618,300,16,0.012532267466067117,0.011997177134791814,0.9573029914399661
56,0.0949661329388618,0.09713631011545652,299,17,0.012490632025980514,0.012702893436838392,1.0169936485532816
57,0.09713631011545652,0.09958347454667088,303,13,0.012657173786326921,0.009880028228652082,0.7805872302492294
58,0.09958347454667088,0.10249796621501442,296,20,0.01236572570572071,0.014820042342978124,1.1984773636149784
59,0.10249796621501442,0.1054178737103939,300,16,0.012532267466067117,0.011997177134791814,0.9573029914399661
60,0.1054178737103939,0.10867618806660174,306,10,0.012782080106586727,0.0077628793225123505,0.6073251972902334
61,0.10867618806660174,0.11222060285508628,298,18,0.012448996585893914,0.013408609738884969,1.0770835742760507
62,0.11222060285508628,0.11604359131306405,300,16,0.012532267466067117,0.011997177134791814,0.9573029914399661
63,0.11604359131306405,0.120177574455738,296,20,0.01236572570572071,0.014820042342978124,1.1984773636149784
64,0.120177574455738,0.12493870034813878,297,19,0.012407361145807311,0.014114326040931546,1.137576788090919
65,0.12493870034813878,0.1300407044589519,296,20,0.01236572570572071,0.014820042342978124,1.1984773636149784
66,0.1300407044589519,0.13560303635895252,295,20,0.012324090265634108,0.014820042342978124,1.2025262736271911
67,0.13560303635895252,0.14215942174196244,302,14,0.01261553834624032,0.01058574453069866,0.8391036704234996
68,0.14215942174196244,0.15036176182329652,292,24,0.012199183945374302,0.017642907551164433,1.446236701583165
69,0.15036176182329652,0.1592231728136539,289,27,0.012074277625114498,0.019760056457304165,1.6365415034190738
70,0.1592231728136539,0.17077950499951838,286,30,0.011949371304854692,0.021877205363443897,1.8308248028543397
71,0.17077950499951838,0.18344138860702514,287,29,0.011991006744941295,0.02117148906139732,1.7656139731827805
72,0.18344138860702514,0.20040351897478104,274,42,0.011449746023815472,0.030345800988002825,2.650347084108552
73,0.20040351897478104,0.2196505084633827,274,42,0.011449746023815472,0.030345800988002825,2.650347084108552
74,0.2196505084633827,0.24180170707404613,270,46,0.011283204263469064,0.033168666196189134,2.9396495376386373
75,0.24180170707404613,0.2778562545776368,257,59,0.010741943542343242,0.04234297812279464,3.941835847105743
76,0.2778562545776368,0.3288788907229902,260,56,0.010866849862603048,0.04022582921665491,3.7017010196383815
77,0.3288788907229902,0.3936725676059723,259,57,0.010825214422516447,0.040931545518701484,3.7811302318006623
78,0.3936725676059723,0.4767403237521648,235,81,0.009825963860438006,0.05786873676781934,5.889369998684257
79,0.4767403237521648,0.9553393125534058,188,128,0.007869098176367724,0.09103740296400847,11.568975367140506
