method,alpha,total_rejections,fdp,recall
betting,0.05,0.0,0.0,0.0
betting,0.1,0.5477225575051661,0.5477225575051661,0.0
betting,0.15,5.118593556827891,0.36987235035286914,0.0086637022936403
betting,0.2,1.673320053068151,0.14487116456005886,0.00422603084389938
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,8.44393273303382,0.0420896205794473,0.01873973378192173
pvalue_bh,0.1,17.852170736355845,0.03541342696610179,0.018905905730262185
pvalue_bh,0.15,17.98610574860495,0.02279792128658358,0.0258929451507407
pvalue_bh,0.2,31.822947695020336,0.03128940661545272,0.029849233579829996
