alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.05,299,0,0,0,0,0.0,0.0,0.0,0,betting,all,8186
0.1,299,0,0,0,0,0.0,0.0,0.0,0,betting,all,8186
0.15,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,all,8186
0.2,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting,all,8186
0.05,299,0,0,0,0,0.0,0.0,0.0,1,betting,all,8121
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,1,betting,all,8121
0.15,299,8,8,3,5,0.375,0.011655011655011656,0.010033444816053512,1,betting,all,8121
0.2,299,8,8,3,5,0.375,0.011655011655011656,0.010033444816053512,1,betting,all,8121
0.05,299,0,0,0,0,0.0,0.0,0.0,2,betting,all,7887
0.1,299,0,0,0,0,0.0,0.0,0.0,2,betting,all,7887
0.15,299,0,0,0,0,0.0,0.0,0.0,2,betting,all,7887
0.2,299,9,9,1,8,0.1111111111111111,0.022099447513812154,0.0033444816053511705,2,betting,all,7887
0.05,299,0,0,0,0,0.0,0.0,0.0,3,betting,all,8992
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,3,betting,all,8992
0.15,299,1,1,1,0,1.0,0.0,0.0033444816053511705,3,betting,all,8992
0.2,299,10,10,5,5,0.5,0.015723270440251572,0.016722408026755852,3,betting,all,8992
0.05,299,0,0,0,0,0.0,0.0,0.0,4,betting,all,8190
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,4,betting,all,8190
0.15,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,all,8190
0.2,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,all,8190
0.05,299,0,0,0,0,0.0,0.0,0.0,5,betting,all,8093
0.1,299,0,0,0,0,0.0,0.0,0.0,5,betting,all,8093
0.15,299,4,4,1,3,0.25,0.007957559681697613,0.0033444816053511705,5,betting,all,8093
0.2,299,4,4,1,3,0.25,0.007957559681697613,0.0033444816053511705,5,betting,all,8093
0.05,299,0,0,0,0,0.0,0.0,0.0,6,betting,all,8072
0.1,299,1,1,0,1,0.0,0.002380952380952381,0.0,6,betting,all,8072
0.15,299,1,1,0,1,0.0,0.002380952380952381,0.0,6,betting,all,8072
0.2,299,7,7,0,7,0.0,0.016666666666666666,0.0,6,betting,all,8072
0.05,299,0,0,0,0,0.0,0.0,0.0,7,betting,all,7804
0.1,299,1,1,0,1,0.0,0.0021551724137931034,0.0,7,betting,all,7804
0.15,299,5,5,0,5,0.0,0.010775862068965518,0.0,7,betting,all,7804
0.2,299,5,5,0,5,0.0,0.010775862068965518,0.0,7,betting,all,7804
0.05,299,0,0,0,0,0.0,0.0,0.0,8,betting,all,7333
0.1,299,0,0,0,0,0.0,0.0,0.0,8,betting,all,7333
0.15,299,0,0,0,0,0.0,0.0,0.0,8,betting,all,7333
0.2,299,11,11,1,10,0.09090909090909091,0.02053388090349076,0.0033444816053511705,8,betting,all,7333
0.05,299,0,0,0,0,0.0,0.0,0.0,9,betting,all,8574
0.1,299,0,0,0,0,0.0,0.0,0.0,9,betting,all,8574
0.15,299,7,7,3,4,0.42857142857142855,0.011019283746556474,0.010033444816053512,9,betting,all,8574
0.2,299,7,7,3,4,0.42857142857142855,0.011019283746556474,0.010033444816053512,9,betting,all,8574
0.05,299,0,0,0,0,0.0,0.0,0.0,10,betting,all,7616
0.1,299,1,1,0,1,0.0,0.0030959752321981426,0.0,10,betting,all,7616
0.15,299,1,1,0,1,0.0,0.0030959752321981426,0.0,10,betting,all,7616
0.2,299,11,11,2,9,0.18181818181818182,0.02786377708978328,0.006688963210702341,10,betting,all,7616
0.05,299,0,0,0,0,0.0,0.0,0.0,11,betting,all,8477
0.1,299,0,0,0,0,0.0,0.0,0.0,11,betting,all,8477
0.15,299,4,4,0,4,0.0,0.0106951871657754,0.0,11,betting,all,8477
0.2,299,4,4,0,4,0.0,0.0106951871657754,0.0,11,betting,all,8477
0.05,299,0,0,0,0,0.0,0.0,0.0,12,betting,all,7419
0.1,299,0,0,0,0,0.0,0.0,0.0,12,betting,all,7419
0.15,299,0,0,0,0,0.0,0.0,0.0,12,betting,all,7419
0.2,299,11,11,3,8,0.2727272727272727,0.02373887240356083,0.010033444816053512,12,betting,all,7419
0.05,299,0,0,0,0,0.0,0.0,0.0,13,betting,all,7987
0.1,299,0,0,0,0,0.0,0.0,0.0,13,betting,all,7987
0.15,299,6,6,3,3,0.5,0.006666666666666667,0.010033444816053512,13,betting,all,7987
0.2,299,6,6,3,3,0.5,0.006666666666666667,0.010033444816053512,13,betting,all,7987
0.05,299,0,0,0,0,0.0,0.0,0.0,14,betting,all,8800
0.1,299,0,0,0,0,0.0,0.0,0.0,14,betting,all,8800
0.15,299,0,0,0,0,0.0,0.0,0.0,14,betting,all,8800
0.2,299,5,5,1,4,0.2,0.012012012012012012,0.0033444816053511705,14,betting,all,8800
0.05,299,0,0,0,0,0.0,0.0,0.0,15,betting,all,8089
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,15,betting,all,8089
0.15,299,1,1,1,0,1.0,0.0,0.0033444816053511705,15,betting,all,8089
0.2,299,11,11,4,7,0.36363636363636365,0.01583710407239819,0.013377926421404682,15,betting,all,8089
0.05,299,0,0,0,0,0.0,0.0,0.0,16,betting,all,8776
0.1,299,0,0,0,0,0.0,0.0,0.0,16,betting,all,8776
0.15,299,12,12,3,9,0.25,0.019823788546255508,0.010033444816053512,16,betting,all,8776
0.2,299,12,12,3,9,0.25,0.019823788546255508,0.010033444816053512,16,betting,all,8776
0.05,299,0,0,0,0,0.0,0.0,0.0,17,betting,all,7898
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,17,betting,all,7898
0.15,299,1,1,1,0,1.0,0.0,0.0033444816053511705,17,betting,all,7898
0.2,299,7,7,4,3,0.5714285714285714,0.007653061224489796,0.013377926421404682,17,betting,all,7898
0.05,299,0,0,0,0,0.0,0.0,0.0,18,betting,all,8439
0.1,299,1,1,0,1,0.0,0.0026595744680851063,0.0,18,betting,all,8439
0.15,299,6,6,2,4,0.3333333333333333,0.010638297872340425,0.006688963210702341,18,betting,all,8439
0.2,299,6,6,2,4,0.3333333333333333,0.010638297872340425,0.006688963210702341,18,betting,all,8439
0.05,299,0,0,0,0,0.0,0.0,0.0,19,betting,all,8056
0.1,299,0,0,0,0,0.0,0.0,0.0,19,betting,all,8056
0.15,299,0,0,0,0,0.0,0.0,0.0,19,betting,all,8056
0.2,299,6,6,0,6,0.0,0.01125703564727955,0.0,19,betting,all,8056
