alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,13,0,13,0.0,0.02981651376146789,0.8687551617622375,0,score_oracle
0.1,20,2,18,0.1,0.04128440366972477,0.7897452116012573,0,score_oracle
0.15,21,3,18,0.14285714285714285,0.04128440366972477,0.7705416083335876,0,score_oracle
0.2,22,4,18,0.18181818181818182,0.04128440366972477,0.7157747149467468,0,score_oracle
0.05,10,0,10,0.0,0.023310023310023312,0.8644899129867554,1,score_oracle
0.1,13,1,12,0.07692307692307693,0.027972027972027972,0.8562031984329224,1,score_oracle
0.15,18,2,16,0.1111111111111111,0.037296037296037296,0.8292070031166077,1,score_oracle
0.2,25,5,20,0.2,0.046620046620046623,0.7758693695068359,1,score_oracle
0.05,12,0,12,0.0,0.03314917127071823,0.8751763105392456,2,score_oracle
0.1,21,2,19,0.09523809523809523,0.052486187845303865,0.8167799711227417,2,score_oracle
0.15,28,4,24,0.14285714285714285,0.06629834254143646,0.7462636828422546,2,score_oracle
0.2,30,6,24,0.2,0.06629834254143646,0.7058642506599426,2,score_oracle
0.05,8,0,8,0.0,0.025157232704402517,0.8923893570899963,3,score_oracle
0.1,10,1,9,0.1,0.02830188679245283,0.8734145760536194,3,score_oracle
0.15,10,1,9,0.1,0.02830188679245283,0.8734145760536194,3,score_oracle
0.2,15,3,12,0.2,0.03773584905660377,0.8292070031166077,3,score_oracle
0.05,5,0,5,0.0,0.012135922330097087,0.8980017304420471,4,score_oracle
0.1,5,0,5,0.0,0.012135922330097087,0.8980017304420471,4,score_oracle
0.15,7,1,6,0.14285714285714285,0.014563106796116505,0.8854520320892334,4,score_oracle
0.2,22,4,18,0.18181818181818182,0.043689320388349516,0.8050920963287354,4,score_oracle
0.05,5,0,5,0.0,0.013262599469496022,0.8911830186843872,5,score_oracle
0.1,5,0,5,0.0,0.013262599469496022,0.8911830186843872,5,score_oracle
0.15,8,1,7,0.125,0.01856763925729443,0.8556956052780151,5,score_oracle
0.2,10,2,8,0.2,0.021220159151193633,0.8292070031166077,5,score_oracle
0.05,15,0,15,0.0,0.03571428571428571,0.8213365077972412,6,score_oracle
0.1,21,2,19,0.09523809523809523,0.04523809523809524,0.7908726930618286,6,score_oracle
0.15,22,3,19,0.13636363636363635,0.04523809523809524,0.7747206091880798,6,score_oracle
