alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.05,299,0,0,0,0,0.0,0.0,0.0,0,betting
0.1,299,0,0,0,0,0.0,0.0,0.0,0,betting
0.15,299,0,0,0,0,0.0,0.0,0.0,0,betting
0.2,299,8,8,2,6,0.25,0.013761467889908258,0.006688963210702341,0,betting
0.05,299,0,0,0,0,0.0,0.0,0.0,0,binary
0.1,299,0,0,0,0,0.0,0.0,0.0,0,binary
0.15,299,0,0,0,0,0.0,0.0,0.0,0,binary
0.2,299,0,0,0,0,0.0,0.0,0.0,0,binary
0.05,299,79,79,42,37,0.5316455696202531,0.08486238532110092,0.14046822742474915,0,pvalue_bh
0.1,299,108,131,83,48,0.6335877862595419,0.11009174311926606,0.22547380156075805,0,pvalue_bh
0.15,299,134,193,132,61,0.6839378238341969,0.13990825688073394,0.30351170568561875,0,pvalue_bh
0.2,299,156,273,185,88,0.6776556776556777,0.2018348623853211,0.3671125975473801,0,pvalue_bh
0.05,299,0,0,0,0,0.0,0.0,0.0,1,betting
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,1,betting
0.15,299,1,1,1,0,1.0,0.0,0.0033444816053511705,1,betting
0.2,299,8,8,3,5,0.375,0.011655011655011656,0.010033444816053512,1,betting
0.05,299,0,0,0,0,0.0,0.0,0.0,1,binary
0.1,299,0,0,0,0,0.0,0.0,0.0,1,binary
0.15,299,0,0,0,0,0.0,0.0,0.0,1,binary
0.2,299,0,0,0,0,0.0,0.0,0.0,1,binary
0.05,299,79,80,44,36,0.55,0.08391608391608392,0.14381270903010032,1,pvalue_bh
0.1,299,107,124,80,44,0.6451612903225806,0.10256410256410256,0.23299888517279818,1,pvalue_bh
0.15,299,131,170,110,60,0.6470588235294118,0.13986013986013987,0.2965440356744704,1,pvalue_bh
0.2,299,150,215,138,77,0.641860465116279,0.1794871794871795,0.33695652173913043,1,pvalue_bh
0.05,299,0,0,0,0,0.0,0.0,0.0,2,betting
0.1,299,0,0,0,0,0.0,0.0,0.0,2,betting
0.15,299,0,0,0,0,0.0,0.0,0.0,2,betting
0.2,299,9,9,1,8,0.1111111111111111,0.022099447513812154,0.0033444816053511705,2,betting
0.05,299,0,0,0,0,0.0,0.0,0.0,2,binary
0.1,299,0,0,0,0,0.0,0.0,0.0,2,binary
0.15,299,0,0,0,0,0.0,0.0,0.0,2,binary
0.2,299,0,0,0,0,0.0,0.0,0.0,2,binary
0.05,299,68,70,32,38,0.45714285714285713,0.10497237569060773,0.10033444816053512,2,pvalue_bh
0.1,299,91,110,66,44,0.6,0.12154696132596685,0.18450390189520624,2,pvalue_bh
0.15,299,120,174,114,60,0.6551724137931034,0.16574585635359115,0.270066889632107,2,pvalue_bh
0.2,299,142,228,155,73,0.6798245614035088,0.20165745856353592,0.3226867335562988,2,pvalue_bh
0.05,299,0,0,0,0,0.0,0.0,0.0,3,betting
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,3,betting
0.15,299,1,1,1,0,1.0,0.0,0.0033444816053511705,3,betting
0.2,299,10,10,5,5,0.5,0.015723270440251572,0.016722408026755852,3,betting
0.05,299,0,0,0,0,0.0,0.0,0.0,3,binary
0.1,299,0,0,0,0,0.0,0.0,0.0,3,binary
0.15,299,0,0,0,0,0.0,0.0,0.0,3,binary
0.2,299,0,0,0,0,0.0,0.0,0.0,3,binary
0.05,299,90,93,52,41,0.5591397849462365,0.1289308176100629,0.16722408026755853,3,pvalue_bh
0.1,299,127,159,111,48,0.6981132075471698,0.1509433962264151,0.29431438127090304,3,pvalue_bh
0.15,299,152,215,151,64,0.7023255813953488,0.20125786163522014,0.35451505016722407,3,pvalue_bh
0.2,299,175,292,211,81,0.7226027397260274,0.25471698113207547,0.4247491638795986,3,pvalue_bh
0.05,299,0,0,0,0,0.0,0.0,0.0,4,betting
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,4,betting
0.15,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting
0.2,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting
0.05,299,0,0,0,0,0.0,0.0,0.0,4,binary
0.1,299,0,0,0,0,0.0,0.0,0.0,4,binary
0.15,299,0,0,0,0,0.0,0.0,0.0,4,binary
0.2,299,0,0,0,0,0.0,0.0,0.0,4,binary
0.05,299,81,85,47,38,0.5529411764705883,0.09223300970873786,0.14715719063545152,4,pvalue_bh
0.1,299,109,132,86,46,0.6515151515151515,0.11165048543689321,0.2382943143812709,4,pvalue_bh
0.15,299,136,193,132,61,0.6839378238341969,0.14805825242718446,0.31884057971014496,4,pvalue_bh
0.2,299,151,261,185,76,0.7088122605363985,0.18446601941747573,0.37006688963210704,4,pvalue_bh
