alpha,score_threshold,k_max,template,cal_null,sum_phi_cal,phi_max,num_test_families,num_test_candidates,gated_tp_total,total_rejections,fp,tp,fdp,gated_recall,full_recall,frontier_supported_family_frac,frontier_T1_median
0.1,0.05,30,all,2485.85,3335.2062722659102,12.844148440659634,212.65,2800.8,280.5,0.1,0.0,0.1,0.0,0.0003846436174117302,0.00024073734409391047,0.00047964113181504493,171.3051018935498
0.1,none,30,all,2485.85,3335.2062722659102,12.844148440659634,212.65,2800.8,280.5,0.1,0.0,0.1,0.0,0.0003846436174117302,0.00024073734409391047,0.00047964113181504493,171.3051018935498
0.1,0.05,5,all,101.8,304.3241122975766,12.844148440659634,37.25,131.55,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.47641494598795
0.1,0.05,10,all,463.9,955.9132478500238,12.844148440659634,90.55,553.1,88.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.01269377084515
0.1,0.05,20,all,1566.2,2377.7798543086983,12.844148440659634,170.85,1755.45,202.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.63410929053322
0.1,0.1,5,all,58.8125,287.5563973930702,12.903198426863346,37.5625,80.25,27.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.8772161431015
0.1,0.1,10,all,189.7,799.4231738681906,12.844148440659634,90.55,250.45,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.70611514009718
0.1,0.1,20,all,542.15,1789.8793796171747,12.844148440659634,170.85,670.95,125.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.39625502596888
0.1,0.1,30,all,804.1,2376.2588191104005,12.844148440659634,212.65,987.0,172.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.582520030479
0.1,0.1,all,all,2029.95,4610.000256476026,12.844148440659634,299.0,2273.5,248.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.70138004355596
0.1,0.15,5,all,53.25,311.64980830221435,12.776020194720097,37.0,61.75,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.91087214367025
0.1,0.15,10,all,128.75,733.1061361653517,12.844148440659634,90.55,179.05,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.1110597253048
0.1,0.15,20,all,327.25,1549.6263808093813,12.844148440659634,170.85,429.0,100.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.63164963807972
0.1,0.15,30,all,462.05,1992.2585558444182,12.844148440659634,212.65,605.65,136.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.10940057633869
0.1,0.15,all,all,959.75,3413.030110214296,12.844148440659634,299.0,1143.35,186.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.08302937392955
