selected,selected_fraction,threshold,fp,tp,fdp,recall
13,0.010268562401263823,0.4759911298751831,13,0,1.0,0.0
25,0.019747235387045814,0.4150831401348114,25,0,1.0,0.0
38,0.030015797788309637,0.34888020157814026,38,0,1.0,0.0
51,0.04028436018957346,0.28807687759399414,51,0,1.0,0.0
63,0.04976303317535545,0.2502116560935974,63,0,1.0,0.0
76,0.06003159557661927,0.2234770953655243,76,0,1.0,0.0
89,0.0703001579778831,0.20308798551559448,89,0,1.0,0.0
101,0.07977883096366509,0.1881396472454071,101,0,1.0,0.0
114,0.09004739336492891,0.17108693718910217,114,0,1.0,0.0
127,0.10031595576619273,0.16331559419631958,127,0,1.0,0.0
139,0.10979462875197472,0.15893962979316711,139,0,1.0,0.0
152,0.12006319115323855,0.14712660014629364,152,0,1.0,0.0
165,0.13033175355450238,0.13591447472572327,165,0,1.0,0.0
177,0.13981042654028436,0.1313069611787796,177,0,1.0,0.0
190,0.1500789889415482,0.12560470402240753,190,0,1.0,0.0
203,0.160347551342812,0.1217375323176384,203,0,1.0,0.0
215,0.16982622432859398,0.11861822754144669,215,0,1.0,0.0
228,0.18009478672985782,0.11603665351867676,228,0,1.0,0.0
241,0.19036334913112166,0.1133732721209526,241,0,1.0,0.0
253,0.19984202211690363,0.11037234216928482,253,0,1.0,0.0
266,0.21011058451816747,0.10719043761491776,266,0,1.0,0.0
279,0.22037914691943128,0.1048140600323677,279,0,1.0,0.0
291,0.22985781990521326,0.1022663563489914,291,0,1.0,0.0
304,0.2401263823064771,0.10001948475837708,304,0,1.0,0.0
316,0.24960505529225907,0.0973997488617897,316,0,1.0,0.0
329,0.2598736176935229,0.09545429050922394,329,0,1.0,0.0
342,0.27014218009478674,0.09413765370845795,342,0,1.0,0.0
354,0.2796208530805687,0.0927494466304779,354,0,1.0,0.0
367,0.28988941548183256,0.09104480594396591,367,0,1.0,0.0
380,0.3001579778830964,0.09002671390771866,380,0,1.0,0.0
392,0.30963665086887837,0.08844222873449326,392,0,1.0,0.0
405,0.31990521327014215,0.08769013732671738,405,0,1.0,0.0
418,0.330173775671406,0.086072638630867,418,0,1.0,0.0
430,0.33965244865718797,0.0846189633011818,430,0,1.0,0.0
443,0.3499210110584518,0.08354713767766953,443,0,1.0,0.0
456,0.36018957345971564,0.08155223727226257,456,0,1.0,0.0
468,0.3696682464454976,0.08066416531801224,468,0,1.0,0.0
481,0.37993680884676145,0.07952035218477249,481,0,1.0,0.0
494,0.3902053712480253,0.07849466800689697,494,0,1.0,0.0
506,0.39968404423380727,0.07766076177358627,506,0,1.0,0.0
519,0.4099526066350711,0.07690902799367905,519,0,1.0,0.0
532,0.42022116903633494,0.07608654350042343,532,0,1.0,0.0
544,0.4296998420221169,0.07503654807806015,544,0,1.0,0.0
557,0.4399684044233807,0.07449416071176529,557,0,1.0,0.0
570,0.45023696682464454,0.07345696538686752,570,0,1.0,0.0
582,0.4597156398104265,0.07257379591464996,582,0,1.0,0.0
595,0.46998420221169035,0.0717075765132904,595,0,1.0,0.0
608,0.4802527646129542,0.07098112255334854,608,0,1.0,0.0
620,0.48973143759873616,0.0700809434056282,620,0,1.0,0.0
633,0.5,0.06924738734960556,633,0,1.0,0.0
646,0.5102685624012638,0.06831590831279755,646,0,1.0,0.0
658,0.5197472353870458,0.06740725785493851,658,0,1.0,0.0
671,0.5300157977883097,0.06669901311397552,671,0,1.0,0.0
684,0.5402843601895735,0.06605719029903412,684,0,1.0,0.0
696,0.5497630331753555,0.06543071568012238,696,0,1.0,0.0
709,0.5600315955766193,0.06484866142272949,709,0,1.0,0.0
722,0.5703001579778831,0.06452059745788574,722,0,1.0,0.0
734,0.5797788309636651,0.06403063982725143,734,0,1.0,0.0
747,0.590047393364929,0.06365206092596054,747,0,1.0,0.0
760,0.6003159557661928,0.06312265992164612,760,0,1.0,0.0
772,0.6097946287519748,0.06285785138607025,772,0,1.0,0.0
785,0.6200631911532386,0.062498629093170166,785,0,1.0,0.0
798,0.6303317535545023,0.06211863458156586,798,0,1.0,0.0
810,0.6398104265402843,0.061601672321558,810,0,1.0,0.0
823,0.6500789889415481,0.06106231361627579,823,0,1.0,0.0
836,0.660347551342812,0.060755301266908646,836,0,1.0,0.0
848,0.669826224328594,0.06053893640637398,848,0,1.0,0.0
861,0.6800947867298578,0.059961628168821335,861,0,1.0,0.0
874,0.6903633491311216,0.05948011949658394,874,0,1.0,0.0
886,0.6998420221169036,0.059142354875802994,886,0,1.0,0.0
899,0.7101105845181674,0.05850757285952568,899,0,1.0,0.0
912,0.7203791469194313,0.05821239948272705,912,0,1.0,0.0
924,0.7298578199052133,0.0578174814581871,924,0,1.0,0.0
937,0.7401263823064771,0.057249411940574646,937,0,1.0,0.0
950,0.7503949447077409,0.05699228495359421,950,0,1.0,0.0
962,0.7598736176935229,0.05657537281513214,962,0,1.0,0.0
975,0.7701421800947867,0.05628815293312073,975,0,1.0,0.0
987,0.7796208530805687,0.05594956502318382,987,0,1.0,0.0
1000,0.7898894154818326,0.05565639212727547,1000,0,1.0,0.0
