alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.05,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.1,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.15,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.2,12,1,1,0,1,0.0,0.06666666666666667,0.0,0,betting,all,375
0.05,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.1,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.15,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.2,12,1,1,0,1,0.0,0.06666666666666667,0.0,0,betting,all,375
0.05,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.1,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.15,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.2,12,1,1,0,1,0.0,0.06666666666666667,0.0,0,betting,all,375
0.05,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.1,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.15,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.2,12,1,1,0,1,0.0,0.06666666666666667,0.0,0,betting,all,375
0.05,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.1,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.15,12,0,0,0,0,0.0,0.0,0.0,0,betting,all,375
0.2,12,1,1,0,1,0.0,0.06666666666666667,0.0,0,betting,all,375
0.05,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.1,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.15,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.2,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.05,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.1,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.15,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.2,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.05,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.1,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.15,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.2,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.05,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.1,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.15,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.2,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.05,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.1,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.15,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
0.2,12,0,0,0,0,0.0,0.0,0.0,1,betting,all,462
