selected,selected_fraction,threshold,fp,tp,fdp,recall
15,0.009874917709019092,0.44602665305137634,11,4,0.7333333333333333,0.05714285714285714
30,0.019749835418038184,0.3974689543247223,21,9,0.7,0.12857142857142856
46,0.030283080974325215,0.3561514914035797,35,11,0.7608695652173914,0.15714285714285714
61,0.040157998683344305,0.3215957581996918,49,12,0.8032786885245902,0.17142857142857143
76,0.050032916392363395,0.2932470738887787,62,14,0.8157894736842105,0.2
91,0.059907834101382486,0.25475966930389404,74,17,0.8131868131868132,0.24285714285714285
106,0.06978275181040158,0.23612749576568604,89,17,0.839622641509434,0.24285714285714285
122,0.08031599736668861,0.21939167380332947,102,20,0.8360655737704918,0.2857142857142857
137,0.0901909150757077,0.19960153102874756,115,22,0.8394160583941606,0.3142857142857143
152,0.10006583278472679,0.1861114799976349,129,23,0.8486842105263158,0.32857142857142857
167,0.10994075049374588,0.1726091504096985,144,23,0.8622754491017964,0.32857142857142857
182,0.11981566820276497,0.16341805458068848,158,24,0.8681318681318682,0.34285714285714286
197,0.12969058591178406,0.15371835231781006,172,25,0.8730964467005076,0.35714285714285715
213,0.1402238314680711,0.14744320511817932,186,27,0.8732394366197183,0.38571428571428573
228,0.15009874917709018,0.14247247576713562,201,27,0.881578947368421,0.38571428571428573
243,0.15997366688610928,0.1367160528898239,215,28,0.8847736625514403,0.4
258,0.16984858459512836,0.1306687444448471,227,31,0.8798449612403101,0.44285714285714284
273,0.17972350230414746,0.12747374176979065,241,32,0.8827838827838828,0.45714285714285713
289,0.1902567478604345,0.12186891585588455,257,32,0.889273356401384,0.45714285714285713
304,0.20013166556945358,0.11878124624490738,270,34,0.8881578947368421,0.4857142857142857
319,0.21000658327847269,0.11550457775592804,285,34,0.8934169278996865,0.4857142857142857
334,0.21988150098749176,0.11124353855848312,300,34,0.8982035928143712,0.4857142857142857
349,0.22975641869651087,0.10778764635324478,315,34,0.9025787965616046,0.4857142857142857
365,0.24028966425279788,0.10326451808214188,330,35,0.9041095890410958,0.5
380,0.250164581961817,0.1016019955277443,345,35,0.9078947368421053,0.5
395,0.26003949967083606,0.09837900847196579,360,35,0.9113924050632911,0.5
410,0.26991441737985516,0.09638728946447372,374,36,0.9121951219512195,0.5142857142857142
425,0.27978933508887427,0.09450895339250565,388,37,0.9129411764705883,0.5285714285714286
441,0.2903225806451613,0.09256091713905334,402,39,0.9115646258503401,0.5571428571428572
456,0.30019749835418036,0.09117637574672699,417,39,0.9144736842105263,0.5571428571428572
471,0.31007241606319946,0.08908259868621826,432,39,0.9171974522292994,0.5571428571428572
486,0.31994733377221857,0.08769937604665756,447,39,0.9197530864197531,0.5571428571428572
501,0.32982225148123767,0.08657947927713394,461,40,0.9201596806387226,0.5714285714285714
516,0.3396971691902567,0.08541946113109589,475,41,0.9205426356589147,0.5857142857142857
532,0.35023041474654376,0.08339520543813705,490,42,0.9210526315789473,0.6
547,0.36010533245556287,0.08266658335924149,505,42,0.923217550274223,0.6
562,0.36998025016458197,0.08146723359823227,519,43,0.9234875444839857,0.6142857142857143
577,0.3798551678736011,0.08025076985359192,533,44,0.9237435008665511,0.6285714285714286
592,0.3897300855826201,0.07875612378120422,548,44,0.9256756756756757,0.6285714285714286
608,0.40026333113890716,0.07770352810621262,564,44,0.9276315789473685,0.6285714285714286
623,0.41013824884792627,0.07684307545423508,579,44,0.9293739967897271,0.6285714285714286
638,0.42001316655694537,0.0761287733912468,593,45,0.9294670846394985,0.6428571428571429
653,0.4298880842659645,0.07543112337589264,607,46,0.9295558958652373,0.6571428571428571
668,0.4397630019749835,0.0746544823050499,622,46,0.9311377245508982,0.6571428571428571
684,0.45029624753127057,0.0736190602183342,637,47,0.9312865497076024,0.6714285714285714
