bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500001795589923,0.050475481618195754,1167,34,0.013656949596844976,0.003204222033738573,0.23462208826477704
1,0.050475481618195754,0.05098515544086688,1156,45,0.013528220851716188,0.004240882103477523,0.31348409742582856
2,0.05098515544086688,0.05148549089208239,1172,29,0.013715462662812606,0.0027330129111299596,0.19926509067317932
3,0.05148549089208239,0.051995183527469624,1157,44,0.013539923464909714,0.0041466402789558,0.30625285953072784
4,0.051995183527469624,0.05253896606154738,1165,35,0.013633544370457924,0.003298463858260296,0.24193736922935669
5,0.05253896606154738,0.053064539469778495,1168,33,0.013668652210038502,0.0031099802092168505,0.22752647162481943
6,0.053064539469778495,0.05362227768637232,1155,46,0.013516518238522662,0.004335123927999246,0.3207278569449901
7,0.05362227768637232,0.054174423590302424,1168,33,0.013668652210038502,0.0031099802092168505,0.22752647162481943
8,0.054174423590302424,0.05477651092223821,1156,44,0.013528220851716188,0.0041466402789558,0.30651778414969905
9,0.05477651092223821,0.05537232570350165,1166,35,0.01364524698365145,0.003298463858260296,0.2417298757737569
10,0.05537232570350165,0.05598498629406091,1164,37,0.013621841757264398,0.0034869475073037413,0.2559820888716598
11,0.05598498629406091,0.056610221229493565,1153,48,0.01349311301213561,0.004523607577042691,0.33525307117595404
12,0.056610221229493565,0.05729183903895315,1157,43,0.013539923464909714,0.004052398454434078,0.2992925672686658
13,0.05729183903895315,0.05794820338487618,1153,48,0.01349311301213561,0.004523607577042691,0.33525307117595404
14,0.05794820338487618,0.058617000002413946,1157,44,0.013539923464909714,0.0041466402789558,0.30625285953072784
15,0.058617000002413946,0.05929552391171448,1160,41,0.013575031304490292,0.003863914805390632,0.2846339517546853
16,0.05929552391171448,0.060027996264398066,1172,28,0.013715462662812606,0.002638771086608237,0.19239388064996626
17,0.060027996264398066,0.06077410755679006,1175,26,0.013750570502393184,0.0024502874375647915,0.1781953292147651
18,0.06077410755679006,0.06154207563959057,1165,36,0.013633544370457924,0.0033927056827820186,0.24884986549305257
19,0.06154207563959057,0.06233877222985022,1173,28,0.013727165276006132,0.002638771086608237,0.19222986199638573
20,0.06233877222985022,0.06310209138318895,1157,44,0.013539923464909714,0.0041466402789558,0.30625285953072784
21,0.06310209138318895,0.06394258961081499,1147,53,0.013422897332974453,0.004994816699651306,0.3721116667845717
22,0.06394258961081499,0.06477757003158326,1160,41,0.013575031304490292,0.003863914805390632,0.2846339517546853
23,0.06477757003158326,0.06568677723407738,1155,46,0.013516518238522662,0.004335123927999246,0.3207278569449901
24,0.06568677723407738,0.0666015329770743,1158,43,0.01355162607810324,0.004052398454434078,0.29903411082024733
25,0.0666015329770743,0.067513377405703,1149,51,0.013446302559361505,0.004806333050607859,0.3574464451762334
