selected,selected_fraction,threshold,fp,tp,fdp,recall
308,0.010002598077422707,0.8172272443771362,6,302,0.01948051948051948,0.08845928529584066
616,0.020005196154845414,0.7153571248054504,18,598,0.02922077922077922,0.1751611013473931
924,0.030007794232268122,0.6120585799217224,49,875,0.05303030303030303,0.2562975981253661
1232,0.04001039230969083,0.5175592303276062,137,1095,0.1112012987012987,0.32073813708260107
1540,0.050012990387113536,0.45424824953079224,266,1274,0.17272727272727273,0.3731693028705331
1848,0.060015588464536244,0.40898191928863525,420,1428,0.22727272727272727,0.4182776801405975
2155,0.06998571057417512,0.3739120066165924,607,1548,0.2816705336426914,0.45342706502636204
2463,0.07998830865159781,0.3468058109283447,820,1643,0.3329273244011368,0.48125366139425896
2771,0.08999090672902052,0.32066985964775085,1040,1731,0.3753157704799711,0.5070298769771528
3079,0.09999350480644323,0.2975364923477173,1256,1823,0.40792465086066904,0.5339777387229057
3387,0.10999610288386594,0.2765556275844574,1502,1885,0.44346028934160026,0.5521382542472173
3695,0.11999870096128865,0.2581943869590759,1756,1939,0.4752368064952639,0.5679554774458113
4003,0.13000129903871135,0.24246303737163544,1999,2004,0.49937546839870095,0.5869947275922671
4311,0.14000389711613406,0.22835780680179596,2247,2064,0.5212247738343772,0.6045694200351494
4619,0.15000649519355677,0.21540752053260803,2501,2118,0.5414591903009309,0.6203866432337434
4927,0.16000909327097948,0.20393258333206177,2771,2156,0.5624112035721535,0.6315172817809022
5235,0.1700116913484022,0.19360476732254028,3046,2189,0.5818529130850048,0.6411833626244874
5543,0.1800142894258249,0.1844593733549118,3312,2231,0.5975103734439834,0.653485647334505
5850,0.18998441153546375,0.17702223360538483,3591,2259,0.6138461538461538,0.6616871704745168
6158,0.19998700961288646,0.16943977773189545,3871,2287,0.6286131860993829,0.6698886936145284
6466,0.20998960769030917,0.16338589787483215,4144,2322,0.6408908134859264,0.680140597539543
6774,0.21999220576773187,0.1571558117866516,4428,2346,0.6536758193091231,0.687170474516696
7082,0.22999480384515458,0.15207436680793762,4708,2374,0.6647839593335216,0.6953719976567077
7390,0.2399974019225773,0.14726650714874268,4990,2400,0.6752368064952639,0.70298769771529
7698,0.25,0.14253927767276764,5266,2432,0.6840737853988049,0.7123608670181605
8006,0.2600025980774227,0.1383047252893448,5542,2464,0.6922308268798402,0.7217340363210311
8314,0.2700051961548454,0.13419629633426666,5827,2487,0.7008660091412076,0.7284710017574693
8622,0.2800077942322681,0.13058742880821228,6102,2520,0.7077244258872651,0.7381370826010545
8930,0.29001039230969083,0.12702569365501404,6384,2546,0.7148936170212766,0.7457527826596367
9238,0.30001299038711354,0.12386085093021393,6665,2573,0.7214765100671141,0.7536613942589337
