alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.05,537,163,305,49,256,0.16065573770491803,0.35804195804195804,0.03050217340132071,0.4441709816455841,0.046298115292528697,0.04807079537562809,304,71,233,0,scoregate_family_crc
0.1,537,204,468,133,335,0.2841880341880342,0.46853146853146854,0.07527289077568407,0.3439837396144867,0.09803610542870801,0.0997126182438963,508,203,305,0,scoregate_family_crc
0.15,537,230,621,243,378,0.391304347826087,0.5286713286713287,0.1214567583024971,0.2882539629936218,0.14831613856581144,0.14989919407033597,651,308,343,0,scoregate_family_crc
0.2,537,250,794,388,406,0.48866498740554154,0.5678321678321678,0.16865383412015095,0.2426143884658813,0.1982972177215558,0.19978737159196186,799,419,380,0,scoregate_family_crc
0.05,537,167,371,60,311,0.16172506738544473,0.4712121212121212,0.04835691522695345,0.3933790624141693,0.04789606771040984,0.04966577762172878,428,110,318,1,scoregate_family_crc
0.1,537,197,460,109,351,0.23695652173913043,0.5318181818181819,0.09246145950056565,0.3271325528621673,0.09451068506834027,0.09619375070947718,576,210,366,1,scoregate_family_crc
0.15,537,223,567,182,385,0.32098765432098764,0.5833333333333334,0.13840689349233548,0.2754461467266083,0.14673164911755252,0.14831764976975037,709,312,397,1,scoregate_family_crc
0.2,537,241,676,263,413,0.3890532544378698,0.6257575757575757,0.1801777540023599,0.2356718033552169,0.19800605759519518,0.19949675265542716,869,446,423,1,scoregate_family_crc
0.05,537,188,405,113,292,0.27901234567901234,0.43452380952380953,0.0745543306723304,0.3700091242790222,0.04739557055052497,0.04916621075396266,439,122,317,2,scoregate_family_crc
0.1,537,223,553,207,346,0.3743218806509946,0.5148809523809523,0.1332508393238503,0.305572897195816,0.0971294256945536,0.09880762378805814,559,204,355,2,scoregate_family_crc
0.15,537,248,710,332,378,0.4676056338028169,0.5625,0.18247493158107683,0.254109114408493,0.14816855566550552,0.14975188548768859,701,316,385,2,scoregate_family_crc
0.2,537,273,857,448,409,0.5227537922987164,0.6086309523809523,0.23855468223244175,0.2215875089168548,0.19705187174218025,0.19854434038206467,810,406,404,2,scoregate_family_crc
0.05,537,179,319,59,260,0.18495297805642633,0.4269293924466338,0.05304897874730277,0.4034819602966308,0.04681984955563661,0.0485915598724477,436,86,350,3,scoregate_family_crc
0.1,537,209,428,119,309,0.2780373831775701,0.5073891625615764,0.09168839018148045,0.3259264528751373,0.0983130959181252,0.09998909388110266,695,273,422,3,scoregate_family_crc
0.15,537,229,516,182,334,0.35271317829457366,0.548440065681445,0.13053437355113331,0.2666245102882385,0.14799203421478213,0.14957569214375094,897,428,469,3,scoregate_family_crc
0.2,537,247,615,255,360,0.4146341463414634,0.5911330049261084,0.17606605467212627,0.2364401817321777,0.1973755085560437,0.198867375640512,1034,544,490,3,scoregate_family_crc
0.05,537,179,363,97,266,0.26721763085399447,0.41112828438948995,0.05017790488798002,0.4168929755687713,0.04814257747218641,0.04991182918692212,382,92,290,4,scoregate_family_crc
0.1,537,199,460,160,300,0.34782608695652173,0.46367851622874806,0.08158796265970626,0.3553620874881744,0.09831541992607336,0.09999141356933344,572,231,341,4,scoregate_family_crc
0.15,537,233,621,275,346,0.4428341384863124,0.5347758887171561,0.13495641818315676,0.297223836183548,0.1474576199956218,0.14904227125957045,750,368,382,4,scoregate_family_crc
0.2,537,265,802,424,378,0.5286783042394015,0.5842349304482226,0.20709188904572615,0.242495521903038,0.19817692876877901,0.19966730622459913,962,533,429,4,scoregate_family_crc
0.05,537,187,399,104,295,0.2606516290726817,0.41086350974930363,0.05334084560690705,0.3992804288864136,0.04780648448081902,0.04957636090371713,405,85,320,5,scoregate_family_crc
0.1,537,212,556,201,355,0.36151079136690645,0.49442896935933145,0.0884005659145324,0.3261497318744659,0.09832009577917385,0.09999608073125717,557,181,376,5,scoregate_family_crc
0.15,537,249,755,343,412,0.4543046357615894,0.5738161559888579,0.1528976039798555,0.2601706683635711,0.14783795404152258,0.1494218983648655,785,370,415,5,scoregate_family_crc
0.2,537,265,876,442,434,0.5045662100456622,0.6044568245125348,0.19653575309774624,0.2264311611652374,0.19590182872596745,0.19739643499227608,918,477,441,5,scoregate_family_crc
0.05,537,198,433,99,334,0.22863741339491916,0.4744318181818182,0.05300435649597661,0.4018961787223816,0.04692835097863031,0.04869985961993397,329,47,282,6,scoregate_family_crc
0.1,537,221,664,279,385,0.42018072289156627,0.546875,0.09818038980243267,0.3216860592365265,0.09545071626077213,0.09713203463203463,468,119,349,6,scoregate_family_crc
