prompt,sum_phi,n_null,min_null
person,1960.1050028699435,1165,200
car,246.06695155954844,375,200
boat,169.85938303508362,244,200
skis,128.9271336175858,205,200
handbag,105.34455439669959,168,200
carrot,67.76189443672733,138,200
chair,96.2113257193826,133,200
bench,89.5644388972182,129,200
truck,60.19045871926576,104,200
traffic light,72.81109369919987,89,200
banana,55.83484523517097,89,200
cell phone,425.3873598460374,88,200
bottle,40.48542152611399,88,200
knife,53.40951270534566,81,200
backpack,43.82652896007941,76,200
vase,64.22828992997847,70,200
spoon,34.58985252380167,64,200
book,43.28229340794672,60,200
motorcycle,39.22549818232824,60,200
fork,38.17628565730875,59,200
cake,24.94541273011521,59,200
zebra,32.06883171696625,58,200
frisbee,50.39370864115642,57,200
bed,43.582743786629685,56,200
tennis racket,25.149364593455434,54,200
elephant,30.279453572516132,53,200
dining table,27.13857334812577,51,200
bus,21.765985409128877,49,200
horse,33.587274173175814,47,200
remote,29.416703386043963,46,200
sink,25.926633601659816,46,200
tie,23.96833313522993,46,200
apple,31.261570293997423,44,200
mouse,30.470724812118235,40,200
potted plant,24.64854161355802,37,200
refrigerator,30.2000542444134,36,200
cup,46.58093898561928,35,200
giraffe,20.932373091033664,35,200
bird,22.520461695016248,34,200
donut,23.40626561975949,33,200
scissors,17.847610675084184,32,200
bicycle,27.813618919886338,31,200
skateboard,14.99859574464133,31,200
parking meter,14.942842083932621,30,200
suitcase,11.197847477855108,28,200
dog,13.345372197837293,27,200
orange,16.781316781243163,26,200
train,31.212985696325482,25,200
snowboard,14.331151815420236,25,200
sports ball,9.9885956098054,25,200
couch,262.3533836766598,24,200
microwave,13.008708436776423,24,200
hair drier,15.22779196784035,23,200
baseball glove,8.55099232179979,23,200
sandwich,8.162687301051925,23,200
keyboard,27.198030073090145,22,200
cat,158.83503728364545,21,200
oven,29.99369728259283,21,200
stop sign,9.378165241437879,21,200
hot dog,16.41327885516237,20,200
bear,10.64655419172013,19,200
clock,13.684742503750243,18,200
sheep,10.50453190931184,18,200
surfboard,8.67357817277692,18,200
bowl,10.089333925393545,17,200
teddy bear,10.912184301589848,16,200
kite,8.136054734896831,16,200
toilet,6.971328284107298,15,200
umbrella,6.86384423423764,15,200
laptop,40.381320778228265,14,200
pizza,14.848108981253109,11,200
airplane,5.079936040372394,9,200
toaster,4.326587563209189,8,200
wine glass,2.1910318698835205,8,200
tv,3.680458650581879,7,200
cow,4.265718751006267,6,200
baseball bat,1.572994495617874,4,200
toothbrush,0.912728290268886,3,200
fire hydrant,1.1502756871420465,2,200
broccoli,0.19922360248447207,1,200
