alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.05,537,81,112,3,109,0.026785714285714284,0.15244755244755245,0.0013656114214773433,0,betting,500,500
0.1,537,100,143,5,138,0.03496503496503497,0.193006993006993,0.005090006207324643,0,betting,500,500
0.15,537,112,167,8,159,0.04790419161676647,0.22237762237762237,0.008690254500310366,0,betting,500,500
0.2,537,119,185,12,173,0.06486486486486487,0.24195804195804196,0.012725015518311605,0,betting,500,500
0.05,537,81,110,3,107,0.02727272727272727,0.14965034965034965,0.0026070763500931097,0,betting,1000,1000
0.1,537,95,136,4,132,0.029411764705882353,0.18461538461538463,0.0032278088144009932,0,betting,1000,1000
0.15,537,111,164,7,157,0.042682926829268296,0.21958041958041957,0.00775915580384854,0,betting,1000,1000
0.2,537,118,182,10,172,0.054945054945054944,0.24055944055944056,0.010552451893234015,0,betting,1000,1000
0.05,537,82,111,3,108,0.02702702702702703,0.15104895104895105,0.0026070763500931097,0,betting,2000,2000
0.1,537,95,136,4,132,0.029411764705882353,0.18461538461538463,0.0032278088144009932,0,betting,2000,2000
0.15,537,110,159,7,152,0.0440251572327044,0.2125874125874126,0.00775915580384854,0,betting,2000,2000
0.2,537,118,179,10,169,0.055865921787709494,0.23636363636363636,0.010552451893234015,0,betting,2000,2000
0.05,537,80,109,3,106,0.027522935779816515,0.14825174825174825,0.0026070763500931097,0,betting,5000,5000
0.1,537,93,129,4,125,0.031007751937984496,0.17482517482517482,0.0032278088144009932,0,betting,5000,5000
0.15,537,107,155,6,149,0.03870967741935484,0.2083916083916084,0.006021104903786468,0,betting,5000,5000
0.2,537,116,173,8,165,0.046242774566473986,0.23076923076923078,0.008690254500310366,0,betting,5000,5000
0.05,537,80,109,3,106,0.027522935779816515,0.14825174825174825,0.0026070763500931097,0,betting,all,5128
0.1,537,93,129,4,125,0.031007751937984496,0.17482517482517482,0.0032278088144009932,0,betting,all,5128
0.15,537,107,155,6,149,0.03870967741935484,0.2083916083916084,0.006021104903786468,0,betting,all,5128
0.2,537,116,173,8,165,0.046242774566473986,0.23076923076923078,0.008690254500310366,0,betting,all,5128
0.05,537,59,90,0,90,0.0,0.13636363636363635,0.0,1,betting,500,500
0.1,537,78,127,4,123,0.031496062992125984,0.18636363636363637,0.004189944134078212,1,betting,500,500
0.15,537,89,161,7,154,0.043478260869565216,0.23333333333333334,0.006381607219596047,1,betting,500,500
0.2,537,95,176,7,169,0.03977272727272727,0.25606060606060604,0.006381607219596047,1,betting,500,500
0.05,537,62,94,0,94,0.0,0.14242424242424243,0.0,1,betting,1000,1000
0.1,537,81,143,5,138,0.03496503496503497,0.20909090909090908,0.004333190087380032,1,betting,1000,1000
0.15,537,91,163,7,156,0.04294478527607362,0.23636363636363636,0.006381607219596047,1,betting,1000,1000
0.2,537,97,179,7,172,0.03910614525139665,0.2606060606060606,0.006381607219596047,1,betting,1000,1000
0.05,537,62,94,0,94,0.0,0.14242424242424243,0.0,1,betting,2000,2000
0.1,537,81,143,5,138,0.03496503496503497,0.20909090909090908,0.004333190087380032,1,betting,2000,2000
0.15,537,91,164,6,158,0.036585365853658534,0.23939393939393938,0.004519409826672397,1,betting,2000,2000
0.2,537,98,181,7,174,0.03867403314917127,0.2636363636363636,0.006381607219596047,1,betting,2000,2000
0.05,537,63,95,1,94,0.010526315789473684,0.14242424242424243,0.00186219739292365,1,betting,5000,5000
0.1,537,82,149,5,144,0.03355704697986577,0.21818181818181817,0.004333190087380032,1,betting,5000,5000
0.15,537,95,173,7,166,0.04046242774566474,0.2515151515151515,0.006381607219596047,1,betting,5000,5000
0.2,537,104,192,9,183,0.046875,0.2772727272727273,0.010089072938234949,1,betting,5000,5000
0.05,537,63,95,1,94,0.010526315789473684,0.14242424242424243,0.00186219739292365,1,betting,all,5218
0.1,537,82,149,5,144,0.03355704697986577,0.21818181818181817,0.004333190087380032,1,betting,all,5218
0.15,537,95,173,7,166,0.04046242774566474,0.2515151515151515,0.006381607219596047,1,betting,all,5218
0.2,537,104,192,9,183,0.046875,0.2772727272727273,0.010089072938234949,1,betting,all,5218
0.05,537,71,93,7,86,0.07526881720430108,0.12797619047619047,0.009931719428926135,2,betting,500,500
0.1,537,85,115,11,104,0.09565217391304348,0.15476190476190477,0.013656114214773432,2,betting,500,500
0.15,537,95,137,13,124,0.0948905109489051,0.18452380952380953,0.01738050900062073,2,betting,500,500
0.2,537,98,142,13,129,0.09154929577464789,0.19196428571428573,0.01738050900062073,2,betting,500,500
0.05,537,73,97,9,88,0.09278350515463918,0.13095238095238096,0.0111731843575419,2,betting,1000,1000
0.1,537,86,117,11,106,0.09401709401709402,0.15773809523809523,0.013656114214773432,2,betting,1000,1000
0.15,537,94,136,12,124,0.08823529411764706,0.18452380952380953,0.01551831160769708,2,betting,1000,1000
0.2,537,99,143,13,130,0.09090909090909091,0.19345238095238096,0.01738050900062073,2,betting,1000,1000
0.05,537,75,100,9,91,0.09,0.13541666666666666,0.0111731843575419,2,betting,2000,2000
0.1,537,86,118,11,107,0.09322033898305085,0.15922619047619047,0.013656114214773432,2,betting,2000,2000
0.15,537,96,138,13,125,0.09420289855072464,0.18601190476190477,0.01738050900062073,2,betting,2000,2000
0.2,537,100,146,13,133,0.08904109589041095,0.19791666666666666,0.01738050900062073,2,betting,2000,2000
