alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.05,42,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.05,313,58,70,0,70,0.0,0.625,0.0,0,betting,K<=5
0.05,182,13,20,0,20,0.0,0.06944444444444445,0.0,0,betting,5<K<=30
0.1,42,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.1,313,62,76,2,74,0.02631578947368421,0.6607142857142857,0.004259850905218317,0,betting,K<=5
0.1,182,26,46,2,44,0.043478260869565216,0.1527777777777778,0.002197802197802198,0,betting,5<K<=30
0.15,42,2,7,0,7,0.0,0.022222222222222223,0.0,0,betting,K>30
0.15,313,63,79,3,76,0.0379746835443038,0.6785714285714286,0.007454739084132055,0,betting,K<=5
0.15,182,31,52,2,50,0.038461538461538464,0.1736111111111111,0.002197802197802198,0,betting,5<K<=30
0.2,42,2,7,0,7,0.0,0.022222222222222223,0.0,0,betting,K>30
0.2,313,68,87,5,82,0.05747126436781609,0.7321428571428571,0.01224707135250266,0,betting,K<=5
0.2,182,40,70,3,67,0.04285714285714286,0.2326388888888889,0.004578754578754578,0,betting,5<K<=30
0.05,322,48,54,0,54,0.0,0.6666666666666666,0.0,1,betting,K<=5
0.05,172,9,34,0,34,0.0,0.13385826771653545,0.0,1,betting,5<K<=30
0.05,43,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.1,322,52,60,1,59,0.016666666666666666,0.7283950617283951,0.003105590062111801,1,betting,K<=5
0.1,172,23,57,2,55,0.03508771929824561,0.21653543307086615,0.005813953488372093,1,betting,5<K<=30
0.1,43,1,5,0,5,0.0,0.015384615384615385,0.0,1,betting,K>30
0.15,322,53,62,2,60,0.03225806451612903,0.7407407407407407,0.006211180124223602,1,betting,K<=5
0.15,172,30,67,3,64,0.04477611940298507,0.25196850393700787,0.006395348837209303,1,betting,5<K<=30
0.15,43,5,31,2,29,0.06451612903225806,0.08923076923076922,0.007602862254025045,1,betting,K>30
0.2,322,54,64,2,62,0.03125,0.7654320987654321,0.006211180124223602,1,betting,K<=5
0.2,172,33,74,3,71,0.04054054054054054,0.2795275590551181,0.006395348837209303,1,betting,5<K<=30
0.2,43,7,37,2,35,0.05405405405405406,0.1076923076923077,0.007602862254025045,1,betting,K>30
0.05,179,14,27,0,27,0.0,0.10843373493975904,0.0,2,betting,5<K<=30
0.05,309,50,52,4,48,0.07692307692307693,0.6,0.012944983818770227,2,betting,K<=5
0.05,49,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.1,179,24,46,3,43,0.06521739130434782,0.17269076305220885,0.0037243947858473,2,betting,5<K<=30
0.1,309,54,56,6,50,0.10714285714285714,0.625,0.019417475728155338,2,betting,K<=5
0.1,49,2,6,2,4,0.3333333333333333,0.011661807580174927,0.013605442176870748,2,betting,K>30
0.15,179,31,54,3,51,0.05555555555555555,0.20481927710843373,0.0037243947858473,2,betting,5<K<=30
0.15,309,56,59,7,52,0.11864406779661017,0.65,0.022653721682847898,2,betting,K<=5
0.15,49,4,12,2,10,0.16666666666666666,0.029154518950437316,0.013605442176870748,2,betting,K>30
0.2,179,32,57,3,54,0.05263157894736842,0.21686746987951808,0.0037243947858473,2,betting,5<K<=30
0.2,309,57,60,8,52,0.13333333333333333,0.65,0.025889967637540454,2,betting,K<=5
0.2,49,6,21,2,19,0.09523809523809523,0.05539358600583091,0.013605442176870748,2,betting,K>30
0.05,168,19,39,1,38,0.02564102564102564,0.1557377049180328,0.002976190476190476,3,betting,5<K<=30
0.05,334,59,69,1,68,0.014492753623188406,0.5714285714285714,0.0029940119760479044,3,betting,K<=5
0.05,35,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.1,168,29,54,3,51,0.05555555555555555,0.20901639344262296,0.008928571428571428,3,betting,5<K<=30
0.1,334,61,71,1,70,0.014084507042253521,0.5882352941176471,0.0029940119760479044,3,betting,K<=5
0.1,35,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.15,168,35,62,3,59,0.04838709677419355,0.24180327868852458,0.008928571428571428,3,betting,5<K<=30
0.15,334,66,76,3,73,0.039473684210526314,0.6134453781512605,0.008982035928143712,3,betting,K<=5
0.15,35,2,9,0,9,0.0,0.036585365853658534,0.0,3,betting,K>30
0.2,168,36,63,3,60,0.047619047619047616,0.2459016393442623,0.008928571428571428,3,betting,5<K<=30
0.2,334,68,78,4,74,0.05128205128205128,0.6218487394957983,0.011976047904191617,3,betting,K<=5
0.2,35,3,12,0,12,0.0,0.04878048780487805,0.0,3,betting,K>30
0.05,322,44,46,2,44,0.043478260869565216,0.44,0.006211180124223602,4,betting,K<=5
0.05,40,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.05,175,12,26,0,26,0.0,0.09923664122137404,0.0,4,betting,5<K<=30
0.1,322,52,54,3,51,0.05555555555555555,0.51,0.009316770186335404,4,betting,K<=5
0.1,40,1,3,0,3,0.0,0.010526315789473684,0.0,4,betting,K>30
0.1,175,24,46,1,45,0.021739130434782608,0.1717557251908397,0.0019047619047619048,4,betting,5<K<=30
0.15,322,56,61,4,57,0.06557377049180328,0.57,0.012422360248447204,4,betting,K<=5
0.15,40,2,6,0,6,0.0,0.021052631578947368,0.0,4,betting,K>30
0.15,175,30,55,2,53,0.03636363636363636,0.20229007633587787,0.0038095238095238095,4,betting,5<K<=30
0.2,322,59,66,7,59,0.10606060606060606,0.59,0.018633540372670808,4,betting,K<=5
0.2,40,2,6,0,6,0.0,0.021052631578947368,0.0,4,betting,K>30
0.2,175,35,65,2,63,0.03076923076923077,0.24045801526717558,0.0038095238095238095,4,betting,5<K<=30
