alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.05,42,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.05,313,58,71,0,71,0.0,0.6339285714285714,0.0,0,betting,K<=5
0.05,182,16,26,0,26,0.0,0.09027777777777778,0.0,0,betting,5<K<=30
0.1,42,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.1,313,65,81,3,78,0.037037037037037035,0.6964285714285714,0.007454739084132055,0,betting,K<=5
0.1,182,24,45,3,42,0.06666666666666667,0.14583333333333334,0.004578754578754578,0,betting,5<K<=30
0.15,42,2,5,0,5,0.0,0.015873015873015872,0.0,0,betting,K>30
0.15,313,66,84,4,80,0.047619047619047616,0.7142857142857143,0.009052183173588923,0,betting,K<=5
0.15,182,35,65,3,62,0.046153846153846156,0.2152777777777778,0.004578754578754578,0,betting,5<K<=30
0.2,42,3,6,0,6,0.0,0.01904761904761905,0.0,0,betting,K>30
0.2,313,69,88,6,82,0.06818181818181818,0.7321428571428571,0.015441959531416399,0,betting,K<=5
0.2,182,45,82,6,76,0.07317073170731707,0.2638888888888889,0.018315018315018312,0,betting,5<K<=30
0.05,322,50,57,1,56,0.017543859649122806,0.691358024691358,0.003105590062111801,1,betting,K<=5
0.05,172,14,40,0,40,0.0,0.15748031496062992,0.0,1,betting,5<K<=30
0.05,43,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.1,322,52,61,1,60,0.01639344262295082,0.7407407407407407,0.003105590062111801,1,betting,K<=5
0.1,172,25,58,1,57,0.017241379310344827,0.22440944881889763,0.0006459948320413436,1,betting,5<K<=30
0.1,43,1,4,0,4,0.0,0.012307692307692308,0.0,1,betting,K>30
0.15,322,53,64,3,61,0.046875,0.7530864197530864,0.007763975155279503,1,betting,K<=5
0.15,172,32,72,3,69,0.041666666666666664,0.27165354330708663,0.006395348837209303,1,betting,5<K<=30
0.15,43,7,33,3,30,0.09090909090909091,0.09230769230769231,0.011804087385482734,1,betting,K>30
0.2,322,59,70,6,64,0.08571428571428572,0.7901234567901234,0.017080745341614908,1,betting,K<=5
0.2,172,35,86,3,83,0.03488372093023256,0.32677165354330706,0.006342494714587738,1,betting,5<K<=30
0.2,43,8,39,3,36,0.07692307692307693,0.11076923076923077,0.011478831246273108,1,betting,K>30
0.05,179,17,33,1,32,0.030303030303030304,0.1285140562248996,0.00186219739292365,2,betting,5<K<=30
0.05,309,51,53,5,48,0.09433962264150944,0.6,0.016181229773462782,2,betting,K<=5
0.05,49,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.1,179,25,48,3,45,0.0625,0.18072289156626506,0.0037243947858473,2,betting,5<K<=30
0.1,309,54,57,6,51,0.10526315789473684,0.6375,0.019417475728155338,2,betting,K<=5
0.1,49,2,7,2,5,0.2857142857142857,0.014577259475218658,0.013605442176870748,2,betting,K>30
0.15,179,32,58,3,55,0.05172413793103448,0.22088353413654618,0.0037243947858473,2,betting,5<K<=30
0.15,309,56,59,7,52,0.11864406779661017,0.65,0.022653721682847898,2,betting,K<=5
0.15,49,4,12,2,10,0.16666666666666666,0.029154518950437316,0.013605442176870748,2,betting,K>30
0.2,179,38,67,4,63,0.05970149253731343,0.25301204819277107,0.009310986964618248,2,betting,5<K<=30
0.2,309,58,61,8,53,0.13114754098360656,0.6625,0.025889967637540454,2,betting,K<=5
0.2,49,6,21,2,19,0.09523809523809523,0.05539358600583091,0.013605442176870748,2,betting,K>30
0.05,168,21,39,0,39,0.0,0.1598360655737705,0.0,3,betting,5<K<=30
0.05,334,59,69,1,68,0.014492753623188406,0.5714285714285714,0.0029940119760479044,3,betting,K<=5
0.05,35,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.1,168,28,53,1,52,0.018867924528301886,0.21311475409836064,0.002976190476190476,3,betting,5<K<=30
0.1,334,66,76,3,73,0.039473684210526314,0.6134453781512605,0.008982035928143712,3,betting,K<=5
0.1,35,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.15,168,35,63,3,60,0.047619047619047616,0.2459016393442623,0.008928571428571428,3,betting,5<K<=30
0.15,334,68,78,3,75,0.038461538461538464,0.6302521008403361,0.008982035928143712,3,betting,K<=5
0.15,35,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.2,168,38,70,5,65,0.07142857142857142,0.26639344262295084,0.017857142857142856,3,betting,5<K<=30
0.2,334,71,82,5,77,0.06097560975609756,0.6470588235294118,0.014970059880239521,3,betting,K<=5
0.2,35,3,9,0,9,0.0,0.036585365853658534,0.0,3,betting,K>30
0.05,322,48,50,3,47,0.06,0.47,0.009316770186335404,4,betting,K<=5
0.05,40,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.05,175,20,39,0,39,0.0,0.14885496183206107,0.0,4,betting,5<K<=30
0.1,322,56,61,3,58,0.04918032786885246,0.58,0.009316770186335404,4,betting,K<=5
0.1,40,2,6,0,6,0.0,0.021052631578947368,0.0,4,betting,K>30
0.1,175,29,55,2,53,0.03636363636363636,0.20229007633587787,0.0038095238095238095,4,betting,5<K<=30
0.15,322,57,64,5,59,0.078125,0.59,0.012422360248447204,4,betting,K<=5
0.15,40,2,6,0,6,0.0,0.021052631578947368,0.0,4,betting,K>30
0.15,175,34,61,2,59,0.03278688524590164,0.22519083969465647,0.0038095238095238095,4,betting,5<K<=30
0.2,322,60,69,7,62,0.10144927536231885,0.62,0.017080745341614908,4,betting,K<=5
0.2,40,2,6,0,6,0.0,0.021052631578947368,0.0,4,betting,K>30
0.2,175,41,72,2,70,0.027777777777777776,0.26717557251908397,0.0038095238095238095,4,betting,5<K<=30
