alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.05,537,74,97,0,97,0.0,0.13566433566433567,0.0,0,betting
0.1,537,89,126,6,120,0.047619047619047616,0.16783216783216784,0.005896958410924891,0,betting
0.15,537,103,154,7,147,0.045454545454545456,0.2055944055944056,0.006828057107386715,0,betting
0.2,537,117,176,12,164,0.06818181818181818,0.22937062937062938,0.01520794537554314,0,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,0,binary
0.05,537,64,97,1,96,0.010309278350515464,0.14545454545454545,0.00186219739292365,1,betting
0.1,537,78,123,2,121,0.016260162601626018,0.18333333333333332,0.0020691082143596113,1,betting
0.15,537,92,169,9,160,0.05325443786982249,0.24242424242424243,0.007649116866993962,1,betting
0.2,537,102,195,12,183,0.06153846153846154,0.2772727272727273,0.013192735259774366,1,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,1,binary
0.05,537,68,86,6,80,0.06976744186046512,0.11904761904761904,0.009931719428926133,2,betting
0.1,537,81,112,11,101,0.09821428571428571,0.15029761904761904,0.013656114214773432,2,betting
0.15,537,92,129,12,117,0.09302325581395349,0.17410714285714285,0.01551831160769708,2,betting
0.2,537,102,149,14,135,0.09395973154362416,0.20089285714285715,0.01924270639354438,2,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,2,binary
0.1,537,28,31,10,21,0.3225806451612903,0.03125,0.01675977653631285,2,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,2,binary
0.2,537,41,46,23,23,0.5,0.03422619047619048,0.03910614525139665,2,binary
0.05,537,80,108,1,107,0.009259259259259259,0.17569786535303777,0.00186219739292365,3,betting
0.1,537,94,129,4,125,0.031007751937984496,0.20525451559934318,0.006517690875232775,3,betting
0.15,537,103,141,6,135,0.0425531914893617,0.22167487684729065,0.008379888268156424,3,betting
0.2,537,112,161,10,151,0.062111801242236024,0.24794745484400657,0.0148975791433892,3,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,3,binary
0.05,537,68,89,3,86,0.033707865168539325,0.13292117465224113,0.00558659217877095,4,betting
0.1,537,87,122,5,117,0.040983606557377046,0.18083462132921174,0.006828057107386715,4,betting
0.15,537,93,131,7,124,0.05343511450381679,0.19165378670788252,0.008690254500310366,4,betting
0.2,537,103,147,9,138,0.061224489795918366,0.2132921174652241,0.01148355058969584,4,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,4,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,4,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,4,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,4,binary
