alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.05,140,29,34,1,33,0.029411764705882353,0.2682926829268293,0.007142857142857143,0,betting,K<=5
0.05,90,13,27,0,27,0.0,0.09642857142857143,0.0,0,betting,5<K<=30
0.05,19,1,3,0,3,0.0,0.01764705882352941,0.0,0,betting,K>30
0.1,140,29,34,1,33,0.029411764705882353,0.2682926829268293,0.007142857142857143,0,betting,K<=5
0.1,90,13,27,0,27,0.0,0.09642857142857143,0.0,0,betting,5<K<=30
0.1,19,1,3,0,3,0.0,0.01764705882352941,0.0,0,betting,K>30
0.15,140,29,34,1,33,0.029411764705882353,0.2682926829268293,0.007142857142857143,0,betting,K<=5
0.15,90,14,28,0,28,0.0,0.1,0.0,0,betting,5<K<=30
0.15,19,2,4,0,4,0.0,0.023529411764705882,0.0,0,betting,K>30
0.2,140,29,34,1,33,0.029411764705882353,0.2682926829268293,0.007142857142857143,0,betting,K<=5
0.2,90,14,28,0,28,0.0,0.1,0.0,0,betting,5<K<=30
0.2,19,3,6,0,6,0.0,0.03529411764705882,0.0,0,betting,K>30
0.05,142,22,25,0,25,0.0,0.1736111111111111,0.0,1,betting,K<=5
0.05,15,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.05,92,4,9,0,9,0.0,0.033582089552238806,0.0,1,betting,5<K<=30
0.1,142,29,32,0,32,0.0,0.2222222222222222,0.0,1,betting,K<=5
0.1,15,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.1,92,10,20,0,20,0.0,0.07462686567164178,0.0,1,betting,5<K<=30
0.15,142,37,43,0,43,0.0,0.2986111111111111,0.0,1,betting,K<=5
0.15,15,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.15,92,16,32,0,32,0.0,0.11940298507462686,0.0,1,betting,5<K<=30
0.2,142,45,57,0,57,0.0,0.3958333333333333,0.0,1,betting,K<=5
0.2,15,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.2,92,18,36,0,36,0.0,0.13432835820895522,0.0,1,betting,5<K<=30
0.05,87,6,7,0,7,0.0,0.028455284552845527,0.0,2,betting,5<K<=30
0.05,23,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.05,139,26,28,0,28,0.0,0.20437956204379562,0.0,2,betting,K<=5
0.1,87,9,12,0,12,0.0,0.04878048780487805,0.0,2,betting,5<K<=30
0.1,23,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.1,139,32,35,0,35,0.0,0.25547445255474455,0.0,2,betting,K<=5
0.15,87,12,17,0,17,0.0,0.06910569105691057,0.0,2,betting,5<K<=30
0.15,23,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.15,139,38,43,0,43,0.0,0.31386861313868614,0.0,2,betting,K<=5
0.2,87,15,20,0,20,0.0,0.08130081300813008,0.0,2,betting,5<K<=30
