alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.05,249,53,74,1,73,0.013513513513513514,0.1273996509598604,0.004016064257028112,0.3,2228,0,betting,all,1867
0.1,249,67,91,1,90,0.01098901098901099,0.15706806282722513,0.004016064257028112,0.3,2228,0,betting,all,1867
0.15,249,71,104,1,103,0.009615384615384616,0.17975567190226877,0.004016064257028112,0.3,2228,0,betting,all,1867
0.2,249,75,109,1,108,0.009174311926605505,0.18848167539267016,0.004016064257028112,0.3,2228,0,betting,all,1867
0.05,249,52,70,0,70,0.0,0.1364522417153996,0.0,0.3,2039,1,betting,all,1670
0.1,249,69,99,4,95,0.04040404040404041,0.18518518518518517,0.008032128514056224,0.3,2039,1,betting,all,1670
0.15,249,92,139,11,128,0.07913669064748201,0.24951267056530213,0.01646586345381526,0.3,2039,1,betting,all,1670
0.2,249,135,251,49,202,0.1952191235059761,0.3937621832358674,0.07185886402753872,0.3,2039,1,betting,all,1670
0.05,249,60,70,0,70,0.0,0.1303538175046555,0.0,0.3,2185,2,betting,all,2030
0.1,249,76,93,1,92,0.010752688172043012,0.1713221601489758,0.004016064257028112,0.3,2185,2,betting,all,2030
0.15,249,81,115,1,114,0.008695652173913044,0.2122905027932961,0.004016064257028112,0.3,2185,2,betting,all,2030
0.2,249,111,175,20,155,0.11428571428571428,0.2886405959031657,0.028915662650602407,0.3,2185,2,betting,all,2030
0.05,249,55,68,2,66,0.029411764705882353,0.11934900542495479,0.006024096385542169,0.3,2645,3,betting,all,1757
0.1,249,72,90,4,86,0.044444444444444446,0.15551537070524413,0.014056224899598393,0.3,2645,3,betting,all,1757
0.15,249,75,101,7,94,0.06930693069306931,0.16998191681735986,0.01606425702811245,0.3,2645,3,betting,all,1757
0.2,249,103,149,16,133,0.10738255033557047,0.24050632911392406,0.032797858099062924,0.3,2645,3,betting,all,1757
0.05,249,62,85,2,83,0.023529411764705882,0.13764510779436154,0.008032128514056224,0.3,2590,4,betting,all,1674
0.1,249,83,125,12,113,0.096,0.18739635157545606,0.017626059794734496,0.3,2590,4,betting,all,1674
