alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum_fine
0.05,92,22,23,1,22,0.043478260869565216,0.3142857142857143,0.010869565217391304,0.4,88,0,betting,K<=2
0.05,33,9,17,0,17,0.0,0.14285714285714285,0.0,0.4,423,0,betting,11<=K<=20
0.05,48,10,14,0,14,0.0,0.2641509433962264,0.0,0.4,148,0,betting,3<=K<=5
0.05,25,6,13,0,13,0.0,0.07784431137724551,0.0,0.4,728,0,betting,21<=K<=50
0.05,43,10,12,0,12,0.0,0.1518987341772152,0.0,0.4,285,0,betting,6<=K<=10
0.05,8,1,2,0,2,0.0,0.023529411764705882,0.0,0.4,680,0,betting,K>50
0.1,92,25,26,1,25,0.038461538461538464,0.35714285714285715,0.010869565217391304,0.4,88,0,betting,K<=2
0.1,33,11,20,0,20,0.0,0.16806722689075632,0.0,0.4,423,0,betting,11<=K<=20
0.1,48,14,18,0,18,0.0,0.33962264150943394,0.0,0.4,148,0,betting,3<=K<=5
0.1,25,7,14,0,14,0.0,0.08383233532934131,0.0,0.4,728,0,betting,21<=K<=50
0.1,43,13,18,0,18,0.0,0.22784810126582278,0.0,0.4,285,0,betting,6<=K<=10
0.1,8,2,3,0,3,0.0,0.03529411764705882,0.0,0.4,680,0,betting,K>50
0.15,92,25,26,1,25,0.038461538461538464,0.35714285714285715,0.010869565217391304,0.4,88,0,betting,K<=2
0.15,33,11,20,0,20,0.0,0.16806722689075632,0.0,0.4,423,0,betting,11<=K<=20
0.15,48,14,18,0,18,0.0,0.33962264150943394,0.0,0.4,148,0,betting,3<=K<=5
0.15,25,7,20,0,20,0.0,0.11976047904191617,0.0,0.4,728,0,betting,21<=K<=50
0.15,43,13,18,0,18,0.0,0.22784810126582278,0.0,0.4,285,0,betting,6<=K<=10
0.15,8,2,9,0,9,0.0,0.10588235294117647,0.0,0.4,680,0,betting,K>50
0.2,92,25,26,1,25,0.038461538461538464,0.35714285714285715,0.010869565217391304,0.4,88,0,betting,K<=2
0.2,33,12,22,0,22,0.0,0.18487394957983194,0.0,0.4,423,0,betting,11<=K<=20
0.2,48,14,18,0,18,0.0,0.33962264150943394,0.0,0.4,148,0,betting,3<=K<=5
0.2,25,8,21,0,21,0.0,0.12574850299401197,0.0,0.4,728,0,betting,21<=K<=50
0.2,43,16,21,0,21,0.0,0.26582278481012656,0.0,0.4,285,0,betting,6<=K<=10
0.2,8,2,9,0,9,0.0,0.10588235294117647,0.0,0.4,680,0,betting,K>50
0.05,52,10,11,0,11,0.0,0.1375,0.0,0.4,162,1,betting,3<=K<=5
0.05,90,20,22,0,22,0.0,0.34375,0.0,0.4,82,1,betting,K<=2
