alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.05,90,13,17,0,17,0.0,0.03195488721804511,0.0,0.0,0,0,betting,5<K<=30
0.05,60,1,4,0,4,0.0,0.003883495145631068,0.0,0.0,0,0,betting,K>30
0.05,31,1,1,0,1,0.0,0.02857142857142857,0.0,0.0,0,0,betting,K<=5
0.1,90,27,31,0,31,0.0,0.05827067669172932,0.0,0.0,0,0,betting,5<K<=30
0.1,60,11,28,0,28,0.0,0.027184466019417475,0.0,0.0,0,0,betting,K>30
0.1,31,1,1,0,1,0.0,0.02857142857142857,0.0,0.0,0,0,betting,K<=5
0.15,90,31,35,0,35,0.0,0.06578947368421052,0.0,0.0,0,0,betting,5<K<=30
0.15,60,14,36,0,36,0.0,0.03495145631067961,0.0,0.0,0,0,betting,K>30
0.15,31,1,1,0,1,0.0,0.02857142857142857,0.0,0.0,0,0,betting,K<=5
0.2,90,31,35,0,35,0.0,0.06578947368421052,0.0,0.0,0,0,betting,5<K<=30
0.2,60,17,42,0,42,0.0,0.040776699029126215,0.0,0.0,0,0,betting,K>30
0.2,31,1,1,0,1,0.0,0.02857142857142857,0.0,0.0,0,0,betting,K<=5
0.05,54,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,K>30
0.05,99,8,10,0,10,0.0,0.018115942028985508,0.0,0.0,0,1,betting,5<K<=30
0.05,28,1,1,0,1,0.0,0.02631578947368421,0.0,0.0,0,1,betting,K<=5
0.1,54,7,19,0,19,0.0,0.026170798898071626,0.0,0.0,0,1,betting,K>30
0.1,99,21,24,0,24,0.0,0.043478260869565216,0.0,0.0,0,1,betting,5<K<=30
0.1,28,1,1,0,1,0.0,0.02631578947368421,0.0,0.0,0,1,betting,K<=5
0.15,54,11,29,0,29,0.0,0.03994490358126722,0.0,0.0,0,1,betting,K>30
0.15,99,29,32,0,32,0.0,0.057971014492753624,0.0,0.0,0,1,betting,5<K<=30
0.15,28,1,1,0,1,0.0,0.02631578947368421,0.0,0.0,0,1,betting,K<=5
0.2,54,15,35,0,35,0.0,0.048209366391184574,0.0,0.0,0,1,betting,K>30
0.2,99,29,32,0,32,0.0,0.057971014492753624,0.0,0.0,0,1,betting,5<K<=30
0.2,28,1,1,0,1,0.0,0.02631578947368421,0.0,0.0,0,1,betting,K<=5
0.05,101,18,27,0,27,0.0,0.045075125208681135,0.0,0.0,0,2,betting,5<K<=30
0.05,55,1,3,0,3,0.0,0.003537735849056604,0.0,0.0,0,2,betting,K>30
0.05,25,0,0,0,0,0.0,0.0,0.0,0.0,0,2,betting,K<=5
0.1,101,27,36,0,36,0.0,0.06010016694490818,0.0,0.0,0,2,betting,5<K<=30
0.1,55,10,28,0,28,0.0,0.0330188679245283,0.0,0.0,0,2,betting,K>30
0.1,25,0,0,0,0,0.0,0.0,0.0,0.0,0,2,betting,K<=5
0.15,101,27,36,0,36,0.0,0.06010016694490818,0.0,0.0,0,2,betting,5<K<=30
0.15,55,17,39,0,39,0.0,0.045990566037735846,0.0,0.0,0,2,betting,K>30
0.15,25,0,0,0,0,0.0,0.0,0.0,0.0,0,2,betting,K<=5
0.2,101,27,36,0,36,0.0,0.06010016694490818,0.0,0.0,0,2,betting,5<K<=30
0.2,55,20,42,0,42,0.0,0.049528301886792456,0.0,0.0,0,2,betting,K>30
0.2,25,0,0,0,0,0.0,0.0,0.0,0.0,0,2,betting,K<=5
0.05,35,2,2,0,2,0.0,0.037037037037037035,0.0,0.0,0,3,betting,K<=5
0.05,64,1,2,0,2,0.0,0.002105263157894737,0.0,0.0,0,3,betting,K>30
0.05,82,20,28,0,28,0.0,0.0521415270018622,0.0,0.0,0,3,betting,5<K<=30
0.1,35,2,2,0,2,0.0,0.037037037037037035,0.0,0.0,0,3,betting,K<=5
0.1,64,8,19,0,19,0.0,0.02,0.0,0.0,0,3,betting,K>30
