bin,left,right,null_count,tp_count,p0,p1,raw_phi,regularized_raw_phi,phi
0,0.001002095057629,0.0011927722080144374,150,83,0.010633772862611655,0.01839131398183027,1.7295191668513183,1.7295191668513183,1.7295191668513183
1,0.0011927722080144374,0.0014070541248656602,159,74,0.011271799234368354,0.016397075116330602,1.4546990037167262,1.4546990037167262,1.4546990037167262
2,0.0014070541248656602,0.0016238195064943151,163,70,0.011555366510704665,0.015510746731664082,1.3422981189991015,1.3422981189991015,1.3422981189991015
3,0.0016238195064943151,0.0018805727828293901,158,74,0.011200907415284277,0.016397075116330602,1.4639059594364523,1.4639059594364523,1.4639059594364523
4,0.0018805727828293901,0.002192029845900775,167,66,0.011838933787040975,0.014624418346997563,1.235281707800884,1.235281707800884,1.235281707800884
5,0.002192029845900775,0.0025187265709973755,162,71,0.011484474691620587,0.01573232882783071,1.3698779657122222,1.3698779657122222,1.3698779657122222
6,0.0025187265709973755,0.0028806185582651803,164,69,0.011626258329788742,0.015289164635497452,1.315054611880043,1.315054611880043,1.315054611880043
7,0.0028806185582651803,0.0033219969365745404,172,60,0.012193392882461363,0.013294925769997783,1.0903385052999346,1.0903385052999346,1.0903385052999346
8,0.0033219969365745404,0.00379310120479201,168,65,0.011909825606125054,0.014402836250830933,1.20932385806084,1.20932385806084,1.20932385806084
9,0.00379310120479201,0.0042903793510049,170,63,0.012051609244293209,0.013959672058497673,1.1583243179833422,1.1583243179833422,1.1583243179833422
10,0.0042903793510049,0.004804197628982275,173,59,0.012264284701545442,0.013073343673831155,1.0659687044107646,1.0659687044107646,1.0659687044107646
11,0.004804197628982275,0.005420010723173531,169,64,0.01198071742520913,0.014181254154664303,1.1836732018088443,1.1836732018088443,1.1836732018088443
12,0.005420010723173531,0.006126987887546342,177,56,0.012547851977881752,0.012408597385331266,0.9889021170479256,0.9889021170479256,0.9889021170479256
13,0.006126987887546342,0.006923228991217886,166,67,0.011768041967956899,0.014846000443164193,1.2615523027185187,1.2615523027185187,1.2615523027185187
14,0.006923228991217886,0.007663310505449687,178,54,0.01261874379696583,0.011965433192998006,0.9482269697776959,0.9482269697776959,0.9482269697776959
15,0.007663310505449687,0.008535901643335762,184,49,0.013044094711470297,0.010857522712164856,0.8323707357488992,0.8323707357488992,0.8323707357488992
16,0.008535901643335762,0.009453320945613053,182,51,0.012902311073302142,0.011300686904498116,0.8758653267848924,0.8758653267848924,0.8758653267848924
17,0.009453320945613053,0.01054590451531108,176,57,0.012476960158797675,0.012630179481497895,1.0122801804886892,1.0122801804886892,1.0122801804886892
18,0.01054590451531108,0.011581086576916227,175,57,0.012406068339713597,0.012630179481497895,1.0180646386629104,1.0180646386629104,1.0180646386629104
19,0.011581086576916227,0.0128103634342551,188,45,0.013327661987806607,0.009971194327498338,0.7481578041685721,0.7481578041685721,0.7481578041685721
20,0.0128103634342551,0.01403785068541758,181,52,0.012831419254218063,0.011522269000664746,0.8979730747147895,0.8979730747147895,0.8979730747147895
21,0.01403785068541758,0.015244330605491978,189,43,0.013398553806890685,0.009528030135165079,0.7111237729451778,0.7111237729451778,0.7111237729451778
22,0.015244330605491978,0.01665266659110781,199,34,0.014107471997731462,0.007533791269665411,0.5340284404517602,0.5340284404517602,0.5340284404517602
23,0.01665266659110781,0.018094649538397723,180,53,0.012760527435133985,0.011743851096831376,0.9203264642883522,0.9203264642883522,0.9203264642883522
24,0.018094649538397723,0.019618489779531886,186,47,0.013185878349638452,0.010414358519831598,0.7898115122620674,0.7898115122620674,0.7898115122620674
25,0.019618489779531886,0.02135022487491367,186,46,0.013185878349638452,0.010192776423664968,0.7730070120011723,0.7730070120011723,0.7730070120011723
26,0.02135022487491367,0.02302538035437462,187,46,0.01325677016872253,0.010192776423664968,0.7688732846642675,0.7688732846642675,0.7688732846642675
27,0.02302538035437462,0.02475845515727993,197,36,0.013965688359563307,0.007976955461998671,0.5711824048068693,0.5711824048068693,0.5711824048068693
28,0.02475845515727993,0.02661481336690481,195,38,0.013823904721395152,0.008420119654331929,0.6090985017641343,0.6090985017641343,0.6090985017641343
29,0.02661481336690481,0.028703064657747676,190,42,0.013469445625974763,0.009306448038998449,0.6909302949374322,0.6909302949374322,0.6909302949374322
30,0.028703064657747676,0.030615551676601092,191,42,0.01354033744505884,0.009306448038998449,0.6873128588382833,0.6873128588382833,0.6873128588382833
31,0.030615551676601092,0.03267697766423225,197,36,0.013965688359563307,0.007976955461998671,0.5711824048068693,0.5711824048068693,0.5711824048068693
32,0.03267697766423225,0.034717240091413255,190,42,0.013469445625974763,0.009306448038998449,0.6909302949374322,0.6909302949374322,0.6909302949374322
33,0.034717240091413255,0.037191672250628395,198,35,0.014036580178647383,0.007755373365832041,0.5525115994870039,0.5525115994870039,0.5525115994870039
34,0.037191672250628395,0.039459568448364665,187,46,0.01325677016872253,0.010192776423664968,0.7688732846642675,0.7688732846642675,0.7688732846642675
35,0.039459568448364665,0.04179212599992746,190,43,0.013469445625974763,0.009528030135165079,0.7073810162454662,0.7073810162454662,0.7073810162454662
36,0.04179212599992746,0.044430410489439895,181,51,0.012831419254218063,0.011300686904498116,0.8807043617395051,0.8807043617395051,0.8807043617395051
37,0.044430410489439895,0.04698358625173567,195,38,0.013823904721395152,0.008420119654331929,0.6090985017641343,0.6090985017641343,0.6090985017641343
38,0.04698358625173567,0.0496435293927789,200,33,0.01417836381681554,0.007312209173498781,0.515730113006869,0.515730113006869,0.515730113006869
39,0.0496435293927789,0.0522374734282493,192,40,0.013611229264142918,0.008863283846665189,0.6511743851096831,0.6511743851096831,0.6511743851096831
40,0.0522374734282493,0.05487442845478647,213,20,0.01509995746490855,0.0044316419233325945,0.293487046809998,0.293487046809998,0.293487046809998
41,0.05487442845478647,0.05761523786932228,192,41,0.013611229264142918,0.009084865942831819,0.6674537447374251,0.6674537447374251,0.6674537447374251
42,0.05761523786932228,0.06073465403169389,198,35,0.014036580178647383,0.007755373365832041,0.5525115994870039,0.5525115994870039,0.5525115994870039
43,0.06073465403169389,0.0640833087265491,197,35,0.013965688359563307,0.007755373365832041,0.5553162268955674,0.5553162268955674,0.5553162268955674
44,0.0640833087265491,0.06772215943783517,200,33,0.01417836381681554,0.007312209173498781,0.515730113006869,0.515730113006869,0.515730113006869
45,0.06772215943783517,0.07186257541179651,190,43,0.013469445625974763,0.009528030135165079,0.7073810162454662,0.7073810162454662,0.7073810162454662
46,0.07186257541179651,0.07589196339249608,198,35,0.014036580178647383,0.007755373365832041,0.5525115994870039,0.5525115994870039,0.5525115994870039
47,0.07589196339249608,0.08038010150194166,196,36,0.013894796540479228,0.007976955461998671,0.5740966007497615,0.5740966007497615,0.5740966007497615
48,0.08038010150194166,0.08530281446874141,202,31,0.014320147454983695,0.006869044981165522,0.47967697279366756,0.47967697279366756,0.47967697279366756
49,0.08530281446874141,0.09074650518596165,195,38,0.013823904721395152,0.008420119654331929,0.6090985017641343,0.6090985017641343,0.6090985017641343
50,0.09074650518596165,0.09582546632736917,195,37,0.013823904721395152,0.008198537558165301,0.593069593822973,0.593069593822973,0.593069593822973
51,0.09582546632736917,0.10072363689541813,200,33,0.01417836381681554,0.007312209173498781,0.515730113006869,0.515730113006869,0.515730113006869
52,0.10072363689541813,0.10724463462829588,205,28,0.014532822912235928,0.006204298692665633,0.4269162797987386,0.4269162797987386,0.4269162797987386
53,0.10724463462829588,0.11367663219571111,189,44,0.013398553806890685,0.009749612231331709,0.7276615351066935,0.7276615351066935,0.7276615351066935
54,0.11367663219571111,0.12081711087375871,199,33,0.014107471997731462,0.007312209173498781,0.5183217216149438,0.5183217216149438,0.5183217216149438
55,0.12081711087375871,0.128325417637825,196,37,0.013894796540479228,0.008198537558165301,0.5900437285483661,0.5900437285483661,0.5900437285483661
56,0.128325417637825,0.1365529231727123,195,38,0.013823904721395152,0.008420119654331929,0.6090985017641343,0.6090985017641343,0.6090985017641343
57,0.1365529231727123,0.14555875733494755,188,45,0.013327661987806607,0.009971194327498338,0.7481578041685721,0.7481578041685721,0.7481578041685721
58,0.14555875733494755,0.15690962634980674,184,48,0.013044094711470297,0.010635940615998228,0.8153835778764729,0.8153835778764729,0.8153835778764729
59,0.15690962634980674,0.1669793650507927,187,46,0.01325677016872253,0.010192776423664968,0.7688732846642675,0.7688732846642675,0.7688732846642675
60,0.1669793650507927,0.177406744658947,182,51,0.012902311073302142,0.011300686904498116,0.8758653267848924,0.8758653267848924,0.8758653267848924
61,0.177406744658947,0.18973004370927812,169,63,0.01198071742520913,0.013959672058497673,1.165178308030581,1.165178308030581,1.165178308030581
62,0.18973004370927812,0.20221619419753556,145,88,0.010279313767191265,0.019499224462663417,1.8969383466919323,1.8969383466919323,1.8969383466919323
63,0.20221619419753556,0.21561196446418773,154,79,0.010917340138947965,0.01750498559716375,1.603411213205142,1.603411213205142,1.603411213205142
64,0.21561196446418773,0.23078852519392967,168,65,0.011909825606125054,0.014402836250830933,1.20932385806084,1.20932385806084,1.20932385806084
65,0.23078852519392967,0.25024919956922537,160,72,0.011342691053452432,0.015953910923997342,1.4065366718369157,1.4065366718369157,1.4065366718369157
66,0.25024919956922537,0.2710640415549278,173,60,0.012264284701545442,0.013294925769997783,1.084035970587218,1.084035970587218,1.084035970587218
67,0.2710640415549278,0.297347030043602,173,60,0.012264284701545442,0.013294925769997783,1.084035970587218,1.084035970587218,1.084035970587218
68,0.297347030043602,0.328443914651871,169,64,0.01198071742520913,0.014181254154664303,1.1836732018088443,1.1836732018088443,1.1836732018088443
69,0.328443914651871,0.3618804737925529,171,61,0.012122501063377287,0.013516507866164413,1.114993333100089,1.114993333100089,1.114993333100089
70,0.3618804737925529,0.40937981903553045,182,51,0.012902311073302142,0.011300686904498116,0.8758653267848924,0.8758653267848924,0.8758653267848924
71,0.40937981903553045,0.4604204833507538,192,41,0.013611229264142918,0.009084865942831819,0.6674537447374251,0.6674537447374251,0.6674537447374251
72,0.4604204833507538,0.5252729982137685,188,44,0.013327661987806607,0.009749612231331709,0.7315320751870483,0.7315320751870483,0.7315320751870483
73,0.5252729982137685,0.6059154212474837,185,48,0.013114986530554373,0.010635940615998228,0.8109760990771406,0.8109760990771406,0.8109760990771406
74,0.6059154212474837,0.7032339721918106,173,60,0.012264284701545442,0.013294925769997783,1.084035970587218,1.084035970587218,1.084035970587218
75,0.7032339721918106,0.7968054711818707,167,66,0.011838933787040975,0.014624418346997563,1.235281707800884,1.235281707800884,1.235281707800884
76,0.7968054711818707,0.8858270168304443,121,111,0.0085779101091734,0.0245956126744959,2.86731993707801,2.86731993707801,2.86731993707801
77,0.8858270168304443,0.9532577663660061,65,168,0.00460796824046505,0.037225792155993795,8.078569602345361,8.078569602345361,8.078569602345361
78,0.9532577663660061,0.9912768676877022,36,197,0.002552105487026797,0.04365167294482606,17.10418051554768,17.10418051554768,17.10418051554768
79,0.9912768676877022,0.9999774694442748,2,231,0.0001417836381681554,0.051185464214491466,361.0110791048083,361.0110791048083,361.0110791048083
