method,alpha,total_rejections,fdp,recall
betting,0.05,103.6,0.0509498670377672,0.14596154598437955
betting,0.1,136.6,0.06945235762583143,0.1884476834693524
betting,0.15,169.6,0.09030036885978453,0.22753626080135686
betting,0.2,186.2,0.0959439406809124,0.24799878817200288
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,251.6,0.1333901990780123,0.3236281273866424
pvalue_bh,0.1,326.6,0.221702318867043,0.3757923704194225
pvalue_bh,0.15,420.6,0.3095263449900682,0.4212601258802137
pvalue_bh,0.2,516.4,0.37543350142159626,0.4613981447165873
