alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.05,536,85,143,17,126,0.11888111888111888,0.1984251968503937,0.013970326936744845,0,betting
0.1,536,98,176,22,154,0.125,0.24251968503937008,0.01761282871357498,0,betting
0.15,536,109,216,33,183,0.1527777777777778,0.28818897637795277,0.02453136105188344,0,betting
0.2,536,111,229,35,194,0.15283842794759825,0.30551181102362207,0.026450850144879995,0,betting
0.05,536,0,0,0,0,0.0,0.0,0.0,0,binary
0.1,536,0,0,0,0,0.0,0.0,0.0,0,binary
0.15,536,0,0,0,0,0.0,0.0,0.0,0,binary
0.2,536,0,0,0,0,0.0,0.0,0.0,0,binary
0.05,536,134,273,49,224,0.1794871794871795,0.352755905511811,0.040076887223146056,0,pvalue_bh
0.1,536,159,324,74,250,0.22839506172839505,0.3937007874015748,0.06449635609123099,0,pvalue_bh
0.15,536,180,378,110,268,0.291005291005291,0.4220472440944882,0.0936105017494943,0,pvalue_bh
0.2,536,205,443,151,292,0.34085778781038373,0.45984251968503936,0.13402690417413002,0,pvalue_bh
0.05,536,70,95,5,90,0.05263157894736842,0.11658031088082901,0.005907960199004976,1,betting
0.1,536,95,145,6,139,0.041379310344827586,0.1800518134715026,0.00777363184079602,1,betting
0.15,536,107,180,10,170,0.05555555555555555,0.22020725388601037,0.013743781094527363,1,betting
0.2,536,109,200,15,185,0.075,0.23963730569948186,0.016972828166858016,1,betting
0.05,536,0,0,0,0,0.0,0.0,0.0,1,binary
0.1,536,0,0,0,0,0.0,0.0,0.0,1,binary
0.15,536,0,0,0,0,0.0,0.0,0.0,1,binary
0.2,536,0,0,0,0,0.0,0.0,0.0,1,binary
0.05,536,132,250,29,221,0.116,0.2862694300518135,0.033029791518597494,1,pvalue_bh
0.1,536,167,337,79,258,0.2344213649851632,0.33419689119170987,0.07081123985336475,1,pvalue_bh
0.15,536,194,437,121,316,0.2768878718535469,0.40932642487046633,0.09693662991237618,1,pvalue_bh
0.2,536,212,520,173,347,0.3326923076923077,0.4494818652849741,0.12688202655553402,1,pvalue_bh
0.05,536,79,97,3,94,0.030927835051546393,0.13505747126436782,0.004353233830845771,2,betting
0.1,536,97,133,9,124,0.06766917293233082,0.1781609195402299,0.010820895522388059,2,betting
0.15,536,110,171,15,156,0.08771929824561403,0.22413793103448276,0.01512629161882893,2,betting
0.2,536,118,194,18,176,0.09278350515463918,0.25287356321839083,0.019790470723306544,2,betting
0.05,536,0,0,0,0,0.0,0.0,0.0,2,binary
0.1,536,0,0,0,0,0.0,0.0,0.0,2,binary
0.15,536,0,0,0,0,0.0,0.0,0.0,2,binary
0.2,536,0,0,0,0,0.0,0.0,0.0,2,binary
0.05,536,150,270,37,233,0.13703703703703704,0.33477011494252873,0.04424185888738127,2,pvalue_bh
0.1,536,184,385,103,282,0.2675324675324675,0.4051724137931034,0.08783012056717061,2,pvalue_bh
0.15,536,212,585,260,325,0.4444444444444444,0.46695402298850575,0.12598113905706376,2,pvalue_bh
0.2,536,242,777,418,359,0.5379665379665379,0.5158045977011494,0.17489320936099104,2,pvalue_bh
0.05,536,75,99,4,95,0.04040404040404041,0.13688760806916425,0.005286069651741293,3,betting
0.1,536,85,116,8,108,0.06896551724137931,0.15561959654178675,0.01181592039800995,3,betting
0.15,536,92,158,13,145,0.08227848101265822,0.20893371757925072,0.01374822316986496,3,betting
0.2,536,106,177,16,161,0.0903954802259887,0.23198847262247838,0.019345238095238096,3,betting
0.05,536,0,0,0,0,0.0,0.0,0.0,3,binary
0.1,536,0,0,0,0,0.0,0.0,0.0,3,binary
0.15,536,0,0,0,0,0.0,0.0,0.0,3,binary
0.2,536,0,0,0,0,0.0,0.0,0.0,3,binary
0.05,536,129,251,26,225,0.10358565737051793,0.3242074927953891,0.027783544682602024,3,pvalue_bh
0.1,536,161,324,56,268,0.1728395061728395,0.3861671469740634,0.05716506751954513,3,pvalue_bh
0.15,536,186,380,94,286,0.24736842105263157,0.41210374639769454,0.09162201811455543,3,pvalue_bh
0.2,536,213,453,142,311,0.31346578366445915,0.44812680115273773,0.1350660651236903,3,pvalue_bh
0.05,536,68,84,1,83,0.011904761904761904,0.14285714285714285,0.0018656716417910447,4,betting
0.1,536,77,113,5,108,0.04424778761061947,0.18588640275387264,0.005730277185501066,4,betting
0.15,536,85,123,9,114,0.07317073170731707,0.1962134251290878,0.013192963752665245,4,betting
0.2,536,90,131,9,122,0.06870229007633588,0.2099827882960413,0.012260127931769723,4,betting
0.05,536,0,0,0,0,0.0,0.0,0.0,4,binary
0.1,536,0,0,0,0,0.0,0.0,0.0,4,binary
0.15,536,0,0,0,0,0.0,0.0,0.0,4,binary
0.2,536,0,0,0,0,0.0,0.0,0.0,4,binary
0.05,536,126,214,28,186,0.1308411214953271,0.32013769363166955,0.03522565742714996,4,pvalue_bh
0.1,536,150,263,54,209,0.20532319391634982,0.35972461273666095,0.0578202736318408,4,pvalue_bh
0.15,536,169,323,93,230,0.28792569659442724,0.3958691910499139,0.08551379435241374,4,pvalue_bh
0.2,536,194,389,137,252,0.35218508997429304,0.43373493975903615,0.12738169272684197,4,pvalue_bh
