alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.05,177,24,71,11,60,0.15492957746478872,0.22140221402214022,0.012173796072101159,0,betting,5<K<=30
0.05,325,60,69,5,64,0.07246376811594203,0.7272727272727273,0.015384615384615385,0,betting,K<=5
0.05,34,1,3,1,2,0.3333333333333333,0.007246376811594203,0.00980392156862745,0,betting,K>30
0.1,177,31,84,12,72,0.14285714285714285,0.2656826568265683,0.017823513586225453,0,betting,5<K<=30
0.1,325,63,72,6,66,0.08333333333333333,0.75,0.018461538461538463,0,betting,K<=5
0.1,34,4,20,4,16,0.2,0.057971014492753624,0.008403361344537815,0,betting,K>30
0.15,177,37,98,17,81,0.17346938775510204,0.2988929889298893,0.025073984396018295,0,betting,5<K<=30
0.15,325,66,75,8,67,0.10666666666666667,0.7613636363636364,0.024615384615384615,0,betting,K<=5
0.15,34,6,43,8,35,0.18604651162790697,0.12681159420289856,0.020903361344537814,0,betting,K>30
0.2,177,39,101,18,83,0.1782178217821782,0.3062730627306273,0.03072370191014259,0,betting,5<K<=30
0.2,325,66,76,8,68,0.10526315789473684,0.7727272727272727,0.024615384615384615,0,betting,K<=5
0.2,34,6,52,9,43,0.17307692307692307,0.15579710144927536,0.021751777634130578,0,betting,K>30
0.05,182,18,30,0,30,0.0,0.12448132780082988,0.0,1,betting,5<K<=30
0.05,300,50,51,3,48,0.058823529411764705,0.5783132530120482,0.01,1,betting,K<=5
0.05,54,2,14,2,12,0.14285714285714285,0.026785714285714284,0.0030864197530864196,1,betting,K>30
0.1,182,34,54,0,54,0.0,0.22406639004149378,0.0,1,betting,5<K<=30
0.1,300,55,56,4,52,0.07142857142857142,0.6265060240963856,0.013333333333333334,1,betting,K<=5
0.1,54,6,35,2,33,0.05714285714285714,0.07366071428571429,0.0030864197530864196,1,betting,K>30
0.15,182,40,68,2,66,0.029411764705882353,0.27385892116182575,0.006593406593406593,1,betting,5<K<=30
0.15,300,57,58,6,52,0.10344827586206896,0.6265060240963856,0.02,1,betting,K<=5
0.15,54,10,54,2,52,0.037037037037037035,0.11607142857142858,0.0030864197530864196,1,betting,K>30
0.2,182,41,73,3,70,0.0410958904109589,0.29045643153526973,0.00934065934065934,1,betting,5<K<=30
0.2,300,58,59,7,52,0.11864406779661017,0.6265060240963856,0.023333333333333334,1,betting,K<=5
