method,alpha,total_rejections,fdp,recall
betting,0.05,112.05,0.06151893511511096,0.15093607163829897
betting,0.1,151.55,0.08133966925886461,0.1998368796269768
betting,0.15,178.25,0.09315667740779321,0.23182880448848828
betting,0.2,197.15,0.1007848198524458,0.2539580422255078
binary,0.05,2.55,0.009846153846153846,0.003321389525093968
binary,0.1,3.1,0.024190177638453502,0.003405282142543632
binary,0.15,3.75,0.037321428571428575,0.003405282142543632
binary,0.2,9.8,0.0951136221555389,0.007075915648665515
pvalue_bh,0.05,271.05,0.1621093693025189,0.32473110249278403
pvalue_bh,0.1,358.2,0.24938489910153425,0.3829556924009845
pvalue_bh,0.15,450.95,0.3234538779630498,0.4296563757807264
pvalue_bh,0.2,554.2,0.3930537489046978,0.4693461105363334
