bin,left,right,null_count,tp_count,p0,p1,phi
0,0.050004307180643,0.05044818902388209,240,9,0.013593882752761258,0.004016064257028112,0.2954317269076305
1,0.05044818902388209,0.05095836799591773,240,9,0.013593882752761258,0.004016064257028112,0.2954317269076305
2,0.05095836799591773,0.05141886393539602,243,6,0.013763806287170773,0.002677376171352075,0.19452294775811063
3,0.05141886393539602,0.051940283738076624,245,3,0.013877088643443784,0.0013386880856760374,0.09646750266371608
4,0.051940283738076624,0.05245451000519096,243,6,0.013763806287170773,0.002677376171352075,0.19452294775811063
5,0.05245451000519096,0.05300772469490762,242,7,0.013707165109034268,0.0031236055332440876,0.22788122185712548
6,0.05300772469490762,0.053574268240481546,236,12,0.013367318040215237,0.00535475234270415,0.4005853924171261
7,0.053574268240481546,0.05410324409604065,238,11,0.013480600396488247,0.0049085229808121375,0.3641175345640264
8,0.05410324409604065,0.05469072703272097,238,11,0.013480600396488247,0.0049085229808121375,0.3641175345640264
9,0.05469072703272097,0.055339918006211436,242,6,0.013707165109034268,0.002677376171352075,0.19532676159182183
10,0.055339918006211436,0.056015402777120415,240,9,0.013593882752761258,0.004016064257028112,0.2954317269076305
11,0.056015402777120415,0.05665591359138485,234,15,0.013254035683942227,0.006693440428380187,0.5050114989874026
12,0.05665591359138485,0.0573042640462517,240,8,0.013593882752761258,0.0035698348951361,0.2626059794734493
13,0.0573042640462517,0.05798416072502729,244,5,0.013820447465307278,0.0022311468094600626,0.16143810213531723
14,0.05798416072502729,0.058730110991746166,240,9,0.013593882752761258,0.004016064257028112,0.2954317269076305
15,0.058730110991746166,0.0594785064458847,240,8,0.013593882752761258,0.0035698348951361,0.2626059794734493
16,0.0594785064458847,0.06015078932978212,241,8,0.013650523930897763,0.0035698348951361,0.26151632810633957
17,0.06015078932978212,0.06086200335994356,241,8,0.013650523930897763,0.0035698348951361,0.26151632810633957
18,0.06086200335994356,0.06152813229709857,242,7,0.013707165109034268,0.0031236055332440876,0.22788122185712548
19,0.06152813229709857,0.06221720203757285,244,4,0.013820447465307278,0.00178491744756805,0.12915048170825377
20,0.06221720203757285,0.06303581921383732,243,6,0.013763806287170773,0.002677376171352075,0.19452294775811063
21,0.06303581921383732,0.06382745038717982,246,3,0.013933729821580289,0.0013386880856760374,0.09607535834394489
22,0.06382745038717982,0.06465490255504841,242,6,0.013707165109034268,0.002677376171352075,0.19532676159182183
23,0.06465490255504841,0.06555350869894025,236,13,0.013367318040215237,0.005800981704596163,0.43396750845188664
24,0.06555350869894025,0.06646639807149764,242,7,0.013707165109034268,0.0031236055332440876,0.22788122185712548
25,0.06646639807149764,0.0674038929864764,232,16,0.013140753327669216,0.0071396697902722,0.5433227161519641
26,0.0674038929864764,0.06851231586188075,231,18,0.013084112149532711,0.008032128514056224,0.6138841078600114
27,0.06851231586188075,0.06943243928253647,242,7,0.013707165109034268,0.0031236055332440876,0.22788122185712548
28,0.06943243928253647,0.07038890011608596,242,6,0.013707165109034268,0.002677376171352075,0.19532676159182183
29,0.07038890011608596,0.07136293221265072,237,12,0.013423959218351742,0.00535475234270415,0.3988951586938471
30,0.07136293221265072,0.07237353082746262,237,12,0.013423959218351742,0.00535475234270415,0.3988951586938471
31,0.07237353082746262,0.0735136047005653,235,13,0.013310676862078732,0.005800981704596163,0.4358141787006181
32,0.0735136047005653,0.07456755498424171,237,12,0.013423959218351742,0.00535475234270415,0.3988951586938471
33,0.07456755498424171,0.07575448416173455,240,9,0.013593882752761258,0.004016064257028112,0.2954317269076305
34,0.07575448416173455,0.07691020332276816,243,6,0.013763806287170773,0.002677376171352075,0.19452294775811063
35,0.07691020332276816,0.078266168013215,239,9,0.013537241574624752,0.004016064257028112,0.2966678429197963
36,0.078266168013215,0.07962335832417008,235,14,0.013310676862078732,0.006247211066488175,0.46933834629297333
37,0.07962335832417008,0.0810143994167447,236,13,0.013367318040215237,0.005800981704596163,0.43396750845188664
38,0.0810143994167447,0.0823989841155707,242,6,0.013707165109034268,0.002677376171352075,0.19532676159182183
39,0.0823989841155707,0.0839420929551124,238,11,0.013480600396488247,0.0049085229808121375,0.3641175345640264
40,0.0839420929551124,0.08573220483958717,239,10,0.013537241574624752,0.004462293618920125,0.3296309365775515
41,0.08573220483958717,0.08733123634010549,242,6,0.013707165109034268,0.002677376171352075,0.19532676159182183
42,0.08733123634010549,0.08900732267647979,238,11,0.013480600396488247,0.0049085229808121375,0.3641175345640264
43,0.08900732267647979,0.09073561429977413,244,5,0.013820447465307278,0.0022311468094600626,0.16143810213531723
44,0.09073561429977413,0.09273557551205158,233,15,0.013197394505805721,0.006693440428380187,0.5071789303135288
45,0.09273557551205158,0.09478982444852586,238,11,0.013480600396488247,0.0049085229808121375,0.3641175345640264
46,0.09478982444852586,0.09708780655637375,240,9,0.013593882752761258,0.004016064257028112,0.2954317269076305
47,0.09708780655637375,0.09935239702463151,235,14,0.013310676862078732,0.006247211066488175,0.46933834629297333
48,0.09935239702463151,0.10166748380288473,232,16,0.013140753327669216,0.0071396697902722,0.5433227161519641
49,0.10166748380288473,0.10413497779518358,231,18,0.013084112149532711,0.008032128514056224,0.6138841078600114
50,0.10413497779518358,0.10687152016907929,238,11,0.013480600396488247,0.0049085229808121375,0.3641175345640264
51,0.10687152016907929,0.10958858765661712,235,13,0.013310676862078732,0.005800981704596163,0.4358141787006181
52,0.10958858765661712,0.11296614166349174,236,13,0.013367318040215237,0.005800981704596163,0.43396750845188664
53,0.11296614166349174,0.11626716516911977,233,16,0.013197394505805721,0.0071396697902722,0.5409908590010973
54,0.11626716516911977,0.11952545959502459,238,10,0.013480600396488247,0.004462293618920125,0.3310159405127513
55,0.11952545959502459,0.12306944280862803,231,18,0.013084112149532711,0.008032128514056224,0.6138841078600114
56,0.12306944280862803,0.12728728633373973,237,12,0.013423959218351742,0.00535475234270415,0.3988951586938471
57,0.12728728633373973,0.13200710527598858,228,20,0.012914188615123194,0.00892458723784025,0.6910683670353931
58,0.13200710527598858,0.13607781473547217,231,18,0.013084112149532711,0.008032128514056224,0.6138841078600114
59,0.13607781473547217,0.1411638632416725,231,18,0.013084112149532711,0.008032128514056224,0.6138841078600114
60,0.1411638632416725,0.14687686786055562,219,29,0.012404418011894647,0.012940651494868362,1.0432292335246618
61,0.14687686786055562,0.1525126583874225,220,29,0.012461059190031152,0.012940651494868362,1.0384872824631861
62,0.1525126583874225,0.1587702604010701,220,29,0.012461059190031152,0.012940651494868362,1.0384872824631861
63,0.1587702604010701,0.16639244556427,232,16,0.013140753327669216,0.0071396697902722,0.5433227161519641
64,0.16639244556427,0.1749444669112563,221,28,0.012517700368167657,0.01249442213297635,0.9981403744692193
65,0.1749444669112563,0.1853145528584718,222,27,0.012574341546304163,0.012048192771084338,0.9581569521328558
