alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.05,536,116,231,32,199,0.13852813852813853,0.31338582677165355,0.024367516811546662,0.4,4661,0,betting,all,5848
0.1,536,136,284,53,231,0.18661971830985916,0.3637795275590551,0.039650774613923266,0.4,4661,0,betting,all,5848
0.15,536,177,372,83,289,0.22311827956989247,0.45511811023622045,0.0654710650046471,0.4,4661,0,betting,all,5848
0.2,536,177,372,83,289,0.22311827956989247,0.45511811023622045,0.0654710650046471,0.4,4661,0,betting,all,5848
0.05,536,124,215,11,204,0.05116279069767442,0.26424870466321243,0.012748756218905474,0.4,6272,1,betting,all,5998
0.1,536,148,279,37,242,0.13261648745519714,0.3134715025906736,0.0365468331419824,0.4,6272,1,betting,all,5998
0.15,536,172,341,57,284,0.16715542521994134,0.36787564766839376,0.05586497658764999,0.4,6272,1,betting,all,5998
0.2,536,174,369,69,300,0.18699186991869918,0.38860103626943004,0.05810008082835124,0.4,6272,1,betting,all,5998
0.05,536,125,203,14,189,0.06896551724137931,0.27155172413793105,0.011768082663605052,0.4,5987,2,betting,all,5538
0.1,536,150,279,35,244,0.12544802867383512,0.3505747126436782,0.030973223991684323,0.4,5987,2,betting,all,5538
0.15,536,174,345,55,290,0.15942028985507245,0.4166666666666667,0.04698920482502572,0.4,5987,2,betting,all,5538
0.2,536,194,434,114,320,0.2626728110599078,0.45977011494252873,0.06591489656337829,0.4,5987,2,betting,all,5538
0.05,536,122,226,17,209,0.0752212389380531,0.3011527377521614,0.018119225302061122,0.4,6053,3,betting,all,5173
0.1,536,147,288,32,256,0.1111111111111111,0.3688760806916426,0.03191911682190551,0.4,6053,3,betting,all,5173
0.15,536,150,296,34,262,0.11486486486486487,0.37752161383285304,0.03275866906071148,0.4,6053,3,betting,all,5173
0.2,536,177,382,70,312,0.18324607329842932,0.4495677233429395,0.05986575613441285,0.4,6053,3,betting,all,5173
0.05,536,105,170,10,160,0.058823529411764705,0.27538726333907054,0.012415600568585644,0.4,5219,4,betting,all,4921
0.1,536,134,219,27,192,0.1232876712328767,0.3304647160068847,0.033981876332622604,0.4,5219,4,betting,all,4921
0.15,536,136,232,37,195,0.15948275862068967,0.33562822719449226,0.03701359275053305,0.4,5219,4,betting,all,4921
0.2,536,151,268,48,220,0.1791044776119403,0.37865748709122204,0.04329610066550365,0.4,5219,4,betting,all,4921
0.05,536,151,268,33,235,0.12313432835820895,0.3116710875331565,0.033659956519921395,0.4,5649,5,betting,all,6486
0.1,536,178,374,69,305,0.18449197860962566,0.40450928381962864,0.05399224286087408,0.4,5649,5,betting,all,6486
0.15,536,186,440,115,325,0.26136363636363635,0.43103448275862066,0.06409882162463544,0.4,5649,5,betting,all,6486
0.2,536,186,440,115,325,0.26136363636363635,0.43103448275862066,0.06409882162463544,0.4,5649,5,betting,all,6486
0.05,536,139,204,16,188,0.0784313725490196,0.24639580602883354,0.020082280903176427,0.4,5673,6,betting,all,5883
0.1,536,146,218,16,202,0.07339449541284404,0.26474442988204455,0.020082280903176427,0.4,5673,6,betting,all,5883
0.15,536,173,277,30,247,0.10830324909747292,0.3237221494102228,0.032511549395877755,0.4,5673,6,betting,all,5883
0.2,536,193,350,50,300,0.14285714285714285,0.3931847968545216,0.047580179459843636,0.4,5673,6,betting,all,5883
0.05,536,115,211,10,201,0.04739336492890995,0.2573623559539053,0.008277938040887998,0.4,6082,7,betting,all,6124
0.1,536,138,297,29,268,0.09764309764309764,0.34314980793854033,0.021048915123379756,0.4,6082,7,betting,all,6124
