method,alpha,total_rejections,fdp,recall
betting,0.05,220.0,0.08235481049423926,0.28908524673899855
betting,0.1,279.2,0.1322153634960805,0.34620517129651396
betting,0.15,364.7,0.1952245434688703,0.41532580082908277
betting,0.2,391.35,0.21463363115726525,0.43781868126445345
binary,0.05,43.0,0.021284073612840737,0.0472777294527927
binary,0.1,43.0,0.021284073612840737,0.0472777294527927
binary,0.15,43.0,0.021284073612840737,0.0472777294527927
binary,0.2,85.35,0.04575494056409568,0.08981451688175475
pvalue_bh,0.05,398.45,0.21913112979063606,0.44409142667358
pvalue_bh,0.1,398.45,0.21913112979063606,0.44409142667358
pvalue_bh,0.15,398.45,0.21913112979063606,0.44409142667358
pvalue_bh,0.2,398.45,0.21913112979063606,0.44409142667358
