bin,left,right,null_count,tp_count,p0,p1,phi
0,0.050003208220005,0.05045157810673113,217,4,0.013986013986013986,0.002277904328018223,0.16287015945330297
1,0.05045157810673113,0.05096811037510627,216,4,0.013921857958555207,0.002277904328018223,0.1636207131835025
2,0.05096811037510627,0.05143981403671202,214,6,0.013793545903637646,0.0031890660592255125,0.2311998728611538
3,0.05143981403671202,0.05194350406527519,214,7,0.013793545903637646,0.0036446469248291574,0.2642284261270329
4,0.05194350406527519,0.052463616942986756,214,6,0.013793545903637646,0.0031890660592255125,0.2311998728611538
5,0.052463616942986756,0.05305114146322005,213,7,0.013729389876178867,0.0036446469248291574,0.26546313839865454
6,0.05305114146322005,0.05359079958871,214,6,0.013793545903637646,0.0031890660592255125,0.2311998728611538
7,0.05359079958871,0.05414759032428261,215,6,0.013857701931096426,0.0031890660592255125,0.2301295030793892
8,0.05414759032428261,0.054738211678341024,213,7,0.013729389876178867,0.0036446469248291574,0.26546313839865454
9,0.054738211678341024,0.05544072668999431,210,10,0.013536921793802528,0.005011389521640091,0.37020155674788674
10,0.05544072668999431,0.056036508502438596,217,3,0.013986013986013986,0.0018223234624145787,0.1302961275626424
11,0.056036508502438596,0.05668915286660187,211,10,0.013601077821261307,0.005011389521640091,0.368455322989642
12,0.05668915286660187,0.05730395894497628,213,7,0.013729389876178867,0.0036446469248291574,0.26546313839865454
13,0.05730395894497628,0.05801313752308484,213,7,0.013729389876178867,0.0036446469248291574,0.26546313839865454
14,0.05801313752308484,0.058730665128678076,210,10,0.013536921793802528,0.005011389521640091,0.37020155674788674
15,0.058730665128678076,0.05953060090541834,209,12,0.013472765766343748,0.00592255125284738,0.43959431608634336
16,0.05953060090541834,0.06026406302116808,207,13,0.013344453711426188,0.006378132118451025,0.4779612756264237
17,0.06026406302116808,0.060974638070911136,211,9,0.013601077821261307,0.004555808656036446,0.3349593845360382
18,0.060974638070911136,0.06164689715951678,213,7,0.013729389876178867,0.0036446469248291574,0.26546313839865454
19,0.06164689715951678,0.0623970106244087,217,4,0.013986013986013986,0.002277904328018223,0.16287015945330297
20,0.0623970106244087,0.06316425632685423,210,10,0.013536921793802528,0.005011389521640091,0.37020155674788674
21,0.06316425632685423,0.06398528255522248,217,3,0.013986013986013986,0.0018223234624145787,0.1302961275626424
22,0.06398528255522248,0.06483834460377685,215,6,0.013857701931096426,0.0031890660592255125,0.2301295030793892
23,0.06483834460377685,0.0656695425510406,208,12,0.013408609738884969,0.00592255125284738,0.4416976381728809
24,0.0656695425510406,0.0664889509789645,209,11,0.013472765766343748,0.005466970387243736,0.40577936869508624
25,0.0664889509789645,0.06744685061275953,205,15,0.01321614165650863,0.007289293849658315,0.5515447729836124
26,0.06744685061275953,0.06849184576421974,210,11,0.013536921793802528,0.005466970387243736,0.40385624372496737
27,0.06849184576421974,0.0694922741502523,212,8,0.013665233848720088,0.004100227790432802,0.30004812473932435
28,0.0694922741502523,0.07045484352856869,213,7,0.013729389876178867,0.0036446469248291574,0.26546313839865454
29,0.07045484352856869,0.07140754070132968,208,12,0.013408609738884969,0.00592255125284738,0.4416976381728809
30,0.07140754070132968,0.07246837746351956,213,8,0.013729389876178867,0.004100227790432802,0.2986460306984864
31,0.07246837746351956,0.0736207872629165,206,14,0.013280297683967409,0.00683371298405467,0.5145752863886963
32,0.0736207872629165,0.07481517577543852,211,9,0.013601077821261307,0.004555808656036446,0.3349593845360382
33,0.07481517577543852,0.07598128132522107,214,6,0.013793545903637646,0.0031890660592255125,0.2311998728611538
34,0.07598128132522107,0.077271235641092,215,6,0.013857701931096426,0.0031890660592255125,0.2301295030793892
35,0.077271235641092,0.07847214601933952,211,9,0.013601077821261307,0.004555808656036446,0.3349593845360382
36,0.07847214601933952,0.07975468076765536,211,9,0.013601077821261307,0.004555808656036446,0.3349593845360382
37,0.07975468076765536,0.08126607108861207,210,10,0.013536921793802528,0.005011389521640091,0.37020155674788674
38,0.08126607108861207,0.08269786480814213,206,15,0.013280297683967409,0.007289293849658315,0.5488803054812761
39,0.08269786480814213,0.084403671324253,212,8,0.013665233848720088,0.004100227790432802,0.30004812473932435
40,0.084403671324253,0.08631401760503643,213,7,0.013729389876178867,0.0036446469248291574,0.26546313839865454
41,0.08631401760503643,0.08813837617635725,211,10,0.013601077821261307,0.005011389521640091,0.368455322989642
42,0.08813837617635725,0.08975777905434365,208,12,0.013408609738884969,0.00592255125284738,0.4416976381728809
43,0.08975777905434365,0.09159973785281177,212,8,0.013665233848720088,0.004100227790432802,0.30004812473932435
44,0.09159973785281177,0.09362856345251201,208,12,0.013408609738884969,0.00592255125284738,0.4416976381728809
45,0.09362856345251201,0.09574676081538196,213,8,0.013729389876178867,0.004100227790432802,0.2986460306984864
46,0.09574676081538196,0.09830211391672485,208,12,0.013408609738884969,0.00592255125284738,0.4416976381728809
47,0.09830211391672485,0.1006652951240539,206,14,0.013280297683967409,0.00683371298405467,0.5145752863886963
48,0.1006652951240539,0.10323733612895004,207,13,0.013344453711426188,0.006378132118451025,0.4779612756264237
49,0.10323733612895004,0.10562623571604488,209,12,0.013472765766343748,0.00592255125284738,0.43959431608634336
50,0.10562623571604488,0.10840181242674585,211,9,0.013601077821261307,0.004555808656036446,0.3349593845360382
51,0.10840181242674585,0.11113126389682287,206,14,0.013280297683967409,0.00683371298405467,0.5145752863886963
52,0.11113126389682287,0.11489049782976511,211,9,0.013601077821261307,0.004555808656036446,0.3349593845360382
53,0.11489049782976511,0.11797915883362288,209,12,0.013472765766343748,0.00592255125284738,0.43959431608634336
54,0.11797915883362288,0.12127998564392321,205,15,0.01321614165650863,0.007289293849658315,0.5515447729836124
55,0.12127998564392321,0.1247643381357193,210,10,0.013536921793802528,0.005011389521640091,0.37020155674788674
56,0.1247643381357193,0.12899010367691507,207,13,0.013344453711426188,0.006378132118451025,0.4779612756264237
57,0.12899010367691507,0.13383756279945386,201,20,0.01295951754667351,0.009567198177676537,0.7382372177992286
58,0.13383756279945386,0.1385042062029243,206,14,0.013280297683967409,0.00683371298405467,0.5145752863886963
59,0.1385042062029243,0.14400885254144663,205,15,0.01321614165650863,0.007289293849658315,0.5515447729836124
60,0.14400885254144663,0.14981398303061727,198,23,0.012767049464297171,0.010933940774487472,0.856418768100182
61,0.14981398303061727,0.15675385557115076,201,19,0.01295951754667351,0.009111617312072893,0.7030830645706939
62,0.15675385557115076,0.16381472796201704,195,25,0.012574581381920831,0.01184510250569476,0.9419878201850216
63,0.16381472796201704,0.17196913957595822,193,27,0.012446269327003273,0.01275626423690205,1.0249066528896507
64,0.17196913957595822,0.18189262133091688,195,26,0.012574581381920831,0.012300683371298405,0.9782181209613686
65,0.18189262133091688,0.1927726987749338,196,24,0.01263873740937961,0.011389521640091117,0.901159765503047
66,0.1927726987749338,0.2049883157014846,192,28,0.012382113299544492,0.013211845102505695,1.0670105161282708
67,0.2049883157014846,0.21913143023848536,196,24,0.01263873740937961,0.011389521640091117,0.901159765503047
68,0.21913143023848536,0.23784721847623588,184,37,0.011868865079874254,0.017312072892938495,1.458612325309364
