method,alpha,total_rejections,fdp,recall
betting,0.05,26.495282598983536,0.02725015975741397,0.02584699134280181
betting,0.1,38.42230711722718,0.03567252571455523,0.030776527203005884
betting,0.15,73.7364438923843,0.04946736511386686,0.045224539983962087
betting,0.2,57.153786078945764,0.03798657079547351,0.03272410263226815
binary,0.05,134.02081535108053,0.06555451693725213,0.14558664270403812
binary,0.1,134.02081535108053,0.06555451693725213,0.14558664270403812
binary,0.15,134.02081535108053,0.06555451693725213,0.14558664270403812
binary,0.2,176.51935185397485,0.09479065208084751,0.18480208514668378
pvalue_bh,0.05,50.225255756337106,0.03619632334087708,0.026225604180903125
pvalue_bh,0.1,50.225255756337106,0.03619632334087708,0.026225604180903125
pvalue_bh,0.15,50.225255756337106,0.03619632334087708,0.026225604180903125
pvalue_bh,0.2,50.225255756337106,0.03619632334087708,0.026225604180903125
