alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method
0.05,210,32,38,0,38,0.0,0.08656036446469248,0.0,0.3,628.0,0,betting
0.1,210,68,86,1,85,0.011627906976744186,0.19362186788154898,0.004761904761904762,0.3,628.0,0,betting
0.15,210,105,145,10,135,0.06896551724137931,0.30751708428246016,0.020634920634920634,0.3,628.0,0,betting
0.2,210,106,158,13,145,0.08227848101265822,0.33029612756264237,0.02412698412698413,0.3,628.0,0,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,628.0,0,binary
0.1,210,123,207,23,184,0.1111111111111111,0.4191343963553531,0.051547619047619044,0.3,628.0,0,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,628.0,0,binary
0.2,210,151,288,45,243,0.15625,0.5535307517084282,0.09632086167800454,0.3,628.0,0,binary
0.05,210,135,235,31,204,0.13191489361702127,0.4646924829157175,0.051474519632414374,0.3,,0,pvalue_bh
0.1,210,150,306,50,256,0.16339869281045752,0.5831435079726651,0.07404195011337869,0.3,,0,pvalue_bh
0.15,210,159,349,74,275,0.21203438395415472,0.6264236902050114,0.09727791116446578,0.3,,0,pvalue_bh
0.2,210,165,383,87,296,0.22715404699738903,0.6742596810933941,0.11210166288737719,0.3,,0,pvalue_bh
0.05,210,29,29,0,29,0.0,0.07754010695187166,0.0,0.3,421.0,1,betting
0.1,210,72,81,0,81,0.0,0.21657754010695188,0.0,0.3,421.0,1,betting
0.15,210,91,106,1,105,0.009433962264150943,0.2807486631016043,0.004761904761904762,0.3,421.0,1,betting
0.2,210,102,128,4,124,0.03125,0.3315508021390374,0.014285714285714285,0.3,421.0,1,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,421.0,1,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,421.0,1,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,421.0,1,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,421.0,1,binary
0.05,210,133,185,11,174,0.05945945945945946,0.46524064171123,0.037698412698412696,0.3,,1,pvalue_bh
0.1,210,148,238,22,216,0.09243697478991597,0.5775401069518716,0.06921768707482993,0.3,,1,pvalue_bh
0.15,210,153,270,37,233,0.13703703703703704,0.6229946524064172,0.08405895691609977,0.3,,1,pvalue_bh
0.2,210,166,308,53,255,0.17207792207792208,0.6818181818181818,0.12125711823190814,0.3,,1,pvalue_bh
0.05,210,28,28,0,28,0.0,0.06763285024154589,0.0,0.3,302.0,2,betting
0.1,210,91,130,10,120,0.07692307692307693,0.2898550724637681,0.02261904761904762,0.3,302.0,2,betting
0.15,210,103,156,13,143,0.08333333333333333,0.34541062801932365,0.034523809523809526,0.3,302.0,2,betting
0.2,210,118,180,16,164,0.08888888888888889,0.3961352657004831,0.04206349206349206,0.3,302.0,2,betting
0.05,210,103,149,16,133,0.10738255033557047,0.321256038647343,0.04007936507936508,0.3,302.0,2,binary
0.1,210,126,197,27,170,0.13705583756345177,0.4106280193236715,0.0740079365079365,0.3,302.0,2,binary
0.15,210,153,281,46,235,0.16370106761565836,0.5676328502415459,0.10392857142857143,0.3,302.0,2,binary
0.2,210,165,347,76,271,0.21902017291066284,0.6545893719806763,0.12241228070175439,0.3,302.0,2,binary
0.05,210,138,240,33,207,0.1375,0.5,0.06718880534670008,0.3,,2,pvalue_bh
0.1,210,157,294,52,242,0.17687074829931973,0.5845410628019324,0.096415770609319,0.3,,2,pvalue_bh
0.15,210,169,353,70,283,0.19830028328611898,0.6835748792270532,0.11698879551820728,0.3,,2,pvalue_bh
0.2,210,174,387,82,305,0.21188630490956073,0.7367149758454107,0.12716697045644415,0.3,,2,pvalue_bh
0.05,210,29,34,0,34,0.0,0.0734341252699784,0.0,0.3,409.0,3,betting
0.1,210,73,99,1,98,0.010101010101010102,0.21166306695464362,0.0015873015873015873,0.3,409.0,3,betting
0.15,210,96,134,3,131,0.022388059701492536,0.28293736501079914,0.007539682539682539,0.3,409.0,3,betting
0.2,210,104,155,5,150,0.03225806451612903,0.32397408207343414,0.010714285714285714,0.3,409.0,3,betting
