method,alpha,total_rejections,fdp,recall
betting,0.05,42.15,0.02218773939087654,0.10648640675201851
betting,0.1,94.0,0.03336381948011074,0.23203510392777255
betting,0.15,123.4,0.04247879866193933,0.3002945763228512
betting,0.2,146.25,0.05059600783069479,0.35309980409272235
binary,0.05,23.95,0.01269778960597324,0.05361105387274767
binary,0.1,61.35,0.03948816491037903,0.12450365317617514
binary,0.15,47.25,0.025610265316907944,0.09445239617401166
binary,0.2,94.4,0.06600211015741335,0.17099539276463718
pvalue_bh,0.05,199.05,0.08055778543347855,0.46517118532774837
pvalue_bh,0.1,259.9,0.13212706181003525,0.5675599492015401
pvalue_bh,0.15,310.95,0.17465659178130755,0.6454503492172395
pvalue_bh,0.2,337.6,0.20694096919511584,0.6746408820754147
