source,task,method,bal_acc,acc,far,mae,mae_absent,mae_present
COCO/GDino,decision_bal_acc,naive_tau=0.10,0.6651917404129793,0.5772811918063314,0.4227188081936685,2.5735567970204842,1.3982300884955752,4.585858585858586
COCO/GDino,decision_bal_acc,naive_tau=0.20,0.859680879592384,0.8268156424581006,0.16759776536312848,0.8752327746741154,0.3333333333333333,1.803030303030303
COCO/GDino,decision_bal_acc,naive_tau=0.30,0.9191248770894789,0.9124767225325885,0.0670391061452514,0.40037243947858475,0.12094395280235988,0.8787878787878788
COCO/GDino,decision_bal_acc,naive_tau=0.40,0.9096942880128721,0.9217877094972067,0.027932960893854747,0.3016759776536313,0.04424778761061947,0.7424242424242424
COCO/GDino,decision_bal_acc,naive_tau=0.50,0.8592115848753017,0.8938547486033519,0.00558659217877095,0.38733705772811916,0.008849557522123894,1.0353535353535352
COCO/GDino,decision_bal_acc,wrapper_eBH_alpha=0.05,0.6994949494949495,0.7783985102420856,0.0,0.6126629422718808,0.0,1.6616161616161615
COCO/GDino,decision_bal_acc,wrapper_eBH_alpha=0.10,0.730848306069545,0.8007448789571695,0.00186219739292365,0.5810055865921788,0.0029498525073746312,1.5707070707070707
COCO/GDino,decision_bal_acc,wrapper_eBH_alpha=0.20,0.7809287565924734,0.8361266294227188,0.00558659217877095,0.521415270018622,0.008849557522123894,1.398989898989899
COCO/RegionCLIP,decision_bal_acc,naive_tau=0.10,0.6919668381932533,0.9060773480662984,0.0718232044198895,5.3259668508287294,1.1363636363636365,5.90566037735849
COCO/RegionCLIP,decision_bal_acc,naive_tau=0.20,0.7804459691252144,0.8895027624309392,0.04419889502762431,3.386740331491713,0.5,3.7861635220125787
COCO/RegionCLIP,decision_bal_acc,naive_tau=0.30,0.8164665523156089,0.8839779005524862,0.03314917127071823,2.3977900552486187,0.2727272727272727,2.691823899371069
COCO/RegionCLIP,decision_bal_acc,naive_tau=0.40,0.8171812464265295,0.850828729281768,0.027624309392265192,1.8066298342541436,0.22727272727272727,2.0251572327044025
COCO/RegionCLIP,decision_bal_acc,naive_tau=0.50,0.8563464837049743,0.850828729281768,0.016574585635359115,1.3370165745856353,0.13636363636363635,1.5031446540880504
COCO/RegionCLIP,decision_bal_acc,wrapper_eBH_alpha=0.05,0.5471698113207547,0.20441988950276244,0.0,1.977900552486188,0.0,2.251572327044025
COCO/RegionCLIP,decision_bal_acc,wrapper_eBH_alpha=0.10,0.6226415094339622,0.3370165745856354,0.0,1.7679558011049723,0.0,2.0125786163522013
COCO/RegionCLIP,decision_bal_acc,wrapper_eBH_alpha=0.20,0.6540880503144654,0.39226519337016574,0.0,1.6685082872928176,0.0,1.89937106918239
