estimator,alpha,rejections,fdp_pooled,recall
"hist (80-bin, default)",0.05,101.0,0.0342300270728909,0.1484355962749609
"hist (80-bin, default)",0.1,129.4,0.0460466414453516,0.1877416169389068
"hist (80-bin, default)",0.15,148.4,0.0508680849628641,0.2139593156581378
"hist (80-bin, default)",0.2,163.8,0.0626354903204989,0.2333237151601085
isotonic,0.05,87.0,0.0322740922740922,0.1252870148780318
isotonic,0.1,113.0,0.0372114368021139,0.1617500623920839
isotonic,0.15,125.8,0.0432344635379542,0.1782565871656102
isotonic,0.2,136.4,0.054708113684655,0.1903423202115442
KDE,0.05,89.8,0.0304023942766947,0.1305046449180516
KDE,0.1,122.2,0.0399081625471229,0.176906239734612
KDE,0.15,139.6,0.0484823945272212,0.2002790733312238
KDE,0.2,152.4,0.0553330278284484,0.2166888500873604
logistic,0.05,95.4,0.0246087689277558,0.1417571080343558
logistic,0.1,122.4,0.0468169708860641,0.177510451428335
logistic,0.15,144.8,0.0575441090262999,0.2070908908861928
logistic,0.2,165.6,0.0694032604604116,0.2337551572190888
hist + smooth=0.5,0.05,102.4,0.0333626669748344,0.1505433189809356
hist + smooth=0.5,0.1,130.8,0.0457458895656523,0.1900404675136194
hist + smooth=0.5,0.15,149.4,0.052093847880666,0.2151836142858367
hist + smooth=0.5,0.2,164.6,0.0622825025105985,0.2345250138614073
hist + smooth=1.0,0.05,101.0,0.0342300270728909,0.1484355962749609
hist + smooth=1.0,0.1,129.4,0.0460466414453516,0.1877416169389068
hist + smooth=1.0,0.15,148.4,0.0508680849628641,0.2139593156581378
hist + smooth=1.0,0.2,163.8,0.0626354903204989,0.2333237151601085
hist + smooth=2.0,0.05,98.6,0.0288459832627994,0.1457146449058057
hist + smooth=2.0,0.1,125.8,0.0471191123577904,0.1822365502908326
hist + smooth=2.0,0.15,146.4,0.0514576402116042,0.2109515332107002
hist + smooth=2.0,0.2,161.0,0.0601027946501381,0.2300363244210176
hist + smooth=5.0,0.05,87.4,0.0193858415377402,0.1306124170159106
hist + smooth=5.0,0.1,116.0,0.046012770497698,0.1682767029777769
hist + smooth=5.0,0.15,138.4,0.0531957076914871,0.1993606099216209
hist + smooth=5.0,0.2,153.4,0.058885690199893,0.2192625237266952
