dataset,detector,alpha,bin,n_families_mean,mean_K,total_rejections_mean,fdp_pooled_mean,fdp_pooled_std,per_family_fdp_mean,recall_mean,pass_rate,family_share
COCO val,GDino,0.05,11-20,63.3,14.438547841891914,10.0,0.0,0.0,0.0,0.08791187378281048,1.0,0.11787709497206704
COCO val,GDino,0.05,2-5,224.8,3.21060174712916,48.9,0.033037164590237394,0.03122060603015735,0.03788832471464183,0.5393645755611566,0.75,0.4186219739292365
COCO val,GDino,0.05,6-10,92.05,7.485007978168854,20.95,0.014964377901684403,0.02734454941540761,0.02234307359307359,0.2669260484519863,0.9,0.17141527001862197
COCO val,GDino,0.05,K=1,89.5,1.0,17.3,0.022687908496732027,0.03511142481029023,0.022687908496732027,0.9510582402297303,0.75,0.16666666666666666
COCO val,GDino,0.05,K>20,67.35,55.5205222867494,6.85,0.05569444444444445,0.11125894770217211,0.05388888888888889,0.015538178052786022,0.75,0.1254189944134078
COCO val,GDino,0.1,11-20,63.3,14.438547841891914,14.85,0.028210050818746467,0.057219927782156156,0.03159090909090909,0.12716316793908672,0.9,0.11787709497206704
COCO val,GDino,0.1,2-5,224.8,3.21060174712916,53.05,0.040212094151965125,0.03352563892526296,0.04572498342968192,0.580210974683256,0.95,0.4186219739292365
COCO val,GDino,0.1,6-10,92.05,7.485007978168854,26.55,0.023242181376452474,0.026926182831876363,0.024851444851444852,0.33563459600557366,1.0,0.17141527001862197
COCO val,GDino,0.1,K=1,89.5,1.0,17.45,0.030434576958166943,0.03502903691888413,0.030434576958166943,0.9510582402297303,0.95,0.16666666666666666
COCO val,GDino,0.1,K>20,67.35,55.5205222867494,22.1,0.0751438292484345,0.06224633745769744,0.061242477429977425,0.051727546886663256,0.7,0.1254189944134078
COCO val,GDino,0.15,11-20,63.3,14.438547841891914,19.65,0.05512922262922263,0.10245809240393657,0.0370970695970696,0.16646161526179407,0.85,0.11787709497206704
COCO val,GDino,0.15,2-5,224.8,3.21060174712916,56.7,0.05733375901864964,0.03407032046914543,0.06599237239531064,0.6082090488841918,1.0,0.4186219739292365
COCO val,GDino,0.15,6-10,92.05,7.485007978168854,28.65,0.02623962141308624,0.02574835110837619,0.02615909431698905,0.3628046644928726,1.0,0.17141527001862197
COCO val,GDino,0.15,K=1,89.5,1.0,17.8,0.04415741559781807,0.04598342869921174,0.04415741559781807,0.9541832402297302,1.0,0.16666666666666666
COCO val,GDino,0.15,K>20,67.35,55.5205222867494,29.65,0.06774639637465209,0.04124965252930444,0.054958801019407075,0.06933824340281644,1.0,0.1254189944134078
COCO val,GDino,0.2,11-20,63.3,14.438547841891914,23.1,0.05480558754413763,0.09816316522986243,0.037871597356891475,0.19596920491789277,0.95,0.11787709497206704
COCO val,GDino,0.2,2-5,224.8,3.21060174712916,60.3,0.0754860300404528,0.035398182434259434,0.08414167270914644,0.6352464341991639,1.0,0.4186219739292365
COCO val,GDino,0.2,6-10,92.05,7.485007978168854,30.4,0.03523119166643808,0.02857088947794907,0.03784822104828162,0.3807860690568538,1.0,0.17141527001862197
COCO val,GDino,0.2,K=1,89.5,1.0,18.05,0.05050662194702442,0.04373524953673121,0.05050662194702442,0.963582750033652,1.0,0.16666666666666666
COCO val,GDino,0.2,K>20,67.35,55.5205222867494,35.0,0.07436730073897893,0.04144857791167549,0.0709656370318135,0.08168996487339854,1.0,0.1254189944134078
COCO val,OWL-ViT,0.05,11-20,29.85,14.010201487194674,3.35,0.00625,0.02795084971874737,0.005,0.03378638471594506,0.95,0.11987951807228917
COCO val,OWL-ViT,0.05,2-5,88.05,3.099397229564931,20.35,0.012441145810711028,0.02287513410511025,0.015955478700043917,0.17804748100503848,0.95,0.3536144578313253
COCO val,OWL-ViT,0.05,6-10,38.75,7.6210547902524866,6.6,0.050238095238095234,0.10628281946453502,0.05444444444444444,0.07929029507010256,0.75,0.15562248995983935
