alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.05,593,20,24,5,19,0.20833333333333334,0.02627939142461964,0.008431703204047217,0,betting,all,12213
0.1,593,40,50,10,40,0.2,0.05532503457814661,0.016863406408094434,0,betting,all,12213
0.15,593,53,70,16,54,0.22857142857142856,0.07468879668049792,0.024451939291736932,0,betting,all,12213
0.2,593,75,94,26,68,0.2765957446808511,0.09405255878284924,0.04047217537942664,0,betting,all,12213
0.05,593,12,16,1,15,0.0625,0.01953125,0.0016863406408094434,1,betting,all,12662
0.1,593,21,26,4,22,0.15384615384615385,0.028645833333333332,0.006745362563237774,1,betting,all,12662
0.15,593,49,90,16,74,0.17777777777777778,0.09635416666666667,0.025295109612141653,1,betting,all,12662
0.2,593,59,104,19,85,0.18269230769230768,0.11067708333333333,0.03035413153456998,1,betting,all,12662
0.05,593,16,17,3,14,0.17647058823529413,0.016,0.00505902192242833,2,betting,all,11855
0.1,593,27,34,8,26,0.23529411764705882,0.029714285714285714,0.011804384485666104,2,betting,all,11855
0.15,593,49,69,22,47,0.3188405797101449,0.053714285714285714,0.03288364249578415,2,betting,all,11855
0.2,593,57,78,26,52,0.3333333333333333,0.05942857142857143,0.0387858347386172,2,betting,all,11855
0.05,593,10,14,1,13,0.07142857142857142,0.015348288075560802,0.0016863406408094434,3,betting,all,13172
0.1,593,38,50,7,43,0.14,0.05076741440377804,0.0073074761101742545,3,betting,all,13172
0.15,593,62,91,20,71,0.21978021978021978,0.08382526564344746,0.026419336706014613,3,betting,all,13172
0.2,593,76,113,30,83,0.26548672566371684,0.09799291617473435,0.03485103991006183,3,betting,all,13172
0.05,593,13,17,3,14,0.17647058823529413,0.0196078431372549,0.00505902192242833,4,betting,all,11642
0.1,593,24,31,7,24,0.22580645161290322,0.03361344537815126,0.01011804384485666,4,betting,all,11642
0.15,593,41,52,14,38,0.2692307692307692,0.05322128851540616,0.02023608768971332,4,betting,all,11642
0.2,593,56,77,20,57,0.2597402597402597,0.07983193277310924,0.029229904440697018,4,betting,all,11642
0.05,593,17,21,6,15,0.2857142857142857,0.016648168701442843,0.01011804384485666,5,betting,all,12821
0.1,593,40,51,11,40,0.21568627450980393,0.04439511653718091,0.01854974704890388,5,betting,all,12821
0.15,593,60,94,20,74,0.2127659574468085,0.08213096559378469,0.03372681281618887,5,betting,all,12821
0.2,593,77,113,31,82,0.2743362831858407,0.09100998890122086,0.05143338954468803,5,betting,all,12821
0.05,593,12,13,3,10,0.23076923076923078,0.01310615989515072,0.00505902192242833,6,betting,all,12188
0.1,593,28,36,5,31,0.1388888888888889,0.04062909567496723,0.008431703204047217,6,betting,all,12188
0.15,593,44,65,14,51,0.2153846153846154,0.06684141546526867,0.021922428330522766,6,betting,all,12188
0.2,593,55,84,19,65,0.2261904761904762,0.08519003931847968,0.02951096121416526,6,betting,all,12188
0.05,593,12,16,4,12,0.25,0.017964071856287425,0.00505902192242833,7,betting,all,12159
0.1,593,34,47,11,36,0.23404255319148937,0.05389221556886228,0.016020236087689713,7,betting,all,12159
0.15,593,43,70,16,54,0.22857142857142856,0.08083832335329341,0.023327712197863965,7,betting,all,12159
0.2,593,65,92,22,70,0.2391304347826087,0.10479041916167664,0.033445756042720626,7,betting,all,12159
0.05,593,10,13,0,13,0.0,0.015738498789346248,0.0,8,betting,all,12633
0.1,593,40,50,8,42,0.16,0.05084745762711865,0.013490725126475547,8,betting,all,12633
0.15,593,56,74,16,58,0.21621621621621623,0.07021791767554479,0.026138279932546374,8,betting,all,12633
0.2,593,71,97,22,75,0.2268041237113402,0.09079903147699758,0.03541315345699832,8,betting,all,12633
0.05,593,14,23,1,22,0.043478260869565216,0.025730994152046785,0.0016863406408094434,9,betting,all,12793
0.1,593,30,43,7,36,0.16279069767441862,0.042105263157894736,0.011804384485666104,9,betting,all,12793
0.15,593,52,74,16,58,0.21621621621621623,0.06783625730994151,0.026981450252951095,9,betting,all,12793
0.2,593,69,92,25,67,0.2717391304347826,0.0783625730994152,0.04215851602023609,9,betting,all,12793
0.05,593,11,11,3,8,0.2727272727272727,0.01015228426395939,0.00505902192242833,10,betting,all,12363
0.1,593,25,32,7,25,0.21875,0.031725888324873094,0.008431703204047217,10,betting,all,12363
0.15,593,33,52,9,43,0.17307692307692307,0.05456852791878172,0.011804384485666104,10,betting,all,12363
0.2,593,52,74,18,56,0.24324324324324326,0.07106598984771574,0.026138279932546374,10,betting,all,12363
0.05,593,13,20,3,17,0.15,0.02176696542893726,0.00505902192242833,11,betting,all,11916
0.1,593,21,30,6,24,0.2,0.030729833546734954,0.01011804384485666,11,betting,all,11916
0.15,593,35,69,11,58,0.15942028985507245,0.07426376440460948,0.017425519955030916,11,betting,all,11916
0.2,593,45,81,16,65,0.19753086419753085,0.08322663252240717,0.02417088251826869,11,betting,all,11916
0.05,593,14,18,3,15,0.16666666666666666,0.01675977653631285,0.003372681281618887,12,betting,all,12994
0.1,593,30,40,7,33,0.175,0.03687150837988827,0.01011804384485666,12,betting,all,12994
0.15,593,53,90,21,69,0.23333333333333334,0.07709497206703911,0.031197301854974706,12,betting,all,12994
0.2,593,73,124,33,91,0.2661290322580645,0.10167597765363129,0.047097085039749464,12,betting,all,12994
0.05,593,14,19,3,16,0.15789473684210525,0.024390243902439025,0.00505902192242833,13,betting,all,12042
0.1,593,36,45,8,37,0.17777777777777778,0.056402439024390245,0.013490725126475547,13,betting,all,12042
0.15,593,56,69,16,53,0.2318840579710145,0.08079268292682927,0.026981450252951095,13,betting,all,12042
0.2,593,64,89,29,60,0.3258426966292135,0.09146341463414634,0.03444953023367864,13,betting,all,12042
0.05,593,10,12,1,11,0.08333333333333333,0.012687427912341407,0.0016863406408094434,14,betting,all,11653
0.1,593,25,36,6,30,0.16666666666666666,0.03460207612456748,0.006745362563237774,14,betting,all,11653
0.15,593,46,90,18,72,0.2,0.08304498269896193,0.01967397414277684,14,betting,all,11653
0.2,593,61,117,21,96,0.1794871794871795,0.11072664359861592,0.02473299606520517,14,betting,all,11653
0.05,593,8,9,0,9,0.0,0.012875536480686695,0.0,15,betting,all,11918
0.1,593,22,50,5,45,0.1,0.06437768240343347,0.006745362563237774,15,betting,all,11918
0.15,593,33,63,8,55,0.12698412698412698,0.07868383404864092,0.011804384485666104,15,betting,all,11918
0.2,593,42,80,17,63,0.2125,0.09012875536480687,0.017425519955030916,15,betting,all,11918
0.05,593,9,13,1,12,0.07692307692307693,0.01637107776261937,0.0016863406408094434,16,betting,all,12415
