bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500007905066013,0.0504156589508056,477,9,0.013114123113298326,0.0036202735317779565,0.2760591387240243
1,0.0504156589508056,0.05085123796015974,482,4,0.013251587716163088,0.0016090104585679806,0.12142020209438414
2,0.05085123796015974,0.05126942619681354,478,8,0.013141616033871277,0.003218020917135961,0.2448725414623145
3,0.05126942619681354,0.05168710760772224,478,7,0.013141616033871277,0.0028157683024939663,0.21426347377952518
4,0.05168710760772224,0.052146957255899865,472,14,0.012976658510433564,0.0056315366049879325,0.43397432401107217
5,0.052146957255899865,0.05260772835463279,476,10,0.013086630192725374,0.004022526146419952,0.3073767721086826
6,0.05260772835463279,0.05309414202347391,475,11,0.01305913727215242,0.004424778761061947,0.33882626921285514
7,0.05309414202347391,0.053587999194860396,476,9,0.013086630192725374,0.0036202735317779565,0.2766390948978143
8,0.053587999194860396,0.054089431744068814,480,6,0.013196601875017182,0.002413515687851971,0.18288917940466612
9,0.054089431744068814,0.05459978803992267,480,6,0.013196601875017182,0.002413515687851971,0.18288917940466612
10,0.05459978803992267,0.055110056698322266,473,12,0.013004151431006515,0.004827031375703942,0.3711915691934027
11,0.055110056698322266,0.05566879361867899,481,5,0.013224094795590136,0.002011263073209976,0.15209079368371403
12,0.05566879361867899,0.056215783022344076,476,10,0.013086630192725374,0.004022526146419952,0.3073767721086826
13,0.056215783022344076,0.05676678512245414,474,12,0.013031644351579469,0.004827031375703942,0.3704084646170453
14,0.05676678512245414,0.05736440932378169,473,12,0.013004151431006515,0.004827031375703942,0.3711915691934027
15,0.05736440932378169,0.057963956892490315,481,5,0.013224094795590136,0.002011263073209976,0.15209079368371403
16,0.057963956892490315,0.05856300890445707,469,17,0.012894179748714705,0.006838294448913918,0.5303396247128912
17,0.05856300890445707,0.059170313738286434,476,10,0.013086630192725374,0.004022526146419952,0.3073767721086826
18,0.059170313738286434,0.059774045180529284,470,15,0.012921672669287659,0.006033789219629927,0.46695109635233906
19,0.059774045180529284,0.06044274568557735,470,16,0.012921672669287659,0.006436041834271922,0.498081169442495
20,0.06044274568557735,0.06121016917750235,469,17,0.012894179748714705,0.006838294448913918,0.5303396247128912
21,0.06121016917750235,0.061902427859604335,476,9,0.013086630192725374,0.0036202735317779565,0.2766390948978143
22,0.061902427859604335,0.06266484688967462,476,10,0.013086630192725374,0.004022526146419952,0.3073767721086826
23,0.06266484688967462,0.0634217247366905,480,6,0.013196601875017182,0.002413515687851971,0.18288917940466612
24,0.0634217247366905,0.0641401065513491,471,15,0.01294916558986061,0.006033789219629927,0.4659596927507417
25,0.0641401065513491,0.06493609622120855,480,5,0.013196601875017182,0.002011263073209976,0.15240764950388846
26,0.06493609622120855,0.06568427812308068,471,15,0.01294916558986061,0.006033789219629927,0.4659596927507417
27,0.06568427812308068,0.06647097617387766,473,13,0.013004151431006515,0.005229283990345938,0.40212419995951965
28,0.06647097617387766,0.06730153914541,476,10,0.013086630192725374,0.004022526146419952,0.3073767721086826
29,0.06730153914541,0.06820579059422008,479,6,0.01316910895444423,0.002413515687851971,0.1832709939754483
