method,alpha,total_rejections,fdp,recall
betting,0.05,4.037977607403827,0.08908011017060874,0.004506723291735442
betting,0.1,8.386078689678131,0.047703952061565885,0.01118177135852206
betting,0.15,15.719247337010296,0.04138095754939756,0.015631194509892813
betting,0.2,17.253146166180212,0.04676280101877043,0.01714951253840186
binary,0.05,3.3541019662496847,0.02981423969999719,0.004351629297529531
binary,0.1,3.8013155617496426,0.02630668208823282,0.005021110727918689
binary,0.15,3.8013155617496426,0.02630668208823282,0.005021110727918689
binary,0.2,6.411133408294306,0.06902836510813518,0.006403599866088788
pvalue_bh,0.05,27.07198007651376,0.05054542650536042,0.025805533655345676
pvalue_bh,0.1,36.84733797426177,0.04455535420670302,0.030493080819357664
pvalue_bh,0.15,40.00381560748793,0.03947943215390116,0.03255390941492154
pvalue_bh,0.2,63.15350971619619,0.03743969712497353,0.04214949192693227
