alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.05,186,40,50,0,50,0.0,0.08375209380234507,0.0,0.0,0,0,betting,all,2417
0.1,186,40,50,0,50,0.0,0.08375209380234507,0.0,0.0,0,0,betting,all,2417
0.15,186,40,50,0,50,0.0,0.08375209380234507,0.0,0.0,0,0,betting,all,2417
0.2,186,40,50,0,50,0.0,0.08375209380234507,0.0,0.0,0,0,betting,all,2417
0.05,186,37,51,1,50,0.0196078431372549,0.07012622720897616,0.005376344086021506,0.0,0,1,betting,all,2580
0.1,186,37,51,1,50,0.0196078431372549,0.07012622720897616,0.005376344086021506,0.0,0,1,betting,all,2580
0.15,186,37,51,1,50,0.0196078431372549,0.07012622720897616,0.005376344086021506,0.0,0,1,betting,all,2580
0.2,186,37,51,1,50,0.0196078431372549,0.07012622720897616,0.005376344086021506,0.0,0,1,betting,all,2580
0.05,186,40,55,1,54,0.01818181818181818,0.09045226130653267,0.005376344086021506,0.0,0,2,betting,all,3073
0.1,186,55,84,6,78,0.07142857142857142,0.1306532663316583,0.00931899641577061,0.0,0,2,betting,all,3073
0.15,186,61,93,8,85,0.08602150537634409,0.1423785594639866,0.013799283154121862,0.0,0,2,betting,all,3073
0.2,186,69,109,10,99,0.09174311926605505,0.1658291457286432,0.0166410650281618,0.0,0,2,betting,all,3073
0.05,186,44,70,3,67,0.04285714285714286,0.1268939393939394,0.005376344086021506,0.0,0,3,betting,all,2837
0.1,186,49,76,4,72,0.05263157894736842,0.13636363636363635,0.010752688172043012,0.0,0,3,betting,all,2837
0.15,186,53,81,5,76,0.06172839506172839,0.14393939393939395,0.013440860215053764,0.0,0,3,betting,all,2837
0.2,186,55,97,8,89,0.08247422680412371,0.16856060606060605,0.01971326164874552,0.0,0,3,betting,all,2837
0.05,186,34,58,0,58,0.0,0.090625,0.0,0.0,0,4,betting,all,2525
0.1,186,43,68,1,67,0.014705882352941176,0.1046875,0.005376344086021506,0.0,0,4,betting,all,2525
0.15,186,48,79,3,76,0.0379746835443038,0.11875,0.010752688172043012,0.0,0,4,betting,all,2525
0.2,186,51,86,3,83,0.03488372093023256,0.1296875,0.010752688172043012,0.0,0,4,betting,all,2525
0.05,186,27,35,0,35,0.0,0.06445672191528545,0.0,0.0,0,5,betting,all,2532
0.1,186,27,35,0,35,0.0,0.06445672191528545,0.0,0.0,0,5,betting,all,2532
0.15,186,27,35,0,35,0.0,0.06445672191528545,0.0,0.0,0,5,betting,all,2532
0.2,186,27,35,0,35,0.0,0.06445672191528545,0.0,0.0,0,5,betting,all,2532
0.05,186,35,38,0,38,0.0,0.07251908396946564,0.0,0.0,0,6,betting,all,2794
0.1,186,35,38,0,38,0.0,0.07251908396946564,0.0,0.0,0,6,betting,all,2794
0.15,186,35,38,0,38,0.0,0.07251908396946564,0.0,0.0,0,6,betting,all,2794
0.2,186,35,38,0,38,0.0,0.07251908396946564,0.0,0.0,0,6,betting,all,2794
0.05,186,41,51,0,51,0.0,0.09695817490494296,0.0,0.0,0,7,betting,all,2696
0.1,186,51,68,1,67,0.014705882352941176,0.12737642585551331,0.005376344086021506,0.0,0,7,betting,all,2696
0.15,186,57,76,2,74,0.02631578947368421,0.14068441064638784,0.010752688172043012,0.0,0,7,betting,all,2696
0.2,186,62,82,2,80,0.024390243902439025,0.1520912547528517,0.010752688172043012,0.0,0,7,betting,all,2696
0.05,186,36,50,0,50,0.0,0.08912655971479501,0.0,0.0,0,8,betting,all,2974
0.1,186,42,62,0,62,0.0,0.11051693404634581,0.0,0.0,0,8,betting,all,2974
0.15,186,48,76,3,73,0.039473684210526314,0.13012477718360071,0.009408602150537635,0.0,0,8,betting,all,2974
0.2,186,58,96,4,92,0.041666666666666664,0.16399286987522282,0.011200716845878134,0.0,0,8,betting,all,2974
0.05,186,37,48,0,48,0.0,0.08711433756805807,0.0,0.0,0,9,betting,all,2732
0.1,186,41,68,1,67,0.014705882352941176,0.12159709618874773,0.002688172043010753,0.0,0,9,betting,all,2732
0.15,186,56,95,3,92,0.031578947368421054,0.16696914700544466,0.010752688172043012,0.0,0,9,betting,all,2732
0.2,186,62,107,3,104,0.028037383177570093,0.18874773139745918,0.010752688172043012,0.0,0,9,betting,all,2732
0.05,186,39,50,0,50,0.0,0.0847457627118644,0.0,0.0,0,10,betting,all,2748
0.1,186,47,68,3,65,0.04411764705882353,0.11016949152542373,0.008064516129032258,0.0,0,10,betting,all,2748
0.15,186,50,72,4,68,0.05555555555555555,0.1152542372881356,0.010752688172043012,0.0,0,10,betting,all,2748
0.2,186,51,76,4,72,0.05263157894736842,0.12203389830508475,0.010752688172043012,0.0,0,10,betting,all,2748
0.05,186,35,43,0,43,0.0,0.07478260869565218,0.0,0.0,0,11,betting,all,2604
0.1,186,36,44,0,44,0.0,0.07652173913043478,0.0,0.0,0,11,betting,all,2604
0.15,186,36,44,0,44,0.0,0.07652173913043478,0.0,0.0,0,11,betting,all,2604
0.2,186,36,44,0,44,0.0,0.07652173913043478,0.0,0.0,0,11,betting,all,2604
0.05,186,39,52,1,51,0.019230769230769232,0.09426987060998152,0.005376344086021506,0.0,0,12,betting,all,2751
0.1,186,47,63,2,61,0.031746031746031744,0.11275415896487985,0.010752688172043012,0.0,0,12,betting,all,2751
0.15,186,54,78,2,76,0.02564102564102564,0.14048059149722736,0.010752688172043012,0.0,0,12,betting,all,2751
0.2,186,59,85,2,83,0.023529411764705882,0.1534195933456562,0.010752688172043012,0.0,0,12,betting,all,2751
0.05,186,47,85,1,84,0.011764705882352941,0.1494661921708185,0.005376344086021506,0.0,0,13,betting,all,2915
0.1,186,55,97,2,95,0.020618556701030927,0.16903914590747332,0.002688172043010753,0.0,0,13,betting,all,2915
0.15,186,60,112,3,109,0.026785714285714284,0.19395017793594305,0.004480286738351254,0.0,0,13,betting,all,2915
0.2,186,60,117,4,113,0.03418803418803419,0.20106761565836298,0.00409626216077829,0.0,0,13,betting,all,2915
0.05,186,34,47,0,47,0.0,0.07436708860759493,0.0,0.0,0,14,betting,all,2786
0.1,186,53,81,3,78,0.037037037037037035,0.12341772151898735,0.007168458781362007,0.0,0,14,betting,all,2786
0.15,186,55,96,3,93,0.03125,0.14715189873417722,0.007168458781362007,0.0,0,14,betting,all,2786
0.2,186,60,106,5,101,0.04716981132075472,0.15981012658227847,0.010090384915069346,0.0,0,14,betting,all,2786
0.05,186,42,65,1,64,0.015384615384615385,0.10684474123539232,0.005376344086021506,0.0,0,15,betting,all,2538
0.1,186,53,89,6,83,0.06741573033707865,0.13856427378964942,0.012903225806451613,0.0,0,15,betting,all,2538
0.15,186,61,105,7,98,0.06666666666666667,0.1636060100166945,0.01827956989247312,0.0,0,15,betting,all,2538
0.2,186,65,121,7,114,0.05785123966942149,0.19031719532554256,0.01827956989247312,0.0,0,15,betting,all,2538
0.05,186,50,70,0,70,0.0,0.13133208255159476,0.0,0.0,0,16,betting,all,2619
0.1,186,63,88,2,86,0.022727272727272728,0.16135084427767354,0.004480286738351254,0.0,0,16,betting,all,2619
0.15,186,73,102,4,98,0.0392156862745098,0.18386491557223264,0.012544802867383511,0.0,0,16,betting,all,2619
0.2,186,76,123,4,119,0.032520325203252036,0.22326454033771106,0.012544802867383511,0.0,0,16,betting,all,2619
0.05,186,30,38,0,38,0.0,0.07196969696969698,0.0,0.0,0,17,betting,all,2846
0.1,186,30,38,0,38,0.0,0.07196969696969698,0.0,0.0,0,17,betting,all,2846
0.15,186,30,38,0,38,0.0,0.07196969696969698,0.0,0.0,0,17,betting,all,2846
0.2,186,30,38,0,38,0.0,0.07196969696969698,0.0,0.0,0,17,betting,all,2846
0.05,186,48,90,0,90,0.0,0.1595744680851064,0.0,0.0,0,18,betting,all,2467
0.1,186,57,115,0,115,0.0,0.20390070921985815,0.0,0.0,0,18,betting,all,2467
0.15,186,65,127,2,125,0.015748031496062992,0.22163120567375885,0.0035842293906810036,0.0,0,18,betting,all,2467
0.2,186,70,136,3,133,0.022058823529411766,0.23581560283687944,0.006272401433691756,0.0,0,18,betting,all,2467
0.05,186,32,41,0,41,0.0,0.07308377896613191,0.0,0.0,0,19,betting,all,2932
0.1,186,40,49,1,48,0.02040816326530612,0.0855614973262032,0.005376344086021506,0.0,0,19,betting,all,2932
0.15,186,45,59,2,57,0.03389830508474576,0.10160427807486631,0.007168458781362007,0.0,0,19,betting,all,2932
0.2,186,58,83,4,79,0.04819277108433735,0.1408199643493761,0.017921146953405017,0.0,0,19,betting,all,2932
