alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.05,116,15,20,0,20,0.0,0.06535947712418301,0.0,0.0,0,0,betting,5<K<=30
0.05,40,24,24,0,24,0.0,0.4067796610169492,0.0,0.0,0,0,betting,K<=5
0.05,30,1,6,0,6,0.0,0.02586206896551724,0.0,0.0,0,0,betting,K>30
0.1,116,15,20,0,20,0.0,0.06535947712418301,0.0,0.0,0,0,betting,5<K<=30
0.1,40,24,24,0,24,0.0,0.4067796610169492,0.0,0.0,0,0,betting,K<=5
0.1,30,1,6,0,6,0.0,0.02586206896551724,0.0,0.0,0,0,betting,K>30
0.15,116,15,20,0,20,0.0,0.06535947712418301,0.0,0.0,0,0,betting,5<K<=30
0.15,40,24,24,0,24,0.0,0.4067796610169492,0.0,0.0,0,0,betting,K<=5
0.15,30,1,6,0,6,0.0,0.02586206896551724,0.0,0.0,0,0,betting,K>30
0.2,116,15,20,0,20,0.0,0.06535947712418301,0.0,0.0,0,0,betting,5<K<=30
0.2,40,24,24,0,24,0.0,0.4067796610169492,0.0,0.0,0,0,betting,K<=5
0.2,30,1,6,0,6,0.0,0.02586206896551724,0.0,0.0,0,0,betting,K>30
0.05,40,26,28,0,28,0.0,0.42424242424242425,0.0,0.0,0,1,betting,K<=5
0.05,113,9,12,1,11,0.08333333333333333,0.03793103448275862,0.008849557522123894,0.0,0,1,betting,5<K<=30
0.05,33,2,11,0,11,0.0,0.03081232492997199,0.0,0.0,0,1,betting,K>30
0.1,40,26,28,0,28,0.0,0.42424242424242425,0.0,0.0,0,1,betting,K<=5
0.1,113,9,12,1,11,0.08333333333333333,0.03793103448275862,0.008849557522123894,0.0,0,1,betting,5<K<=30
0.1,33,2,11,0,11,0.0,0.03081232492997199,0.0,0.0,0,1,betting,K>30
0.15,40,26,28,0,28,0.0,0.42424242424242425,0.0,0.0,0,1,betting,K<=5
0.15,113,9,12,1,11,0.08333333333333333,0.03793103448275862,0.008849557522123894,0.0,0,1,betting,5<K<=30
0.15,33,2,11,0,11,0.0,0.03081232492997199,0.0,0.0,0,1,betting,K>30
0.2,40,26,28,0,28,0.0,0.42424242424242425,0.0,0.0,0,1,betting,K<=5
0.2,113,9,12,1,11,0.08333333333333333,0.03793103448275862,0.008849557522123894,0.0,0,1,betting,5<K<=30
0.2,33,2,11,0,11,0.0,0.03081232492997199,0.0,0.0,0,1,betting,K>30
0.05,117,8,13,0,13,0.0,0.043478260869565216,0.0,0.0,0,2,betting,5<K<=30
0.05,26,3,7,1,6,0.14285714285714285,0.02643171806167401,0.038461538461538464,0.0,0,2,betting,K>30
0.05,43,29,35,0,35,0.0,0.49295774647887325,0.0,0.0,0,2,betting,K<=5
0.1,117,19,31,3,28,0.0967741935483871,0.09364548494983277,0.008547008547008548,0.0,0,2,betting,5<K<=30
0.1,26,3,12,2,10,0.16666666666666666,0.04405286343612335,0.015384615384615385,0.0,0,2,betting,K>30
0.1,43,33,41,1,40,0.024390243902439025,0.5633802816901409,0.007751937984496124,0.0,0,2,betting,K<=5
0.15,117,21,35,4,31,0.11428571428571428,0.10367892976588629,0.011396011396011395,0.0,0,2,betting,5<K<=30
0.15,26,3,12,2,10,0.16666666666666666,0.04405286343612335,0.015384615384615385,0.0,0,2,betting,K>30
0.15,43,37,46,2,44,0.043478260869565216,0.6197183098591549,0.01937984496124031,0.0,0,2,betting,K<=5
0.2,117,29,44,5,39,0.11363636363636363,0.13043478260869565,0.01566951566951567,0.0,0,2,betting,5<K<=30
0.2,26,3,19,3,16,0.15789473684210525,0.07048458149779736,0.016483516483516484,0.0,0,2,betting,K>30
0.2,43,37,46,2,44,0.043478260869565216,0.6197183098591549,0.01937984496124031,0.0,0,2,betting,K<=5
0.05,125,19,30,3,27,0.1,0.07871720116618076,0.008,0.0,0,3,betting,5<K<=30
0.05,40,24,28,0,28,0.0,0.45161290322580644,0.0,0.0,0,3,betting,K<=5
0.05,21,1,12,0,12,0.0,0.0975609756097561,0.0,0.0,0,3,betting,K>30
0.1,125,24,35,4,31,0.11428571428571428,0.09037900874635568,0.016,0.0,0,3,betting,5<K<=30
0.1,40,24,29,0,29,0.0,0.46774193548387094,0.0,0.0,0,3,betting,K<=5
0.1,21,1,12,0,12,0.0,0.0975609756097561,0.0,0.0,0,3,betting,K>30
0.15,125,25,37,5,32,0.13513513513513514,0.09329446064139942,0.02,0.0,0,3,betting,5<K<=30
0.15,40,27,32,0,32,0.0,0.5161290322580645,0.0,0.0,0,3,betting,K<=5
0.15,21,1,12,0,12,0.0,0.0975609756097561,0.0,0.0,0,3,betting,K>30
0.2,125,26,41,7,34,0.17073170731707318,0.09912536443148688,0.025333333333333333,0.0,0,3,betting,5<K<=30
0.2,40,28,34,1,33,0.029411764705882353,0.532258064516129,0.0125,0.0,0,3,betting,K<=5
0.2,21,1,22,0,22,0.0,0.17886178861788618,0.0,0.0,0,3,betting,K>30
0.05,113,12,26,0,26,0.0,0.07784431137724551,0.0,0.0,0,4,betting,5<K<=30
0.05,34,21,25,0,25,0.0,0.4166666666666667,0.0,0.0,0,4,betting,K<=5
0.05,39,1,7,0,7,0.0,0.028455284552845527,0.0,0.0,0,4,betting,K>30
0.1,113,19,33,1,32,0.030303030303030304,0.09580838323353294,0.008849557522123894,0.0,0,4,betting,5<K<=30
0.1,34,23,28,0,28,0.0,0.4666666666666667,0.0,0.0,0,4,betting,K<=5
0.1,39,1,7,0,7,0.0,0.028455284552845527,0.0,0.0,0,4,betting,K>30
0.15,113,21,37,1,36,0.02702702702702703,0.10778443113772455,0.008849557522123894,0.0,0,4,betting,5<K<=30
0.15,34,26,33,2,31,0.06060606060606061,0.5166666666666667,0.029411764705882353,0.0,0,4,betting,K<=5
0.15,39,1,9,0,9,0.0,0.036585365853658534,0.0,0.0,0,4,betting,K>30
0.2,113,23,40,1,39,0.025,0.11676646706586827,0.008849557522123894,0.0,0,4,betting,5<K<=30
0.2,34,27,34,2,32,0.058823529411764705,0.5333333333333333,0.029411764705882353,0.0,0,4,betting,K<=5
0.2,39,1,12,0,12,0.0,0.04878048780487805,0.0,0.0,0,4,betting,K>30
0.05,133,11,14,0,14,0.0,0.03773584905660377,0.0,0.0,0,5,betting,5<K<=30
0.05,20,1,5,0,5,0.0,0.04132231404958678,0.0,0.0,0,5,betting,K>30
0.05,33,15,16,0,16,0.0,0.3137254901960784,0.0,0.0,0,5,betting,K<=5
0.1,133,11,14,0,14,0.0,0.03773584905660377,0.0,0.0,0,5,betting,5<K<=30
0.1,20,1,5,0,5,0.0,0.04132231404958678,0.0,0.0,0,5,betting,K>30
0.1,33,15,16,0,16,0.0,0.3137254901960784,0.0,0.0,0,5,betting,K<=5
0.15,133,11,14,0,14,0.0,0.03773584905660377,0.0,0.0,0,5,betting,5<K<=30
0.15,20,1,5,0,5,0.0,0.04132231404958678,0.0,0.0,0,5,betting,K>30
0.15,33,15,16,0,16,0.0,0.3137254901960784,0.0,0.0,0,5,betting,K<=5
0.2,133,11,14,0,14,0.0,0.03773584905660377,0.0,0.0,0,5,betting,5<K<=30
0.2,20,1,5,0,5,0.0,0.04132231404958678,0.0,0.0,0,5,betting,K>30
0.2,33,15,16,0,16,0.0,0.3137254901960784,0.0,0.0,0,5,betting,K<=5
0.05,24,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.05,45,30,33,0,33,0.0,0.4520547945205479,0.0,0.0,0,6,betting,K<=5
0.05,117,5,5,0,5,0.0,0.015060240963855422,0.0,0.0,0,6,betting,5<K<=30
0.1,24,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.1,45,30,33,0,33,0.0,0.4520547945205479,0.0,0.0,0,6,betting,K<=5
0.1,117,5,5,0,5,0.0,0.015060240963855422,0.0,0.0,0,6,betting,5<K<=30
0.15,24,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.15,45,30,33,0,33,0.0,0.4520547945205479,0.0,0.0,0,6,betting,K<=5
0.15,117,5,5,0,5,0.0,0.015060240963855422,0.0,0.0,0,6,betting,5<K<=30
0.2,24,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.2,45,30,33,0,33,0.0,0.4520547945205479,0.0,0.0,0,6,betting,K<=5
0.2,117,5,5,0,5,0.0,0.015060240963855422,0.0,0.0,0,6,betting,5<K<=30
0.05,118,11,13,0,13,0.0,0.03869047619047619,0.0,0.0,0,7,betting,5<K<=30
0.05,44,30,38,0,38,0.0,0.5507246376811594,0.0,0.0,0,7,betting,K<=5
0.05,24,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
0.1,118,16,23,0,23,0.0,0.06845238095238096,0.0,0.0,0,7,betting,5<K<=30
0.1,44,35,45,1,44,0.022222222222222223,0.6376811594202898,0.022727272727272728,0.0,0,7,betting,K<=5
0.1,24,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
0.15,118,20,29,1,28,0.034482758620689655,0.08333333333333333,0.00847457627118644,0.0,0,7,betting,5<K<=30
0.15,44,37,47,1,46,0.02127659574468085,0.6666666666666666,0.022727272727272728,0.0,0,7,betting,K<=5
0.15,24,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
0.2,118,25,35,1,34,0.02857142857142857,0.10119047619047619,0.00847457627118644,0.0,0,7,betting,5<K<=30
