bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500007905066013,0.05044206045567989,115,4,0.014952541932128461,0.002242152466367713,0.14995125755507896
1,0.05044206045567989,0.050916516222059637,115,3,0.014952541932128461,0.0016816143497757848,0.11246344316630924
2,0.050916516222059637,0.05135234389454119,105,14,0.013652320894552074,0.007847533632286996,0.5748131539611361
3,0.05135234389454119,0.05184452123939984,116,2,0.015082564035886101,0.0011210762331838565,0.0743292871501469
4,0.05184452123939984,0.05228000506758687,109,10,0.014172409309582629,0.005605381165919282,0.3955136380466532
5,0.05228000506758687,0.05271882675588126,109,9,0.014172409309582629,0.005044843049327354,0.3559622742419879
6,0.05271882675588126,0.0532935829833149,111,7,0.014432453517097907,0.003923766816143498,0.27187108633296975
7,0.0532935829833149,0.05382467582821844,115,4,0.014952541932128461,0.002242152466367713,0.14995125755507896
8,0.05382467582821844,0.05437805745750661,109,9,0.014172409309582629,0.005044843049327354,0.3559622742419879
9,0.05437805745750661,0.05496271327137942,110,9,0.014302431413340267,0.005044843049327354,0.3527262535670607
10,0.05496271327137942,0.055556953977793394,112,6,0.014562475620855546,0.0033632286995515697,0.2309517136450993
11,0.055556953977793394,0.05621548742055888,110,9,0.014302431413340267,0.005044843049327354,0.3527262535670607
12,0.05621548742055888,0.05680999346077435,103,15,0.013392276687036797,0.008408071748878924,0.6278299011711437
13,0.05680999346077435,0.057412466406822106,106,12,0.013782342998309712,0.006726457399103139,0.48804890430662495
14,0.057412466406822106,0.0581850078888237,115,4,0.014952541932128461,0.002242152466367713,0.14995125755507896
15,0.0581850078888237,0.058796254545450156,104,14,0.013522298790794435,0.007847533632286996,0.5803402035184546
16,0.058796254545450156,0.05942416740581392,108,11,0.01404238720582499,0.00616591928251121,0.43909338149808996
17,0.05942416740581392,0.06004426088184113,110,8,0.014302431413340267,0.004484304932735426,0.31353444761516513
18,0.06004426088184113,0.0608029468916356,108,11,0.01404238720582499,0.00616591928251121,0.43909338149808996
19,0.0608029468916356,0.0615972559899091,111,7,0.014432453517097907,0.003923766816143498,0.27187108633296975
20,0.0615972559899091,0.062265503592789144,110,8,0.014302431413340267,0.004484304932735426,0.31353444761516513
21,0.062265503592789144,0.06305352002382272,112,7,0.014562475620855546,0.003923766816143498,0.2694436659192825
22,0.06305352002382272,0.06371179576963179,112,6,0.014562475620855546,0.0033632286995515697,0.2309517136450993
23,0.06371179576963179,0.06452082693576809,115,4,0.014952541932128461,0.002242152466367713,0.14995125755507896
24,0.06452082693576809,0.06554121989756821,108,10,0.01404238720582499,0.005605381165919282,0.3991758013619
25,0.06554121989756821,0.06644376367330551,113,6,0.014692497724613184,0.0033632286995515697,0.22890789317036392
26,0.06644376367330551,0.06723834965378044,110,8,0.014302431413340267,0.004484304932735426,0.31353444761516513
27,0.06723834965378044,0.06815177053213115,110,8,0.014302431413340267,0.004484304932735426,0.31353444761516513
28,0.06815177053213115,0.06919646523892874,108,11,0.01404238720582499,0.00616591928251121,0.43909338149808996
29,0.06919646523892874,0.07021803781390187,115,3,0.014952541932128461,0.0016816143497757848,0.11246344316630924
30,0.07021803781390187,0.07124672979116439,114,5,0.014822519828370823,0.002802690582959641,0.18908327432932107
31,0.07124672979116439,0.07242558449506759,107,11,0.013912365102067352,0.00616591928251121,0.4431970579606889
32,0.07242558449506759,0.07344033364206543,109,10,0.014172409309582629,0.005605381165919282,0.3955136380466532
33,0.07344033364206543,0.07448392063379282,108,10,0.01404238720582499,0.005605381165919282,0.3991758013619
34,0.07448392063379282,0.07580884266644713,108,10,0.01404238720582499,0.005605381165919282,0.3991758013619
35,0.07580884266644713,0.07700625136494636,108,11,0.01404238720582499,0.00616591928251121,0.43909338149808996
36,0.07700625136494636,0.07833295948803422,109,9,0.014172409309582629,0.005044843049327354,0.3559622742419879
37,0.07833295948803422,0.07963363826274866,110,9,0.014302431413340267,0.005044843049327354,0.3527262535670607
38,0.07963363826274866,0.08107041418552392,104,14,0.013522298790794435,0.007847533632286996,0.5803402035184546
39,0.08107041418552392,0.0827954933047294,109,9,0.014172409309582629,0.005044843049327354,0.3559622742419879
40,0.0827954933047294,0.08436337094753976,107,12,0.013912365102067352,0.006726457399103139,0.48348769959347887
41,0.08436337094753976,0.08609814010560507,110,8,0.014302431413340267,0.004484304932735426,0.31353444761516513
42,0.08609814010560507,0.08776578716933721,104,15,0.013522298790794435,0.008408071748878924,0.6217930751983443
43,0.08776578716933721,0.08960125148296348,108,10,0.01404238720582499,0.005605381165919282,0.3991758013619
44,0.08960125148296348,0.09144443832337848,107,12,0.013912365102067352,0.006726457399103139,0.48348769959347887
45,0.09144443832337848,0.0935489136725664,107,11,0.013912365102067352,0.00616591928251121,0.4431970579606889
46,0.0935489136725664,0.09561041090637445,99,19,0.012872188272006242,0.010650224215246636,0.8273825700955745
47,0.09561041090637445,0.09801704883575438,107,12,0.013912365102067352,0.006726457399103139,0.48348769959347887
48,0.09801704883575438,0.10031273849308492,101,17,0.013132232479521519,0.00952914798206278,0.7256304666341074
49,0.10031273849308492,0.1032897345721721,106,13,0.013782342998309712,0.0072869955156950675,0.528719646332177
50,0.1032897345721721,0.10591457765549415,108,10,0.01404238720582499,0.005605381165919282,0.3991758013619
51,0.10591457765549415,0.10880628526210784,109,10,0.014172409309582629,0.005605381165919282,0.3955136380466532
52,0.10880628526210784,0.1117608701810241,101,17,0.013132232479521519,0.00952914798206278,0.7256304666341074
53,0.1117608701810241,0.11506688296794884,104,14,0.013522298790794435,0.007847533632286996,0.5803402035184546
54,0.11506688296794884,0.1184376031160354,105,14,0.013652320894552074,0.007847533632286996,0.5748131539611361
55,0.1184376031160354,0.12197070866823195,107,11,0.013912365102067352,0.00616591928251121,0.4431970579606889
56,0.12197070866823195,0.1256851803511381,103,16,0.013392276687036797,0.008968609865470852,0.6696852279158866
57,0.1256851803511381,0.13073841407895087,106,12,0.013782342998309712,0.006726457399103139,0.48804890430662495
58,0.13073841407895087,0.1352998808026314,93,26,0.012092055649460408,0.014573991031390135,1.205253387337866
59,0.1352998808026314,0.1400676146149635,92,26,0.01196203354570277,0.014573991031390135,1.2183539676350166
60,0.1400676146149635,0.14558060243725776,93,25,0.012092055649460408,0.014013452914798207,1.158897487824871
61,0.14558060243725776,0.15171890035271646,92,27,0.01196203354570277,0.015134529147982063,1.2652137356209787
62,0.15171890035271646,0.15992959104478358,99,19,0.012872188272006242,0.010650224215246636,0.8273825700955745
63,0.15992959104478358,0.16910716891288752,94,25,0.012222077753218047,0.014013452914798207,1.146568791145883
64,0.16910716891288752,0.1786990296095609,91,27,0.011832011441945131,0.015134529147982063,1.2791171832651653
65,0.1786990296095609,0.1899633698165416,91,28,0.011832011441945131,0.01569506726457399,1.3264918937564676
66,0.1899633698165416,0.20042245760560035,83,35,0.010791834611884021,0.01961883408071749,1.8179331676481711
67,0.20042245760560035,0.2154159247875215,76,42,0.009881679885580549,0.023542600896860985,2.382449256549445
68,0.2154159247875215,0.23347065486013888,75,44,0.00975165778182291,0.02466367713004484,2.529177877428998
69,0.23347065486013888,0.2510772570967674,70,48,0.009101547263034715,0.026905829596412557,2.9561819346572715
