alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,71,3,68,0.04225352112676056,0.11390284757118928,0.6896253824234009,0,score_oracle
0.1,154,15,139,0.09740259740259741,0.23283082077051925,0.483580619096756,0,score_oracle
0.15,215,32,183,0.14883720930232558,0.3065326633165829,0.3826798498630523,0,score_oracle
0.2,261,52,209,0.19923371647509577,0.3500837520938023,0.3323964476585388,0,score_oracle
0.05,180,9,171,0.05,0.23983169705469845,0.5233082175254822,1,score_oracle
0.1,255,25,230,0.09803921568627451,0.3225806451612903,0.395416110754013,1,score_oracle
0.15,301,45,256,0.14950166112956811,0.3590462833099579,0.3441739976406097,1,score_oracle
0.2,346,69,277,0.1994219653179191,0.3884992987377279,0.3089639246463775,1,score_oracle
0.05,80,4,76,0.05,0.1273031825795645,0.6516218185424805,2,score_oracle
0.1,161,16,145,0.09937888198757763,0.24288107202680068,0.485057920217514,2,score_oracle
0.15,238,35,203,0.14705882352941177,0.34003350083752093,0.3765232563018799,2,score_oracle
0.2,297,59,238,0.19865319865319866,0.39865996649916247,0.3174425363540649,2,score_oracle
0.05,83,4,79,0.04819277108433735,0.14962121212121213,0.6043785214424133,3,score_oracle
0.1,111,11,100,0.0990990990990991,0.1893939393939394,0.5510269403457642,3,score_oracle
0.15,137,20,117,0.145985401459854,0.2215909090909091,0.5106465816497803,3,score_oracle
0.2,225,45,180,0.2,0.3409090909090909,0.3806891143321991,3,score_oracle
0.05,105,5,100,0.047619047619047616,0.15625,0.5428269505500793,4,score_oracle
0.1,175,17,158,0.09714285714285714,0.246875,0.4295724332332611,4,score_oracle
0.15,234,35,199,0.14957264957264957,0.3109375,0.3538435697555542,4,score_oracle
0.2,256,51,205,0.19921875,0.3203125,0.3403722643852234,4,score_oracle
