alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.05,182,35,44,1,43,0.022727272727272728,0.08757637474541752,0.0027472527472527475,0.0,0,0,betting,all,1277
0.1,182,35,44,1,43,0.022727272727272728,0.08757637474541752,0.0027472527472527475,0.0,0,0,betting,all,1277
0.15,182,35,44,1,43,0.022727272727272728,0.08757637474541752,0.0027472527472527475,0.0,0,0,betting,all,1277
0.2,182,35,44,1,43,0.022727272727272728,0.08757637474541752,0.0027472527472527475,0.0,0,0,betting,all,1277
0.05,182,56,77,2,75,0.025974025974025976,0.1497005988023952,0.01098901098901099,0.0,0,1,betting,all,1369
0.1,182,76,123,4,119,0.032520325203252036,0.2375249500998004,0.013919413919413919,0.0,0,1,betting,all,1369
0.15,182,86,140,5,135,0.03571428571428571,0.2694610778443114,0.019408011343495214,0.0,0,1,betting,all,1369
0.2,182,98,193,8,185,0.04145077720207254,0.36926147704590817,0.028565520501004374,0.0,0,1,betting,all,1369
0.05,182,46,61,0,61,0.0,0.14558472553699284,0.0,0.0,0,2,betting,all,1467
0.1,182,72,95,1,94,0.010526315789473684,0.2243436754176611,0.005494505494505495,0.0,0,2,betting,all,1467
0.15,182,78,103,1,102,0.009708737864077669,0.24343675417661098,0.005494505494505495,0.0,0,2,betting,all,1467
0.2,182,90,124,4,120,0.03225806451612903,0.2863961813842482,0.01053113553113553,0.0,0,2,betting,all,1467
0.05,182,58,75,0,75,0.0,0.1736111111111111,0.0,0.0,0,3,betting,all,1166
0.1,182,75,103,2,101,0.019417475728155338,0.2337962962962963,0.006593406593406593,0.0,0,3,betting,all,1166
0.15,182,94,131,5,126,0.03816793893129771,0.2916666666666667,0.015293040293040292,0.0,0,3,betting,all,1166
0.2,182,100,139,5,134,0.03597122302158273,0.3101851851851852,0.012545787545787545,0.0,0,3,betting,all,1166
0.05,182,54,79,0,79,0.0,0.16772823779193205,0.0,0.0,0,4,betting,all,1747
0.1,182,74,118,2,116,0.01694915254237288,0.24628450106157113,0.003246753246753247,0.0,0,4,betting,all,1747
0.15,182,83,134,4,130,0.029850746268656716,0.2760084925690021,0.0086996336996337,0.0,0,4,betting,all,1747
0.2,182,90,148,4,144,0.02702702702702703,0.3057324840764331,0.0086996336996337,0.0,0,4,betting,all,1747
0.05,182,61,118,2,116,0.01694915254237288,0.2144177449168207,0.008241758241758242,0.0,0,5,betting,all,1746
0.1,182,83,157,5,152,0.03184713375796178,0.2809611829944547,0.016660758596242466,0.0,0,5,betting,all,1746
0.15,182,93,170,6,164,0.03529411764705882,0.3031423290203327,0.022155264090747962,0.0,0,5,betting,all,1746
0.2,182,103,217,6,211,0.027649769585253458,0.3900184842883549,0.022155264090747962,0.0,0,5,betting,all,1746
0.05,182,52,71,1,70,0.014084507042253521,0.13307984790874525,0.005494505494505495,0.0,0,6,betting,all,1364
0.1,182,76,108,3,105,0.027777777777777776,0.19961977186311788,0.013736263736263736,0.0,0,6,betting,all,1364
0.15,182,85,125,5,120,0.04,0.22813688212927757,0.02197802197802198,0.0,0,6,betting,all,1364
0.2,182,98,150,8,142,0.05333333333333334,0.26996197718631176,0.02106227106227106,0.0,0,6,betting,all,1364
0.05,182,58,87,4,83,0.04597701149425287,0.16533864541832669,0.014194139194139196,0.0,0,7,betting,all,1512
0.1,182,74,116,7,109,0.0603448275862069,0.21713147410358566,0.02568265068265068,0.0,0,7,betting,all,1512
0.15,182,84,133,10,123,0.07518796992481203,0.2450199203187251,0.03392440892440892,0.0,0,7,betting,all,1512
0.2,182,89,143,12,131,0.08391608391608392,0.26095617529880477,0.04216616716616716,0.0,0,7,betting,all,1512
0.05,182,52,76,3,73,0.039473684210526314,0.16367713004484305,0.008424908424908424,0.0,0,8,betting,all,1597
0.1,182,77,111,5,106,0.04504504504504504,0.23766816143497757,0.019413919413919414,0.0,0,8,betting,all,1597
0.15,182,90,135,9,126,0.06666666666666667,0.2825112107623318,0.03498168498168498,0.0,0,8,betting,all,1597
0.2,182,99,148,10,138,0.06756756756756757,0.3094170403587444,0.03681318681318681,0.0,0,8,betting,all,1597
0.05,182,31,40,1,39,0.025,0.07738095238095238,0.005494505494505495,0.0,0,9,betting,all,1603
