alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.05,129,26,28,1,27,0.03571428571428571,0.16875,0.007751937984496124,0.0,0,0,betting,K<=5
0.05,6,0,0,0,0,0.0,0.0,0.0,0.0,0,0,betting,5<K<=30
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,betting,K>30
0.1,129,34,36,2,34,0.05555555555555555,0.2125,0.015503875968992248,0.0,0,0,betting,K<=5
0.1,6,0,0,0,0,0.0,0.0,0.0,0.0,0,0,betting,5<K<=30
0.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,betting,K>30
0.15,129,34,36,2,34,0.05555555555555555,0.2125,0.015503875968992248,0.0,0,0,betting,K<=5
0.15,6,2,2,0,2,0.0,0.09523809523809523,0.0,0.0,0,0,betting,5<K<=30
0.15,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,betting,K>30
0.2,129,34,36,2,34,0.05555555555555555,0.2125,0.015503875968992248,0.0,0,0,betting,K<=5
0.2,6,2,2,0,2,0.0,0.09523809523809523,0.0,0.0,0,0,betting,5<K<=30
0.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,betting,K>30
0.05,123,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,K<=5
0.05,13,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,K>30
0.1,123,29,34,2,32,0.058823529411764705,0.19393939393939394,0.016260162601626018,0.0,0,1,betting,K<=5
0.1,13,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,K>30
0.15,123,31,39,2,37,0.05128205128205128,0.22424242424242424,0.016260162601626018,0.0,0,1,betting,K<=5
0.15,13,1,6,0,6,0.0,0.08695652173913043,0.0,0.0,0,1,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,K>30
0.2,123,43,52,4,48,0.07692307692307693,0.2909090909090909,0.028455284552845527,0.0,0,1,betting,K<=5
0.2,13,2,9,1,8,0.1111111111111111,0.11594202898550725,0.02564102564102564,0.0,0,1,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,betting,K>30
0.05,122,23,25,1,24,0.04,0.15483870967741936,0.00819672131147541,0.0,0,2,betting,K<=5
0.05,12,0,0,0,0,0.0,0.0,0.0,0.0,0,2,betting,5<K<=30
0.05,2,0,0,0,0,0.0,0.0,0.0,0.0,0,2,betting,K>30
0.1,122,31,33,3,30,0.09090909090909091,0.1935483870967742,0.02459016393442623,0.0,0,2,betting,K<=5
0.1,12,1,3,0,3,0.0,0.06666666666666667,0.0,0.0,0,2,betting,5<K<=30
0.1,2,1,7,0,7,0.0,0.16279069767441862,0.0,0.0,0,2,betting,K>30
0.15,122,31,33,3,30,0.09090909090909091,0.1935483870967742,0.02459016393442623,0.0,0,2,betting,K<=5
0.15,12,3,5,0,5,0.0,0.1111111111111111,0.0,0.0,0,2,betting,5<K<=30
0.15,2,1,7,0,7,0.0,0.16279069767441862,0.0,0.0,0,2,betting,K>30
0.2,122,31,33,3,30,0.09090909090909091,0.1935483870967742,0.02459016393442623,0.0,0,2,betting,K<=5
0.2,12,5,7,0,7,0.0,0.15555555555555556,0.0,0.0,0,2,betting,5<K<=30
0.2,2,1,7,0,7,0.0,0.16279069767441862,0.0,0.0,0,2,betting,K>30
0.05,129,15,17,0,17,0.0,0.10759493670886076,0.0,0.0,0,3,betting,K<=5
0.05,7,0,0,0,0,0.0,0.0,0.0,0.0,0,3,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,betting,K>30
0.1,129,24,27,0,27,0.0,0.17088607594936708,0.0,0.0,0,3,betting,K<=5
0.1,7,0,0,0,0,0.0,0.0,0.0,0.0,0,3,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,betting,K>30
0.15,129,25,28,0,28,0.0,0.17721518987341772,0.0,0.0,0,3,betting,K<=5
0.15,7,1,2,0,2,0.0,0.08695652173913043,0.0,0.0,0,3,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,betting,K>30
0.2,129,28,31,0,31,0.0,0.1962025316455696,0.0,0.0,0,3,betting,K<=5
0.2,7,1,2,0,2,0.0,0.08695652173913043,0.0,0.0,0,3,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,betting,K>30
0.05,118,31,37,3,34,0.08108108108108109,0.22077922077922077,0.014124293785310733,0.0,0,4,betting,K<=5
0.05,17,0,0,0,0,0.0,0.0,0.0,0.0,0,4,betting,5<K<=30
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,4,betting,K>30
0.1,118,37,43,3,40,0.06976744186046512,0.2597402597402597,0.014124293785310733,0.0,0,4,betting,K<=5
0.1,17,2,10,1,9,0.1,0.07142857142857142,0.007352941176470588,0.0,0,4,betting,5<K<=30
0.1,1,1,9,0,9,0.0,0.21951219512195122,0.0,0.0,0,4,betting,K>30
0.15,118,38,44,3,41,0.06818181818181818,0.2662337662337662,0.014124293785310733,0.0,0,4,betting,K<=5
0.15,17,6,14,2,12,0.14285714285714285,0.09523809523809523,0.0661764705882353,0.0,0,4,betting,5<K<=30
0.15,1,1,9,0,9,0.0,0.21951219512195122,0.0,0.0,0,4,betting,K>30
0.2,118,38,44,3,41,0.06818181818181818,0.2662337662337662,0.014124293785310733,0.0,0,4,betting,K<=5
0.2,17,9,20,3,17,0.15,0.1349206349206349,0.09558823529411764,0.0,0,4,betting,5<K<=30
0.2,1,1,9,0,9,0.0,0.21951219512195122,0.0,0.0,0,4,betting,K>30
0.05,127,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K<=5
0.05,9,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.1,127,15,16,0,16,0.0,0.09411764705882353,0.0,0.0,0,5,betting,K<=5
0.1,9,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.15,127,22,25,0,25,0.0,0.14705882352941177,0.0,0.0,0,5,betting,K<=5
0.15,9,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.2,127,22,25,0,25,0.0,0.14705882352941177,0.0,0.0,0,5,betting,K<=5
