bin,left,right,null_count,tp_count,p0,p1,raw_phi,regularized_raw_phi,phi
0,0.0501756034791469,0.05223124846816062,8,7,0.01990049751243781,0.009320905459387484,0.46837549933422107,0.46837549933422107,0.46837549933422107
1,0.05223124846816062,0.05388132110238072,5,9,0.012437810945273632,0.011984021304926764,0.9635153129161117,0.9635153129161117,0.9635153129161117
2,0.05388132110238072,0.05582376793026922,13,2,0.03233830845771144,0.002663115845539281,0.08235173614667624,0.08235173614667624,0.08235173614667624
3,0.05582376793026922,0.058804012835025746,11,3,0.02736318407960199,0.0039946737683089215,0.14598716862365332,0.14598716862365332,0.14598716862365332
4,0.058804012835025746,0.0609200298786163,6,8,0.014925373134328358,0.010652463382157125,0.7137150466045273,0.7137150466045273,0.7137150466045273
5,0.0609200298786163,0.06411208510398861,11,4,0.02736318407960199,0.005326231691078562,0.1946495581648711,0.1946495581648711,0.1946495581648711
6,0.06411208510398861,0.065574911236763,10,4,0.024875621890547265,0.005326231691078562,0.2141145139813582,0.2141145139813582,0.2141145139813582
7,0.065574911236763,0.06782322376966471,9,6,0.022388059701492536,0.007989347536617843,0.35685752330226367,0.35685752330226367,0.35685752330226367
8,0.06782322376966471,0.07104159146547309,10,4,0.024875621890547265,0.005326231691078562,0.2141145139813582,0.2141145139813582,0.2141145139813582
9,0.07104159146547309,0.073319174349308,10,4,0.024875621890547265,0.005326231691078562,0.2141145139813582,0.2141145139813582,0.2141145139813582
10,0.073319174349308,0.07571437507867809,12,3,0.029850746268656716,0.0039946737683089215,0.13382157123834887,0.13382157123834887,0.13382157123834887
11,0.07571437507867809,0.079255536198616,9,5,0.022388059701492536,0.006657789613848202,0.29738126941855303,0.29738126941855303,0.29738126941855303
12,0.079255536198616,0.08336250036954874,8,7,0.01990049751243781,0.009320905459387484,0.46837549933422107,0.46837549933422107,0.46837549933422107
13,0.08336250036954874,0.08820113092660901,11,3,0.02736318407960199,0.0039946737683089215,0.14598716862365332,0.14598716862365332,0.14598716862365332
14,0.08820113092660901,0.0930767655372619,9,5,0.022388059701492536,0.006657789613848202,0.29738126941855303,0.29738126941855303,0.29738126941855303
15,0.0930767655372619,0.0977585926651954,9,6,0.022388059701492536,0.007989347536617843,0.35685752330226367,0.35685752330226367,0.35685752330226367
16,0.0977585926651954,0.10162628591060636,11,3,0.02736318407960199,0.0039946737683089215,0.14598716862365332,0.14598716862365332,0.14598716862365332
17,0.10162628591060636,0.10540231764316552,10,5,0.024875621890547265,0.006657789613848202,0.26764314247669774,0.26764314247669774,0.26764314247669774
18,0.10540231764316552,0.10969077944755551,6,8,0.014925373134328358,0.010652463382157125,0.7137150466045273,0.7137150466045273,0.7137150466045273
19,0.10969077944755551,0.1161310449242591,8,6,0.01990049751243781,0.007989347536617843,0.4014647137150466,0.4014647137150466,0.4014647137150466
20,0.1161310449242591,0.12287982106208795,9,6,0.022388059701492536,0.007989347536617843,0.35685752330226367,0.35685752330226367,0.35685752330226367
21,0.12287982106208795,0.12896076440811158,7,7,0.017412935323383085,0.009320905459387484,0.5352862849533955,0.5352862849533955,0.5352862849533955
22,0.12896076440811158,0.13486839532852166,6,9,0.014925373134328358,0.011984021304926764,0.8029294274300932,0.8029294274300932,0.8029294274300932
23,0.13486839532852166,0.14263330996036527,6,8,0.014925373134328358,0.010652463382157125,0.7137150466045273,0.7137150466045273,0.7137150466045273
24,0.14263330996036527,0.1490591168403625,6,8,0.014925373134328358,0.010652463382157125,0.7137150466045273,0.7137150466045273,0.7137150466045273
25,0.1490591168403625,0.15718020498752594,8,7,0.01990049751243781,0.009320905459387484,0.46837549933422107,0.46837549933422107,0.46837549933422107
26,0.15718020498752594,0.1679905235767364,7,7,0.017412935323383085,0.009320905459387484,0.5352862849533955,0.5352862849533955,0.5352862849533955
27,0.1679905235767364,0.1752541095018387,7,8,0.017412935323383085,0.010652463382157125,0.611755754232452,0.611755754232452,0.611755754232452
28,0.1752541095018387,0.18323180377483364,8,6,0.01990049751243781,0.007989347536617843,0.4014647137150466,0.4014647137150466,0.4014647137150466
29,0.18323180377483364,0.1932274997234344,6,8,0.014925373134328358,0.010652463382157125,0.7137150466045273,0.7137150466045273,0.7137150466045273
30,0.1932274997234344,0.2112328708171844,8,7,0.01990049751243781,0.009320905459387484,0.46837549933422107,0.46837549933422107,0.46837549933422107
31,0.2112328708171844,0.2208738625049591,10,4,0.024875621890547265,0.005326231691078562,0.2141145139813582,0.2141145139813582,0.2141145139813582
32,0.2208738625049591,0.22971635162830353,9,6,0.022388059701492536,0.007989347536617843,0.35685752330226367,0.35685752330226367,0.35685752330226367
33,0.22971635162830353,0.2458325326442718,6,8,0.014925373134328358,0.010652463382157125,0.7137150466045273,0.7137150466045273,0.7137150466045273
34,0.2458325326442718,0.2610429227352142,7,7,0.017412935323383085,0.009320905459387484,0.5352862849533955,0.5352862849533955,0.5352862849533955
35,0.2610429227352142,0.2805249750614166,7,8,0.017412935323383085,0.010652463382157125,0.611755754232452,0.611755754232452,0.611755754232452
36,0.2805249750614166,0.30228581428527834,7,7,0.017412935323383085,0.009320905459387484,0.5352862849533955,0.5352862849533955,0.5352862849533955
37,0.30228581428527834,0.3190441727638245,3,12,0.007462686567164179,0.015978695073235686,2.141145139813582,2.141145139813582,2.141145139813582
38,0.3190441727638245,0.34271034002304074,2,12,0.004975124378109453,0.015978695073235686,3.211717709720373,3.211717709720373,3.211717709720373
39,0.34271034002304074,0.3624000549316406,7,7,0.017412935323383085,0.009320905459387484,0.5352862849533955,0.5352862849533955,0.5352862849533955
40,0.3624000549316406,0.39341042637825024,6,9,0.014925373134328358,0.011984021304926764,0.8029294274300932,0.8029294274300932,0.8029294274300932
41,0.39341042637825024,0.4111495435237886,9,5,0.022388059701492536,0.006657789613848202,0.29738126941855303,0.29738126941855303,0.29738126941855303
42,0.4111495435237886,0.4290142655372619,5,10,0.012437810945273632,0.013315579227696404,1.070572569906791,1.070572569906791,1.070572569906791
43,0.4290142655372619,0.4581418812274932,8,6,0.01990049751243781,0.007989347536617843,0.4014647137150466,0.4014647137150466,0.4014647137150466
44,0.4581418812274932,0.4765389859676361,3,11,0.007462686567164179,0.014647137150466045,1.9627163781624501,1.9627163781624501,1.9627163781624501
45,0.4765389859676361,0.49604896903038026,5,10,0.012437810945273632,0.013315579227696404,1.070572569906791,1.070572569906791,1.070572569906791
46,0.49604896903038026,0.5366600036621094,1,13,0.0024875621890547263,0.017310252996005325,6.958721704394141,6.958721704394141,6.958721704394141
47,0.5366600036621094,0.5620862245559695,2,13,0.004975124378109453,0.017310252996005325,3.4793608521970705,3.4793608521970705,3.4793608521970705
48,0.5620862245559695,0.5861951351165772,1,13,0.0024875621890547263,0.017310252996005325,6.958721704394141,6.958721704394141,6.958721704394141
49,0.5861951351165772,0.6201625466346741,5,9,0.012437810945273632,0.011984021304926764,0.9635153129161117,0.9635153129161117,0.9635153129161117
