bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500017628073692,0.050379620864987325,96,2,0.013188307273963291,0.00487012987012987,0.3692763422144865
1,0.050379620864987325,0.05078610870987173,98,0,0.01346023113528212,0.0016233766233766235,0.1206054046963138
2,0.05078610870987173,0.05120759131386874,95,2,0.013052345343303875,0.00487012987012987,0.3731229707792208
3,0.05120759131386874,0.05168498866260045,97,1,0.013324269204622706,0.003246753246753247,0.24367214418234828
4,0.05168498866260045,0.05222504027187817,96,2,0.013188307273963291,0.00487012987012987,0.3692763422144865
5,0.05222504027187817,0.0527019323781132,96,1,0.013188307273963291,0.003246753246753247,0.24618422814299104
6,0.0527019323781132,0.053190534468740176,96,2,0.013188307273963291,0.00487012987012987,0.3692763422144865
7,0.053190534468740176,0.0536658354103565,95,2,0.013052345343303875,0.00487012987012987,0.3731229707792208
8,0.0536658354103565,0.05413929466158149,98,0,0.01346023113528212,0.0016233766233766235,0.1206054046963138
9,0.05413929466158149,0.054622165858745526,96,2,0.013188307273963291,0.00487012987012987,0.3692763422144865
10,0.054622165858745526,0.0551954554393887,95,2,0.013052345343303875,0.00487012987012987,0.3731229707792208
11,0.0551954554393887,0.0558421332389116,97,1,0.013324269204622706,0.003246753246753247,0.24367214418234828
12,0.0558421332389116,0.05642549041658631,97,1,0.013324269204622706,0.003246753246753247,0.24367214418234828
13,0.05642549041658631,0.056934614665806224,95,2,0.013052345343303875,0.00487012987012987,0.3731229707792208
14,0.056934614665806224,0.05751694831997153,98,0,0.01346023113528212,0.0016233766233766235,0.1206054046963138
15,0.05751694831997153,0.0579634271562099,95,2,0.013052345343303875,0.00487012987012987,0.3731229707792208
16,0.0579634271562099,0.0586407659575343,95,3,0.013052345343303875,0.006493506493506494,0.4974972943722944
17,0.0586407659575343,0.05918221082538362,94,4,0.01291638341264446,0.008116883116883116,0.6284176349965823
18,0.05918221082538362,0.059798127505928264,93,4,0.012780421481985044,0.008116883116883116,0.6351029289859077
19,0.059798127505928264,0.0604052003473043,97,1,0.013324269204622706,0.003246753246753247,0.24367214418234828
20,0.0604052003473043,0.06115551246330138,98,0,0.01346023113528212,0.0016233766233766235,0.1206054046963138
21,0.06115551246330138,0.061850070022046524,95,2,0.013052345343303875,0.00487012987012987,0.3731229707792208
22,0.061850070022046524,0.06248796964064234,96,2,0.013188307273963291,0.00487012987012987,0.3692763422144865
23,0.06248796964064234,0.0632962509989738,95,2,0.013052345343303875,0.00487012987012987,0.3731229707792208
24,0.0632962509989738,0.06410873681306835,94,4,0.01291638341264446,0.008116883116883116,0.6284176349965823
25,0.06410873681306835,0.0649096388369798,96,2,0.013188307273963291,0.00487012987012987,0.3692763422144865
26,0.0649096388369798,0.06563932821154592,92,5,0.01264445955132563,0.00974025974025974,0.7703183912861331
27,0.06563932821154592,0.06646396219730376,95,3,0.013052345343303875,0.006493506493506494,0.4974972943722944
28,0.06646396219730376,0.06710392329841848,95,3,0.013052345343303875,0.006493506493506494,0.4974972943722944
29,0.06710392329841848,0.0679995510727167,94,3,0.01291638341264446,0.006493506493506494,0.5027341079972659
30,0.0679995510727167,0.06876669451594347,96,2,0.013188307273963291,0.00487012987012987,0.3692763422144865
31,0.06876669451594347,0.0696675330400466,97,0,0.013324269204622706,0.0016233766233766235,0.12183607209117414
32,0.0696675330400466,0.07055089157074688,96,2,0.013188307273963291,0.00487012987012987,0.3692763422144865
33,0.07055089157074688,0.07152110710740085,95,3,0.013052345343303875,0.006493506493506494,0.4974972943722944
34,0.07152110710740085,0.07258437946438787,97,0,0.013324269204622706,0.0016233766233766235,0.12183607209117414
35,0.07258437946438787,0.07385443150997159,94,4,0.01291638341264446,0.008116883116883116,0.6284176349965823
36,0.07385443150997159,0.07502445857971901,96,2,0.013188307273963291,0.00487012987012987,0.3692763422144865
37,0.07502445857971901,0.07639375142753117,94,3,0.01291638341264446,0.006493506493506494,0.5027341079972659
38,0.07639375142753117,0.07781217154115434,94,4,0.01291638341264446,0.008116883116883116,0.6284176349965823
39,0.07781217154115434,0.0791880339384079,95,2,0.013052345343303875,0.00487012987012987,0.3731229707792208
40,0.0791880339384079,0.08049789164215322,91,7,0.012508497620666213,0.012987012987012988,1.038255223037832
41,0.08049789164215322,0.08194325678050518,97,1,0.013324269204622706,0.003246753246753247,0.24367214418234828
42,0.08194325678050518,0.08340651914477343,94,3,0.01291638341264446,0.006493506493506494,0.5027341079972659
43,0.08340651914477343,0.08506060019135475,97,1,0.013324269204622706,0.003246753246753247,0.24367214418234828
44,0.08506060019135475,0.08660622127354142,95,3,0.013052345343303875,0.006493506493506494,0.4974972943722944
45,0.08660622127354142,0.0880470350384712,92,5,0.01264445955132563,0.00974025974025974,0.7703183912861331
46,0.0880470350384712,0.08978839498013252,95,3,0.013052345343303875,0.006493506493506494,0.4974972943722944
47,0.08978839498013252,0.09205539524555204,97,1,0.013324269204622706,0.003246753246753247,0.24367214418234828
48,0.09205539524555204,0.09413894731551407,94,3,0.01291638341264446,0.006493506493506494,0.5027341079972659
49,0.09413894731551407,0.09621839970350263,93,5,0.012780421481985044,0.00974025974025974,0.7621235147830893
50,0.09621839970350263,0.0984647581353783,91,6,0.012508497620666213,0.011363636363636364,0.9084733201581028
51,0.0984647581353783,0.10082086920738215,96,2,0.013188307273963291,0.00487012987012987,0.3692763422144865
52,0.10082086920738215,0.10343824047595257,94,4,0.01291638341264446,0.008116883116883116,0.6284176349965823
53,0.10343824047595257,0.10564859025180334,90,7,0.012372535690006799,0.012987012987012988,1.0496646210931926
54,0.10564859025180334,0.10857409145683042,94,4,0.01291638341264446,0.008116883116883116,0.6284176349965823
55,0.10857409145683042,0.1125618517398835,89,9,0.012236573759347382,0.016233766233766232,1.3266594516594516
56,0.1125618517398835,0.11561767105013127,93,4,0.012780421481985044,0.008116883116883116,0.6351029289859077
57,0.11561767105013127,0.11896632798016069,93,5,0.012780421481985044,0.00974025974025974,0.7621235147830893
58,0.11896632798016069,0.12315391842275851,88,9,0.012100611828687968,0.016233766233766232,1.3415657376331531
59,0.12315391842275851,0.1273513808846473,94,4,0.01291638341264446,0.008116883116883116,0.6284176349965823
60,0.1273513808846473,0.13233166188001644,92,6,0.01264445955132563,0.011363636363636364,0.8987047898338221
61,0.13233166188001644,0.13789698109030724,88,9,0.012100611828687968,0.016233766233766232,1.3415657376331531
