alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.05,119,4,4,0,4,0.0,0.025,0.0,0,betting
0.1,119,5,5,0,5,0.0,0.03125,0.0,0,betting
0.15,119,7,7,0,7,0.0,0.04375,0.0,0,betting
0.2,119,9,10,1,9,0.1,0.05625,0.008403361344537815,0,betting
0.05,119,0,0,0,0,0.0,0.0,0.0,0,binary
0.1,119,0,0,0,0,0.0,0.0,0.0,0,binary
0.15,119,0,0,0,0,0.0,0.0,0.0,0,binary
0.2,119,0,0,0,0,0.0,0.0,0.0,0,binary
0.05,119,0,0,0,0,0.0,0.0,0.0,1,betting
0.1,119,5,7,0,7,0.0,0.05185185185185185,0.0,1,betting
0.15,119,7,9,1,8,0.1111111111111111,0.05925925925925926,0.008403361344537815,1,betting
0.2,119,9,15,2,13,0.13333333333333333,0.0962962962962963,0.012605042016806723,1,betting
0.05,119,0,0,0,0,0.0,0.0,0.0,1,binary
0.1,119,0,0,0,0,0.0,0.0,0.0,1,binary
0.15,119,0,0,0,0,0.0,0.0,0.0,1,binary
0.2,119,0,0,0,0,0.0,0.0,0.0,1,binary
0.05,119,4,4,0,4,0.0,0.03773584905660377,0.0,2,betting
0.1,119,8,8,1,7,0.125,0.0660377358490566,0.008403361344537815,2,betting
0.15,119,9,11,1,10,0.09090909090909091,0.09433962264150944,0.008403361344537815,2,betting
0.2,119,11,15,3,12,0.2,0.11320754716981132,0.019607843137254898,2,betting
0.05,119,0,0,0,0,0.0,0.0,0.0,2,binary
0.1,119,0,0,0,0,0.0,0.0,0.0,2,binary
0.15,119,0,0,0,0,0.0,0.0,0.0,2,binary
0.2,119,0,0,0,0,0.0,0.0,0.0,2,binary
0.05,119,3,3,0,3,0.0,0.022222222222222223,0.0,3,betting
0.1,119,5,6,0,6,0.0,0.044444444444444446,0.0,3,betting
0.15,119,8,9,0,9,0.0,0.06666666666666667,0.0,3,betting
0.2,119,11,13,3,10,0.23076923076923078,0.07407407407407407,0.01680672268907563,3,betting
0.05,119,0,0,0,0,0.0,0.0,0.0,3,binary
0.1,119,0,0,0,0,0.0,0.0,0.0,3,binary
0.15,119,0,0,0,0,0.0,0.0,0.0,3,binary
0.2,119,0,0,0,0,0.0,0.0,0.0,3,binary
0.05,119,2,2,0,2,0.0,0.013157894736842105,0.0,4,betting
0.1,119,3,3,0,3,0.0,0.019736842105263157,0.0,4,betting
0.15,119,7,7,1,6,0.14285714285714285,0.039473684210526314,0.008403361344537815,4,betting
0.2,119,9,13,4,9,0.3076923076923077,0.05921052631578947,0.01680672268907563,4,betting
0.05,119,0,0,0,0,0.0,0.0,0.0,4,binary
0.1,119,0,0,0,0,0.0,0.0,0.0,4,binary
0.15,119,0,0,0,0,0.0,0.0,0.0,4,binary
0.2,119,2,2,0,2,0.0,0.013157894736842105,0.0,4,binary
