selected,selected_fraction,threshold,fp,tp,fdp,recall
90,0.010026737967914439,0.4822307229042053,90,0,1.0,0.0
180,0.020053475935828877,0.3969334661960602,180,0,1.0,0.0
269,0.02996880570409982,0.3458462655544281,269,0,1.0,0.0
359,0.03999554367201426,0.30454468727111816,359,0,1.0,0.0
449,0.0500222816399287,0.27645474672317505,449,0,1.0,0.0
539,0.06004901960784314,0.2550406754016876,539,0,1.0,0.0
628,0.06996434937611408,0.2364981472492218,628,0,1.0,0.0
718,0.07999108734402852,0.21863001585006714,718,0,1.0,0.0
808,0.09001782531194295,0.20515987277030945,808,0,1.0,0.0
898,0.1000445632798574,0.1935468167066574,898,0,1.0,0.0
987,0.10995989304812834,0.18318215012550354,987,0,1.0,0.0
1077,0.11998663101604277,0.17454557120800018,1077,0,1.0,0.0
1167,0.1300133689839572,0.16619408130645752,1167,0,1.0,0.0
1257,0.14004010695187166,0.16023080050945282,1257,0,1.0,0.0
1346,0.1499554367201426,0.15487979352474213,1346,0,1.0,0.0
1436,0.15998217468805703,0.14930903911590576,1436,0,1.0,0.0
1526,0.17000891265597148,0.14350149035453796,1526,0,1.0,0.0
1616,0.1800356506238859,0.13953161239624023,1616,0,1.0,0.0
1705,0.18995098039215685,0.13582302629947662,1705,0,1.0,0.0
1795,0.1999777183600713,0.1319722980260849,1795,0,1.0,0.0
1885,0.21000445632798573,0.12858104705810547,1885,0,1.0,0.0
1975,0.22003119429590018,0.12466292083263397,1975,0,1.0,0.0
2064,0.22994652406417113,0.12117975950241089,2064,0,1.0,0.0
2154,0.23997326203208555,0.11817870289087296,2154,0,1.0,0.0
2244,0.25,0.11553481966257095,2244,0,1.0,0.0
2334,0.2600267379679144,0.11266268789768219,2334,0,1.0,0.0
2424,0.2700534759358289,0.11007142066955566,2424,0,1.0,0.0
2513,0.2799688057040998,0.10795403271913528,2513,0,1.0,0.0
2603,0.28999554367201424,0.10556333512067795,2603,0,1.0,0.0
2693,0.3000222816399287,0.1034170612692833,2693,0,1.0,0.0
2783,0.31004901960784315,0.10150226950645447,2783,0,1.0,0.0
2872,0.31996434937611407,0.09983502328395844,2872,0,1.0,0.0
2962,0.32999108734402854,0.09818007797002792,2962,0,1.0,0.0
3052,0.34001782531194297,0.09638893604278564,3052,0,1.0,0.0
3142,0.3500445632798574,0.09496846050024033,3142,0,1.0,0.0
3231,0.35995989304812837,0.09345779567956924,3231,0,1.0,0.0
3321,0.3699866310160428,0.09165561944246292,3321,0,1.0,0.0
3411,0.3800133689839572,0.09015055000782013,3411,0,1.0,0.0
3501,0.39004010695187163,0.08887773007154465,3501,0,1.0,0.0
3590,0.3999554367201426,0.08751837909221649,3590,0,1.0,0.0
3680,0.40998217468805703,0.08624866604804993,3680,0,1.0,0.0
3770,0.42000891265597146,0.08499516546726227,3770,0,1.0,0.0
3860,0.43003565062388593,0.08384488523006439,3860,0,1.0,0.0
3949,0.43995098039215685,0.0827929750084877,3949,0,1.0,0.0
4039,0.4499777183600713,0.08163057267665863,4039,0,1.0,0.0
4129,0.46000445632798576,0.08060898631811142,4129,0,1.0,0.0
4219,0.4700311942959002,0.07971736043691635,4219,0,1.0,0.0
4308,0.4799465240641711,0.07862856239080429,4308,0,1.0,0.0
4398,0.4899732620320856,0.07761280238628387,4398,0,1.0,0.0
4488,0.5,0.07669173181056976,4488,0,1.0,0.0
4578,0.5100267379679144,0.07566012442111969,4578,0,1.0,0.0
4668,0.5200534759358288,0.07475991547107697,4668,0,1.0,0.0
4757,0.5299688057040999,0.07396919280290604,4757,0,1.0,0.0
4847,0.5399955436720143,0.07307468354701996,4847,0,1.0,0.0
4937,0.5500222816399287,0.07228575646877289,4937,0,1.0,0.0
5027,0.5600490196078431,0.07148153334856033,5027,0,1.0,0.0
5116,0.5699643493761141,0.0707537829875946,5116,0,1.0,0.0
5206,0.5799910873440285,0.06995736062526703,5206,0,1.0,0.0
5296,0.5900178253119429,0.06929005682468414,5296,0,1.0,0.0
5386,0.6000445632798574,0.06859413534402847,5386,0,1.0,0.0
5475,0.6099598930481284,0.06799030303955078,5475,0,1.0,0.0
5565,0.6199866310160428,0.06732656061649323,5565,0,1.0,0.0
5655,0.6300133689839572,0.06672482192516327,5655,0,1.0,0.0
5745,0.6400401069518716,0.06607446819543839,5745,0,1.0,0.0
5834,0.6499554367201426,0.06542790681123734,5834,0,1.0,0.0
5924,0.6599821746880571,0.06482847034931183,5924,0,1.0,0.0
6014,0.6700089126559715,0.06425168365240097,6014,0,1.0,0.0
6104,0.6800356506238859,0.06355687975883484,6104,0,1.0,0.0
6193,0.6899509803921569,0.0630699023604393,6193,0,1.0,0.0
6283,0.6999777183600713,0.06247067451477051,6283,0,1.0,0.0
6373,0.7100044563279857,0.061949409544467926,6373,0,1.0,0.0
6463,0.7200311942959001,0.06142614409327507,6463,0,1.0,0.0
6552,0.7299465240641712,0.0609104298055172,6552,0,1.0,0.0
6642,0.7399732620320856,0.0603916309773922,6642,0,1.0,0.0
6732,0.75,0.059872522950172424,6732,0,1.0,0.0
6822,0.7600267379679144,0.05932972580194473,6822,0,1.0,0.0
6912,0.7700534759358288,0.058875277638435364,6912,0,1.0,0.0
7001,0.7799688057040999,0.0583730973303318,7001,0,1.0,0.0
7091,0.7899955436720143,0.05794902890920639,7091,0,1.0,0.0
7181,0.8000222816399287,0.05748475715517998,7181,0,1.0,0.0
7271,0.8100490196078431,0.057095177471637726,7271,0,1.0,0.0
7360,0.8199643493761141,0.0566546656191349,7360,0,1.0,0.0
7450,0.8299910873440285,0.056250546127557755,7450,0,1.0,0.0
7540,0.8400178253119429,0.055846694856882095,7540,0,1.0,0.0
7630,0.8500445632798574,0.05544164404273033,7630,0,1.0,0.0
7719,0.8599598930481284,0.05504946410655975,7719,0,1.0,0.0
7809,0.8699866310160428,0.05468001589179039,7809,0,1.0,0.0
7899,0.8800133689839572,0.05425344780087471,7899,0,1.0,0.0
7989,0.8900401069518716,0.05386132374405861,7989,0,1.0,0.0
8078,0.8999554367201426,0.05343843996524811,8078,0,1.0,0.0
8168,0.9099821746880571,0.05300966277718544,8168,0,1.0,0.0
8258,0.9200089126559715,0.052633147686719894,8258,0,1.0,0.0
8348,0.9300356506238859,0.052364837378263474,8348,0,1.0,0.0
8437,0.9399509803921569,0.052036985754966736,8437,0,1.0,0.0
8527,0.9499777183600713,0.051694873720407486,8527,0,1.0,0.0
8617,0.9600044563279857,0.05140762776136398,8617,0,1.0,0.0
8707,0.9700311942959001,0.051039014011621475,8707,0,1.0,0.0
8796,0.9799465240641712,0.05068162828683853,8796,0,1.0,0.0
8886,0.9899732620320856,0.0503452904522419,8886,0,1.0,0.0
8976,1.0,0.050007496029138565,8976,0,1.0,0.0
