seed,method,rejections,fdp,recall,fp,tp
0,global,22,0.18181818181818182,0.024896265560165973,4,18
0,img_mondrian,19,0.15789473684210525,0.022130013831258646,3,16
1,global,13,0.07692307692307693,0.015625,1,12
1,img_mondrian,12,0.08333333333333333,0.014322916666666666,1,11
2,global,14,0.0,0.016,0,14
2,img_mondrian,14,0.0,0.016,0,14
3,global,19,0.05263157894736842,0.021251475796930343,1,18
3,img_mondrian,17,0.058823529411764705,0.018890200708382526,1,16
4,global,20,0.15,0.023809523809523808,3,17
4,img_mondrian,22,0.13636363636363635,0.02661064425770308,3,19
