alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.05,545,16,19,4,15,0.21052631578947367,0.03125,0.007339449541284404,0,betting,all,7308
0.1,545,50,55,17,38,0.3090909090909091,0.07916666666666666,0.029357798165137616,0,betting,all,7308
0.15,545,74,86,34,52,0.3953488372093023,0.10833333333333334,0.05504587155963303,0,betting,all,7308
0.2,545,86,101,43,58,0.42574257425742573,0.12083333333333333,0.06972477064220184,0,betting,all,7308
0.05,545,28,32,4,28,0.125,0.05870020964360587,0.007339449541284404,1,betting,all,7027
0.1,545,57,61,16,45,0.26229508196721313,0.09433962264150944,0.029357798165137616,1,betting,all,7027
0.15,545,85,103,31,72,0.30097087378640774,0.1509433962264151,0.053669724770642205,1,betting,all,7027
0.2,545,93,119,32,87,0.2689075630252101,0.18238993710691823,0.055504587155963306,1,betting,all,7027
0.05,545,23,25,9,16,0.36,0.03571428571428571,0.014678899082568808,2,betting,all,7362
0.1,545,58,71,26,45,0.36619718309859156,0.10044642857142858,0.03669724770642202,2,betting,all,7362
0.15,545,83,98,40,58,0.40816326530612246,0.12946428571428573,0.062385321100917435,2,betting,all,7362
0.2,545,103,122,53,69,0.4344262295081967,0.15401785714285715,0.08440366972477065,2,betting,all,7362
0.05,545,21,23,6,17,0.2608695652173913,0.0397196261682243,0.009174311926605505,3,betting,all,7653
0.1,545,62,71,24,47,0.3380281690140845,0.10981308411214953,0.03853211009174312,3,betting,all,7653
0.15,545,87,98,38,60,0.3877551020408163,0.14018691588785046,0.06422018348623854,3,betting,all,7653
0.2,545,107,123,47,76,0.3821138211382114,0.17757009345794392,0.08073394495412844,3,betting,all,7653
0.05,545,26,26,6,20,0.23076923076923078,0.05333333333333334,0.011009174311926606,4,betting,all,7670
0.1,545,61,65,22,43,0.3384615384615385,0.11466666666666667,0.03853211009174312,4,betting,all,7670
0.15,545,79,87,33,54,0.3793103448275862,0.144,0.05871559633027523,4,betting,all,7670
0.2,545,100,118,47,71,0.3983050847457627,0.18933333333333333,0.07889908256880734,4,betting,all,7670
