alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,2,0,2,0.0,0.004166666666666667,0.9330033659934998,0,score_oracle
0.1,2,0,2,0.0,0.004166666666666667,0.9330033659934998,0,score_oracle
0.15,16,2,14,0.125,0.029166666666666667,0.8974703550338745,0,score_oracle
0.2,32,6,26,0.1875,0.05416666666666667,0.8625061511993408,0,score_oracle
0.05,25,1,24,0.04,0.050314465408805034,0.8919666409492493,1,score_oracle
0.1,31,3,28,0.0967741935483871,0.05870020964360587,0.8698845505714417,1,score_oracle
0.15,45,6,39,0.13333333333333333,0.08176100628930817,0.833737313747406,1,score_oracle
0.2,57,11,46,0.19298245614035087,0.09643605870020965,0.8200963139533997,1,score_oracle
0.05,24,1,23,0.041666666666666664,0.05133928571428571,0.8924132585525513,2,score_oracle
0.1,26,2,24,0.07692307692307693,0.05357142857142857,0.885896623134613,2,score_oracle
0.15,32,4,28,0.125,0.0625,0.8762160539627075,2,score_oracle
0.2,37,7,30,0.1891891891891892,0.06696428571428571,0.8645742535591125,2,score_oracle
0.05,27,1,26,0.037037037037037035,0.06074766355140187,0.8867372274398804,3,score_oracle
0.1,31,3,28,0.0967741935483871,0.06542056074766354,0.8746038675308228,3,score_oracle
0.15,42,6,36,0.14285714285714285,0.08411214953271028,0.8643795251846313,3,score_oracle
0.2,48,9,39,0.1875,0.0911214953271028,0.8603970408439636,3,score_oracle
0.05,22,1,21,0.045454545454545456,0.056,0.8980137705802917,4,score_oracle
0.1,26,2,24,0.07692307692307693,0.064,0.8927327394485474,4,score_oracle
0.15,29,4,25,0.13793103448275862,0.06666666666666667,0.8846158981323242,4,score_oracle
0.2,33,6,27,0.18181818181818182,0.072,0.8786473870277405,4,score_oracle
