bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500000156462192,0.05046702325344084,286,4,0.013061746437705517,0.0031821797931583136,0.24362590472375678
1,0.05046702325344084,0.0509178325533866,280,9,0.01278772378516624,0.007159904534606206,0.5599045346062053
2,0.0509178325533866,0.05145782008767125,284,6,0.012970405553525757,0.00477326968973747,0.36801237016370303
3,0.05145782008767125,0.05195329934358594,284,5,0.012970405553525757,0.003977724741447892,0.30667697513641917
4,0.05195329934358594,0.0524634644389152,284,5,0.012970405553525757,0.003977724741447892,0.30667697513641917
5,0.0524634644389152,0.05295344814658162,285,5,0.013016075995615637,0.003977724741447892,0.305600915574537
6,0.05295344814658162,0.05344802215695374,287,2,0.013107416879795396,0.0015910898965791568,0.12138851698779518
7,0.05344802215695374,0.054004725813865576,288,2,0.013153087321885276,0.0015910898965791568,0.12096702908158756
8,0.054004725813865576,0.05458335950970644,281,8,0.01283339422725612,0.006364359586316627,0.49592177046971125
9,0.05458335950970644,0.0551096424460411,281,8,0.01283339422725612,0.006364359586316627,0.49592177046971125
10,0.0551096424460411,0.05570618435740468,285,5,0.013016075995615637,0.003977724741447892,0.305600915574537
11,0.05570618435740468,0.05635170713067048,281,8,0.01283339422725612,0.006364359586316627,0.49592177046971125
12,0.05635170713067048,0.05698395743966098,281,9,0.01283339422725612,0.007159904534606206,0.5579119917784252
13,0.05698395743966098,0.05758583843708032,288,1,0.013153087321885276,0.0007955449482895784,0.06048351454079378
14,0.05758583843708032,0.0582047551870346,283,6,0.01292473511143588,0.00477326968973747,0.36931276723141926
15,0.0582047551870346,0.058920680731534884,283,7,0.01292473511143588,0.005568814638027049,0.43086489510332243
16,0.058920680731534884,0.0595576375722885,286,3,0.013061746437705517,0.002386634844868735,0.18271942854281759
17,0.0595576375722885,0.06022732704877848,288,2,0.013153087321885276,0.0015910898965791568,0.12096702908158756
18,0.06022732704877848,0.06094323769211766,281,8,0.01283339422725612,0.006364359586316627,0.49592177046971125
19,0.06094323769211766,0.0617247149348259,285,4,0.013016075995615637,0.0031821797931583136,0.2444807324596296
20,0.0617247149348259,0.06256478875875468,284,6,0.012970405553525757,0.00477326968973747,0.36801237016370303
21,0.06256478875875468,0.06338395327329634,283,6,0.01292473511143588,0.00477326968973747,0.36931276723141926
22,0.06338395327329634,0.06425839662551878,287,3,0.013107416879795396,0.002386634844868735,0.18208277548169277
23,0.06425839662551878,0.06512902081012724,286,3,0.013061746437705517,0.002386634844868735,0.18271942854281759
24,0.06512902081012724,0.0660119354724884,283,6,0.01292473511143588,0.00477326968973747,0.36931276723141926
25,0.0660119354724884,0.06690294742584224,286,4,0.013061746437705517,0.0031821797931583136,0.24362590472375678
26,0.06690294742584224,0.06772770732641215,284,5,0.012970405553525757,0.003977724741447892,0.30667697513641917
27,0.06772770732641215,0.06866778582334512,285,5,0.013016075995615637,0.003977724741447892,0.305600915574537
28,0.06866778582334512,0.0696840435266494,282,6,0.012879064669346,0.00477326968973747,0.37062238697337463
29,0.0696840435266494,0.070554532110691,289,1,0.013198757763975156,0.0007955449482895784,0.06027422902335158
30,0.070554532110691,0.07157935947179792,283,7,0.01292473511143588,0.005568814638027049,0.43086489510332243
31,0.07157935947179792,0.07255782783031463,283,6,0.01292473511143588,0.00477326968973747,0.36931276723141926
