selected,selected_fraction,threshold,fp,tp,fdp,recall
1,0.010101010101010102,0.7943971157073975,1,0,1.0,0.0
2,0.020202020202020204,0.7779555916786194,2,0,1.0,0.0
3,0.030303030303030304,0.6232761740684509,3,0,1.0,0.0
4,0.04040404040404041,0.5312145948410034,4,0,1.0,0.0
5,0.050505050505050504,0.3433403968811035,5,0,1.0,0.0
6,0.06060606060606061,0.3361804485321045,6,0,1.0,0.0
7,0.0707070707070707,0.3152766823768616,7,0,1.0,0.0
8,0.08080808080808081,0.3084392249584198,8,0,1.0,0.0
9,0.09090909090909091,0.2840489447116852,9,0,1.0,0.0
10,0.10101010101010101,0.2581440508365631,10,0,1.0,0.0
11,0.1111111111111111,0.25501251220703125,11,0,1.0,0.0
12,0.12121212121212122,0.24206730723381042,12,0,1.0,0.0
13,0.13131313131313133,0.1803979128599167,13,0,1.0,0.0
14,0.1414141414141414,0.17234769463539124,14,0,1.0,0.0
15,0.15151515151515152,0.1705014705657959,15,0,1.0,0.0
16,0.16161616161616163,0.16767585277557373,16,0,1.0,0.0
17,0.1717171717171717,0.15138740837574005,17,0,1.0,0.0
18,0.18181818181818182,0.13905133306980133,18,0,1.0,0.0
19,0.1919191919191919,0.13678519427776337,19,0,1.0,0.0
20,0.20202020202020202,0.13596051931381226,20,0,1.0,0.0
21,0.21212121212121213,0.13388316333293915,21,0,1.0,0.0
22,0.2222222222222222,0.13098828494548798,22,0,1.0,0.0
23,0.23232323232323232,0.11550870537757874,23,0,1.0,0.0
24,0.24242424242424243,0.11212024837732315,24,0,1.0,0.0
25,0.25252525252525254,0.1079230010509491,25,0,1.0,0.0
26,0.26262626262626265,0.10374421626329422,26,0,1.0,0.0
27,0.2727272727272727,0.10194674879312515,27,0,1.0,0.0
28,0.2828282828282828,0.09876921772956848,28,0,1.0,0.0
29,0.29292929292929293,0.0949563980102539,29,0,1.0,0.0
30,0.30303030303030304,0.09476036578416824,30,0,1.0,0.0
31,0.31313131313131315,0.09405027329921722,31,0,1.0,0.0
32,0.32323232323232326,0.09371248632669449,32,0,1.0,0.0
33,0.3333333333333333,0.09204602986574173,33,0,1.0,0.0
34,0.3434343434343434,0.09148512035608292,34,0,1.0,0.0
35,0.35353535353535354,0.08888174593448639,35,0,1.0,0.0
36,0.36363636363636365,0.08592353016138077,36,0,1.0,0.0
37,0.37373737373737376,0.08455116301774979,37,0,1.0,0.0
38,0.3838383838383838,0.08182767033576965,38,0,1.0,0.0
39,0.3939393939393939,0.08111374080181122,39,0,1.0,0.0
40,0.40404040404040403,0.08017522841691971,40,0,1.0,0.0
41,0.41414141414141414,0.07832273840904236,41,0,1.0,0.0
42,0.42424242424242425,0.07782330363988876,42,0,1.0,0.0
43,0.43434343434343436,0.07521254569292068,43,0,1.0,0.0
44,0.4444444444444444,0.07492657005786896,44,0,1.0,0.0
45,0.45454545454545453,0.0743468776345253,45,0,1.0,0.0
46,0.46464646464646464,0.0736541599035263,46,0,1.0,0.0
47,0.47474747474747475,0.07305740565061569,47,0,1.0,0.0
48,0.48484848484848486,0.07207036018371582,48,0,1.0,0.0
49,0.494949494949495,0.07153767347335815,49,0,1.0,0.0
50,0.5050505050505051,0.07142474502325058,50,0,1.0,0.0
51,0.5151515151515151,0.07098165154457092,51,0,1.0,0.0
52,0.5252525252525253,0.07017651200294495,52,0,1.0,0.0
53,0.5353535353535354,0.06983552128076553,53,0,1.0,0.0
54,0.5454545454545454,0.06914962828159332,54,0,1.0,0.0
55,0.5555555555555556,0.06863364577293396,55,0,1.0,0.0
56,0.5656565656565656,0.0683867484331131,56,0,1.0,0.0
57,0.5757575757575758,0.06787940114736557,57,0,1.0,0.0
58,0.5858585858585859,0.06666668504476547,58,0,1.0,0.0
59,0.5959595959595959,0.06618550419807434,59,0,1.0,0.0
60,0.6060606060606061,0.06594771146774292,60,0,1.0,0.0
61,0.6161616161616161,0.06496330350637436,61,0,1.0,0.0
62,0.6262626262626263,0.0635143592953682,62,0,1.0,0.0
63,0.6363636363636364,0.06339625269174576,63,0,1.0,0.0
64,0.6464646464646465,0.06319808959960938,64,0,1.0,0.0
65,0.6565656565656566,0.06307513266801834,65,0,1.0,0.0
66,0.6666666666666666,0.06239695101976395,66,0,1.0,0.0
67,0.6767676767676768,0.062281616032123566,67,0,1.0,0.0
68,0.6868686868686869,0.06205835938453674,68,0,1.0,0.0
69,0.696969696969697,0.0609232559800148,69,0,1.0,0.0
70,0.7070707070707071,0.0608692392706871,70,0,1.0,0.0
71,0.7171717171717171,0.05997304990887642,71,0,1.0,0.0
72,0.7272727272727273,0.059916507452726364,72,0,1.0,0.0
73,0.7373737373737373,0.05957431718707085,73,0,1.0,0.0
74,0.7474747474747475,0.05883590131998062,74,0,1.0,0.0
75,0.7575757575757576,0.058693911880254745,75,0,1.0,0.0
76,0.7676767676767676,0.05702580511569977,76,0,1.0,0.0
77,0.7777777777777778,0.056758325546979904,77,0,1.0,0.0
78,0.7878787878787878,0.056709688156843185,78,0,1.0,0.0
79,0.797979797979798,0.05620311573147774,79,0,1.0,0.0
80,0.8080808080808081,0.05584944412112236,80,0,1.0,0.0
81,0.8181818181818182,0.055669866502285004,81,0,1.0,0.0
82,0.8282828282828283,0.05560889467597008,82,0,1.0,0.0
83,0.8383838383838383,0.05555807054042816,83,0,1.0,0.0
84,0.8484848484848485,0.05524205043911934,84,0,1.0,0.0
85,0.8585858585858586,0.054617542773485184,85,0,1.0,0.0
86,0.8686868686868687,0.054243966937065125,86,0,1.0,0.0
87,0.8787878787878788,0.05386248975992203,87,0,1.0,0.0
88,0.8888888888888888,0.05291367322206497,88,0,1.0,0.0
89,0.898989898989899,0.05254550278186798,89,0,1.0,0.0
90,0.9090909090909091,0.05208655819296837,90,0,1.0,0.0
91,0.9191919191919192,0.051856085658073425,91,0,1.0,0.0
92,0.9292929292929293,0.05141347646713257,92,0,1.0,0.0
93,0.9393939393939394,0.051408637315034866,93,0,1.0,0.0
94,0.9494949494949495,0.05139613896608353,94,0,1.0,0.0
95,0.9595959595959596,0.051222916692495346,95,0,1.0,0.0
96,0.9696969696969697,0.050888191908597946,96,0,1.0,0.0
97,0.9797979797979798,0.05068835988640785,97,0,1.0,0.0
98,0.98989898989899,0.05063977837562561,98,0,1.0,0.0
99,1.0,0.05017681047320366,99,0,1.0,0.0
