alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,103,5,98,0.04854368932038835,0.21397379912663755,0.6495130658149719,0,score_oracle
0.1,198,19,179,0.09595959595959595,0.39082969432314413,0.4602603316307068,0,score_oracle
0.15,262,39,223,0.14885496183206107,0.4868995633187773,0.3827874660491943,0,score_oracle
0.2,310,62,248,0.2,0.5414847161572053,0.3374780714511871,0,score_oracle
0.05,82,4,78,0.04878048780487805,0.18886198547215496,0.7052940726280212,1,score_oracle
0.1,110,11,99,0.1,0.2397094430992736,0.656961977481842,1,score_oracle
0.15,129,19,110,0.14728682170542637,0.26634382566585957,0.6108260750770569,1,score_oracle
0.2,201,40,161,0.19900497512437812,0.3898305084745763,0.493072897195816,1,score_oracle
0.05,45,2,43,0.044444444444444446,0.08447937131630648,0.833737313747406,2,score_oracle
0.1,102,10,92,0.09803921568627451,0.1807465618860511,0.6925064921379089,2,score_oracle
0.15,208,31,177,0.14903846153846154,0.3477406679764244,0.4567925631999969,2,score_oracle
0.2,257,51,206,0.19844357976653695,0.40471512770137524,0.4031309187412262,2,score_oracle
0.05,54,2,52,0.037037037037037035,0.116331096196868,0.7975319623947144,3,score_oracle
0.1,170,17,153,0.1,0.3422818791946309,0.546288788318634,3,score_oracle
0.15,200,30,170,0.15,0.38031319910514544,0.4833429753780365,3,score_oracle
0.2,241,48,193,0.1991701244813278,0.4317673378076063,0.41191166639328,3,score_oracle
0.05,50,2,48,0.04,0.1023454157782516,0.8049883246421814,4,score_oracle
0.1,65,6,59,0.09230769230769231,0.1257995735607676,0.764512836933136,4,score_oracle
0.15,187,28,159,0.1497326203208556,0.3390191897654584,0.457392156124115,4,score_oracle
0.2,265,53,212,0.2,0.4520255863539446,0.3720462918281555,4,score_oracle
0.05,46,2,44,0.043478260869565216,0.11027568922305764,0.8047733902931213,5,score_oracle
0.1,130,13,117,0.1,0.2932330827067669,0.5845370888710022,5,score_oracle
0.15,200,30,170,0.15,0.42606516290726815,0.4180732369422912,5,score_oracle
